|dates|Hillsdale_Michigan_UnitedStates.JHU_ConfirmedCases.data|Hillsdale_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Hillsdale_Michigan_UnitedStates.NYT_ConfirmedCases.data|Hillsdale_Michigan_UnitedStates.NYT_ConfirmedCases.missing|Hillsdale_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Hillsdale_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Hillsdale_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Hillsdale_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5940.0|0|5940.0|0|118.0|0|0.0|100
0|2021-10-18|6010.0|0|6010.0|0|118.0|0|0.0|100
0|2021-10-19|6010.0|0|6010.0|0|118.0|0|0.0|100
0|2021-10-20|6067.0|0|6067.0|0|119.0|0|0.0|100
0|2021-10-21|6067.0|0|6067.0|0|119.0|0|0.0|100
0|2021-10-22|6123.0|0|6123.0|0|122.0|0|0.0|100
0|2021-10-23|6123.0|0|6123.0|0|122.0|0|0.0|100
0|2021-10-24|6123.0|0|6123.0|0|122.0|0|0.0|100
0|2021-10-25|6165.0|0|6165.0|0|122.0|0|0.0|100
0|2021-10-26|6165.0|0|6165.0|0|122.0|0|0.0|100
0|2021-10-27|6211.0|0|6211.0|0|124.0|0|0.0|100
0|2021-10-28|6211.0|0|6211.0|0|124.0|0|0.0|100
0|2021-10-29|6260.0|0|6260.0|0|124.0|0|0.0|100
0|2021-10-30|6260.0|0|6260.0|0|124.0|0|0.0|100
0|2021-10-31|6260.0|0|6260.0|0|124.0|0|0.0|100
0|2021-11-01|6312.0|0|6312.0|0|124.0|0|0.0|100
0|2021-11-02|6312.0|0|6312.0|0|124.0|0|0.0|100
0|2021-11-03|6372.0|0|6372.0|0|128.0|0|0.0|100
0|2021-11-04|6372.0|0|6372.0|0|128.0|0|0.0|100
0|2021-11-05|6439.0|0|6439.0|0|130.0|0|0.0|100
0|2021-11-06|6439.0|0|6439.0|0|130.0|0|0.0|100
0|2021-11-07|6439.0|0|6439.0|0|130.0|0|0.0|100
0|2021-11-08|6481.0|0|6481.0|0|130.0|0|0.0|100
0|2021-11-09|6481.0|0|6481.0|0|130.0|0|0.0|100
0|2021-11-10|6481.0|0|6554.0|0|130.0|0|0.0|100
0|2021-11-11|6554.0|0|6554.0|0|131.0|0|0.0|100
0|2021-11-12|6661.0|0|6661.0|0|132.0|0|0.0|100
0|2021-11-13|6661.0|0|6661.0|0|132.0|0|0.0|100
0|2021-11-14|6661.0|0|6661.0|0|132.0|0|0.0|100
0|2021-11-15|6801.0|0|6801.0|0|132.0|0|0.0|100
0|2021-11-16|6801.0|0|6801.0|0|132.0|0|0.0|100
0|2021-11-17|6886.0|0|6886.0|0|138.0|0|0.0|100
