|dates|Fredericksburg_Virginia_UnitedStates.JHU_ConfirmedCases.data|Fredericksburg_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Fredericksburg_Virginia_UnitedStates.NYT_ConfirmedCases.data|Fredericksburg_Virginia_UnitedStates.NYT_ConfirmedCases.missing|Fredericksburg_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Fredericksburg_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Fredericksburg_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Fredericksburg_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3007.0|0|3007.0|0|25.0|0|0.0|100
0|2021-10-18|3023.0|0|3023.0|0|25.0|0|0.0|100
0|2021-10-19|3026.0|0|3026.0|0|25.0|0|0.0|100
0|2021-10-20|3027.0|0|3027.0|0|25.0|0|0.0|100
0|2021-10-21|3029.0|0|3029.0|0|25.0|0|0.0|100
0|2021-10-22|3039.0|0|3039.0|0|25.0|0|0.0|100
0|2021-10-23|3039.0|0|3039.0|0|25.0|0|0.0|100
0|2021-10-24|3039.0|0|3039.0|0|25.0|0|0.0|100
0|2021-10-25|3052.0|0|3052.0|0|25.0|0|0.0|100
0|2021-10-26|3055.0|0|3055.0|0|25.0|0|0.0|100
0|2021-10-27|3063.0|0|3063.0|0|25.0|0|0.0|100
0|2021-10-28|3070.0|0|3070.0|0|25.0|0|0.0|100
0|2021-10-29|3071.0|0|3071.0|0|26.0|0|0.0|100
0|2021-10-30|3071.0|0|3071.0|0|26.0|0|0.0|100
0|2021-10-31|3071.0|0|3071.0|0|26.0|0|0.0|100
0|2021-11-01|3086.0|0|3086.0|0|26.0|0|0.0|100
0|2021-11-02|3091.0|0|3091.0|0|26.0|0|0.0|100
0|2021-11-03|3090.0|0|3090.0|0|26.0|0|0.0|100
0|2021-11-04|3094.0|0|3094.0|0|26.0|0|0.0|100
0|2021-11-05|3096.0|0|3096.0|0|26.0|0|0.0|100
0|2021-11-06|3096.0|0|3096.0|0|26.0|0|0.0|100
0|2021-11-07|3096.0|0|3096.0|0|26.0|0|0.0|100
0|2021-11-08|3111.0|0|3111.0|0|26.0|0|0.0|100
0|2021-11-09|3109.0|0|3109.0|0|26.0|0|0.0|100
