|dates|Perry_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Perry_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Perry_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Perry_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Perry_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Perry_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Perry_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Perry_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5962.0|0|5962.0|0|87.0|0|0.0|100
0|2021-10-18|5993.0|0|5993.0|0|87.0|0|0.0|100
0|2021-10-19|6009.0|0|6009.0|0|87.0|0|0.0|100
0|2021-10-20|6020.0|0|6020.0|0|87.0|0|0.0|100
0|2021-10-21|6041.0|0|6041.0|0|87.0|0|0.0|100
0|2021-10-22|6076.0|0|6076.0|0|87.0|0|0.0|100
0|2021-10-23|6076.0|0|6076.0|0|87.0|0|0.0|100
0|2021-10-24|6076.0|0|6076.0|0|87.0|0|0.0|100
0|2021-10-25|6107.0|0|6107.0|0|87.0|0|0.0|100
0|2021-10-26|6112.0|0|6112.0|0|88.0|0|0.0|100
0|2021-10-27|6120.0|0|6120.0|0|88.0|0|0.0|100
0|2021-10-28|6133.0|0|6133.0|0|88.0|0|0.0|100
0|2021-10-29|6151.0|0|6151.0|0|88.0|0|0.0|100
0|2021-10-30|6151.0|0|6151.0|0|88.0|0|0.0|100
0|2021-10-31|6151.0|0|6151.0|0|88.0|0|0.0|100
0|2021-11-01|6164.0|0|6164.0|0|88.0|0|0.0|100
0|2021-11-02|6174.0|0|6174.0|0|88.0|0|0.0|100
0|2021-11-03|6187.0|0|6187.0|0|89.0|0|0.0|100
0|2021-11-04|6210.0|0|6210.0|0|92.0|0|0.0|100
0|2021-11-05|6230.0|0|6230.0|0|94.0|0|0.0|100
0|2021-11-06|6230.0|0|6230.0|0|94.0|0|0.0|100
0|2021-11-07|6230.0|0|6230.0|0|94.0|0|0.0|100
0|2021-11-08|6243.0|0|6243.0|0|96.0|0|0.0|100
0|2021-11-09|6263.0|0|6263.0|0|100.0|0|0.0|100
0|2021-11-10|6281.0|0|6281.0|0|104.0|0|0.0|100
0|2021-11-11|6281.0|0|6281.0|0|104.0|0|0.0|100
0|2021-11-12|6304.0|0|6304.0|0|111.0|0|0.0|100
0|2021-11-13|6304.0|0|6304.0|0|111.0|0|0.0|100
0|2021-11-14|6304.0|0|6304.0|0|111.0|0|0.0|100
0|2021-11-15|6321.0|0|6321.0|0|111.0|0|0.0|100
0|2021-11-16|6331.0|0|6331.0|0|111.0|0|0.0|100
0|2021-11-17|6342.0|0|6342.0|0|111.0|0|0.0|100
0|2021-11-18|6349.0|0|6349.0|0|112.0|0|0.0|100
0|2021-11-19|6358.0|0|6358.0|0|113.0|0|0.0|100
0|2021-11-20|6358.0|0|6358.0|0|113.0|0|0.0|100
0|2021-11-21|6358.0|0|6358.0|0|113.0|0|0.0|100
0|2021-11-22|6368.0|0|6368.0|0|114.0|0|0.0|100
0|2021-11-23|6384.0|0|6384.0|0|114.0|0|0.0|100
0|2021-11-24|6392.0|0|6392.0|0|114.0|0|0.0|100
0|2021-11-25|6392.0|0|6392.0|0|114.0|0|0.0|100
0|2021-11-26|6392.0|0|6392.0|0|114.0|0|0.0|100
0|2021-11-27|6392.0|0|6392.0|0|114.0|0|0.0|100
0|2021-11-28|6392.0|0|6392.0|0|114.0|0|0.0|100
0|2021-11-29|6411.0|0|6411.0|0|120.0|0|0.0|100
0|2021-11-30|6424.0|0|6424.0|0|120.0|0|0.0|100
0|2021-12-01|6429.0|0|6429.0|0|120.0|0|0.0|100
0|2021-12-02|6440.0|0|6440.0|0|120.0|0|0.0|100
0|2021-12-03|6449.0|0|6449.0|0|122.0|0|0.0|100
0|2021-12-04|6449.0|0|6449.0|0|122.0|0|0.0|100
0|2021-12-05|6449.0|0|6449.0|0|122.0|0|0.0|100
0|2021-12-06|6482.0|0|6482.0|0|123.0|0|0.0|100
0|2021-12-07|6508.0|0|6508.0|0|123.0|0|0.0|100
0|2021-12-08|6524.0|0|6524.0|0|124.0|0|0.0|100
0|2021-12-09|6543.0|0|6543.0|0|124.0|0|0.0|100
0|2021-12-10|6566.0|0|6566.0|0|125.0|0|0.0|100
0|2021-12-11|6566.0|0|6566.0|0|125.0|0|0.0|100
0|2021-12-12|6566.0|0|6566.0|0|125.0|0|0.0|100
0|2021-12-13|6599.0|0|6599.0|0|127.0|0|0.0|100
0|2021-12-14|6599.0|0|6623.0|0|127.0|0|0.0|100
0|2021-12-15|6665.0|0|6665.0|0|128.0|0|0.0|100
0|2021-12-16|6688.0|0|6688.0|0|128.0|0|0.0|100
0|2021-12-17|6709.0|0|6709.0|0|128.0|0|0.0|100
0|2021-12-18|6709.0|0|6709.0|0|128.0|0|0.0|100
0|2021-12-19|6709.0|0|6709.0|0|128.0|0|0.0|100
0|2021-12-20|6744.0|0|6744.0|0|128.0|0|0.0|100
0|2021-12-21|6760.0|0|6760.0|0|129.0|0|0.0|100
0|2021-12-22|6775.0|0|6775.0|0|129.0|0|0.0|100
0|2021-12-23|6775.0|0|6775.0|0|129.0|0|0.0|100
0|2021-12-24|6775.0|0|6775.0|0|129.0|0|0.0|100
0|2021-12-25|6775.0|0|6775.0|0|129.0|0|0.0|100
0|2021-12-26|6775.0|0|6775.0|0|129.0|0|0.0|100
0|2021-12-27|6844.0|0|6844.0|0|131.0|0|0.0|100
0|2021-12-28|6874.0|0|6874.0|0|131.0|0|0.0|100
0|2021-12-29|6906.0|0|6906.0|0|131.0|0|0.0|100
0|2021-12-30|6906.0|0|6906.0|0|131.0|0|0.0|100
0|2021-12-31|6906.0|0|6906.0|0|131.0|0|0.0|100
0|2022-01-01|6906.0|0|6906.0|0|131.0|0|0.0|100
0|2022-01-02|6906.0|0|6906.0|0|131.0|0|0.0|100
0|2022-01-03|6988.0|0|6988.0|0|132.0|0|0.0|100
0|2022-01-04|7020.0|0|7020.0|0|132.0|0|0.0|100
0|2022-01-05|7041.0|0|7041.0|0|134.0|0|0.0|100
0|2022-01-06|7072.0|0|7072.0|0|134.0|0|0.0|100
0|2022-01-07|7103.0|0|7103.0|0|134.0|0|0.0|100
0|2022-01-08|7103.0|0|7103.0|0|134.0|0|0.0|100
0|2022-01-09|7103.0|0|7103.0|0|134.0|0|0.0|100
0|2022-01-10|7164.0|0|7164.0|0|134.0|0|0.0|100
0|2022-01-11|7203.0|0|7203.0|0|134.0|0|0.0|100
0|2022-01-12|7247.0|0|7247.0|0|134.0|0|0.0|100
0|2022-01-13|7247.0|0|7274.0|0|134.0|0|0.0|100
0|2022-01-14|7325.0|0|7325.0|0|135.0|0|0.0|100
0|2022-01-15|7325.0|0|7325.0|0|135.0|0|0.0|100
0|2022-01-16|7325.0|0|7325.0|0|135.0|0|0.0|100
0|2022-01-17|7325.0|0|0.0|100|135.0|0|0.0|100
