|dates|Danville_Virginia_UnitedStates.JHU_ConfirmedCases.data|Danville_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Danville_Virginia_UnitedStates.NYT_ConfirmedCases.data|Danville_Virginia_UnitedStates.NYT_ConfirmedCases.missing|Danville_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Danville_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Danville_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Danville_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|6121.0|0|6121.0|0|180.0|0|0.0|100
0|2021-10-18|6150.0|0|6150.0|0|182.0|0|0.0|100
0|2021-10-19|6160.0|0|6160.0|0|182.0|0|0.0|100
0|2021-10-20|6161.0|0|6161.0|0|183.0|0|0.0|100
0|2021-10-21|6170.0|0|6170.0|0|184.0|0|0.0|100
0|2021-10-22|6173.0|0|6173.0|0|184.0|0|0.0|100
0|2021-10-23|6173.0|0|6173.0|0|184.0|0|0.0|100
0|2021-10-24|6173.0|0|6173.0|0|184.0|0|0.0|100
0|2021-10-25|6190.0|0|6190.0|0|189.0|0|0.0|100
0|2021-10-26|6195.0|0|6195.0|0|189.0|0|0.0|100
0|2021-10-27|6204.0|0|6204.0|0|189.0|0|0.0|100
0|2021-10-28|6212.0|0|6212.0|0|189.0|0|0.0|100
0|2021-10-29|6216.0|0|6216.0|0|190.0|0|0.0|100
0|2021-10-30|6216.0|0|6216.0|0|190.0|0|0.0|100
0|2021-10-31|6216.0|0|6216.0|0|190.0|0|0.0|100
0|2021-11-01|6258.0|0|6258.0|0|191.0|0|0.0|100
0|2021-11-02|6254.0|0|6254.0|0|193.0|0|0.0|100
0|2021-11-03|6273.0|0|6273.0|0|194.0|0|0.0|100
0|2021-11-04|6279.0|0|6279.0|0|194.0|0|0.0|100
0|2021-11-05|6284.0|0|6284.0|0|194.0|0|0.0|100
0|2021-11-06|6284.0|0|6284.0|0|194.0|0|0.0|100
0|2021-11-07|6284.0|0|6284.0|0|194.0|0|0.0|100
0|2021-11-08|6317.0|0|6317.0|0|195.0|0|0.0|100
0|2021-11-09|6312.0|0|6312.0|0|195.0|0|0.0|100
0|2021-11-10|6330.0|0|6330.0|0|195.0|0|0.0|100
0|2021-11-11|6331.0|0|6331.0|0|195.0|0|0.0|100
0|2021-11-12|6338.0|0|6338.0|0|195.0|0|0.0|100
0|2021-11-13|6338.0|0|6338.0|0|195.0|0|0.0|100
0|2021-11-14|6338.0|0|6338.0|0|195.0|0|0.0|100
