|dates|Stonewall_Texas_UnitedStates.JHU_ConfirmedCases.data|Stonewall_Texas_UnitedStates.JHU_ConfirmedCases.missing|Stonewall_Texas_UnitedStates.NYT_ConfirmedCases.data|Stonewall_Texas_UnitedStates.NYT_ConfirmedCases.missing|Stonewall_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Stonewall_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Stonewall_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Stonewall_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|217.0|0|217.0|0|6.0|0|0.0|100
0|2021-10-18|217.0|0|217.0|0|6.0|0|0.0|100
0|2021-10-19|219.0|0|219.0|0|6.0|0|0.0|100
0|2021-10-20|221.0|0|221.0|0|6.0|0|0.0|100
0|2021-10-21|222.0|0|222.0|0|6.0|0|0.0|100
0|2021-10-22|222.0|0|222.0|0|6.0|0|0.0|100
0|2021-10-23|222.0|0|222.0|0|6.0|0|0.0|100
0|2021-10-24|222.0|0|222.0|0|6.0|0|0.0|100
0|2021-10-25|222.0|0|222.0|0|6.0|0|0.0|100
0|2021-10-26|227.0|0|227.0|0|6.0|0|0.0|100
0|2021-10-27|227.0|0|227.0|0|6.0|0|0.0|100
0|2021-10-28|227.0|0|227.0|0|6.0|0|0.0|100
0|2021-10-29|228.0|0|228.0|0|6.0|0|0.0|100
0|2021-10-30|228.0|0|228.0|0|6.0|0|0.0|100
0|2021-10-31|228.0|0|228.0|0|6.0|0|0.0|100
0|2021-11-01|228.0|0|228.0|0|6.0|0|0.0|100
0|2021-11-02|231.0|0|231.0|0|6.0|0|0.0|100
0|2021-11-03|231.0|0|231.0|0|6.0|0|0.0|100
0|2021-11-04|232.0|0|232.0|0|6.0|0|0.0|100
0|2021-11-05|232.0|0|232.0|0|6.0|0|0.0|100
0|2021-11-06|232.0|0|232.0|0|6.0|0|0.0|100
0|2021-11-07|232.0|0|232.0|0|6.0|0|0.0|100
0|2021-11-08|232.0|0|232.0|0|6.0|0|0.0|100
0|2021-11-09|232.0|0|232.0|0|6.0|0|0.0|100
0|2021-11-10|232.0|0|232.0|0|6.0|0|0.0|100
0|2021-11-11|232.0|0|232.0|0|6.0|0|0.0|100
0|2021-11-12|232.0|0|232.0|0|6.0|0|0.0|100
0|2021-11-13|232.0|0|232.0|0|6.0|0|0.0|100
0|2021-11-14|232.0|0|232.0|0|6.0|0|0.0|100
0|2021-11-15|232.0|0|232.0|0|6.0|0|0.0|100
0|2021-11-16|232.0|0|232.0|0|6.0|0|0.0|100
0|2021-11-17|232.0|0|232.0|0|6.0|0|0.0|100
0|2021-11-18|232.0|0|232.0|0|6.0|0|0.0|100
0|2021-11-19|232.0|0|232.0|0|6.0|0|0.0|100
0|2021-11-20|232.0|0|232.0|0|6.0|0|0.0|100
0|2021-11-21|232.0|0|232.0|0|6.0|0|0.0|100
0|2021-11-22|232.0|0|232.0|0|6.0|0|0.0|100
0|2021-11-23|232.0|0|232.0|0|6.0|0|0.0|100
0|2021-11-24|233.0|0|233.0|0|6.0|0|0.0|100
0|2021-11-25|233.0|0|233.0|0|6.0|0|0.0|100
0|2021-11-26|233.0|0|233.0|0|6.0|0|0.0|100
0|2021-11-27|233.0|0|233.0|0|6.0|0|0.0|100
0|2021-11-28|233.0|0|233.0|0|6.0|0|0.0|100
