|dates|KingWilliam_Virginia_UnitedStates.JHU_ConfirmedCases.data|KingWilliam_Virginia_UnitedStates.JHU_ConfirmedCases.missing|KingWilliam_Virginia_UnitedStates.NYT_ConfirmedCases.data|KingWilliam_Virginia_UnitedStates.NYT_ConfirmedCases.missing|KingWilliam_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|KingWilliam_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|KingWilliam_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|KingWilliam_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1857.0|0|1857.0|0|24.0|0|0.0|100
0|2021-10-18|1868.0|0|1868.0|0|24.0|0|0.0|100
0|2021-10-19|1876.0|0|1876.0|0|24.0|0|0.0|100
0|2021-10-20|1884.0|0|1884.0|0|24.0|0|0.0|100
0|2021-10-21|1886.0|0|1886.0|0|24.0|0|0.0|100
0|2021-10-22|1896.0|0|1896.0|0|24.0|0|0.0|100
0|2021-10-23|1896.0|0|1896.0|0|24.0|0|0.0|100
0|2021-10-24|1896.0|0|1896.0|0|24.0|0|0.0|100
0|2021-10-25|1907.0|0|1907.0|0|24.0|0|0.0|100
0|2021-10-26|1908.0|0|1908.0|0|24.0|0|0.0|100
0|2021-10-27|1911.0|0|1911.0|0|24.0|0|0.0|100
0|2021-10-28|1919.0|0|1919.0|0|24.0|0|0.0|100
0|2021-10-29|1922.0|0|1922.0|0|24.0|0|0.0|100
0|2021-10-30|1922.0|0|1922.0|0|24.0|0|0.0|100
0|2021-10-31|1922.0|0|1922.0|0|24.0|0|0.0|100
0|2021-11-01|1936.0|0|1936.0|0|24.0|0|0.0|100
0|2021-11-02|1938.0|0|1938.0|0|24.0|0|0.0|100
0|2021-11-03|1943.0|0|1943.0|0|24.0|0|0.0|100
0|2021-11-04|1944.0|0|1944.0|0|24.0|0|0.0|100
0|2021-11-05|1949.0|0|1949.0|0|24.0|0|0.0|100
0|2021-11-06|1949.0|0|1949.0|0|24.0|0|0.0|100
0|2021-11-07|1949.0|0|1949.0|0|24.0|0|0.0|100
0|2021-11-08|1969.0|0|1969.0|0|24.0|0|0.0|100
0|2021-11-09|1980.0|0|1980.0|0|24.0|0|0.0|100
0|2021-11-10|1985.0|0|1985.0|0|24.0|0|0.0|100
0|2021-11-11|1993.0|0|1993.0|0|24.0|0|0.0|100
0|2021-11-12|1995.0|0|1995.0|0|24.0|0|0.0|100
0|2021-11-13|1995.0|0|1995.0|0|24.0|0|0.0|100
0|2021-11-14|1995.0|0|1995.0|0|24.0|0|0.0|100
0|2021-11-15|2015.0|0|2015.0|0|24.0|0|0.0|100
0|2021-11-16|2016.0|0|2016.0|0|24.0|0|0.0|100
0|2021-11-17|2019.0|0|2019.0|0|24.0|0|0.0|100
0|2021-11-18|2028.0|0|2028.0|0|24.0|0|0.0|100
0|2021-11-19|2034.0|0|2034.0|0|24.0|0|0.0|100
0|2021-11-20|2034.0|0|2034.0|0|24.0|0|0.0|100
0|2021-11-21|2034.0|0|2034.0|0|24.0|0|0.0|100
0|2021-11-22|2044.0|0|2044.0|0|24.0|0|0.0|100
0|2021-11-23|2052.0|0|2052.0|0|24.0|0|0.0|100
