|dates|Morrison_Minnesota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Morrison_Minnesota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Morrison_Minnesota_UnitedStates.Male_Total_Population.data|Morrison_Minnesota_UnitedStates.Male_Total_Population.missing|Morrison_Minnesota_UnitedStates.Female_Total_Population.data|Morrison_Minnesota_UnitedStates.Female_Total_Population.missing|Morrison_Minnesota_UnitedStates.MaleAndFemale_Under18_Population.data|Morrison_Minnesota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-10-18|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-10-19|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-10-20|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-10-21|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-10-22|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-10-23|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-10-24|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-10-25|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-10-26|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-10-27|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-10-28|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-10-29|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-10-30|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-10-31|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-11-01|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-11-02|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-11-03|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-11-04|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-11-05|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-11-06|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-11-07|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-11-08|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-11-09|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-11-10|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-11-11|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-11-12|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-11-13|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-11-14|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-11-15|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-11-16|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-11-17|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-11-18|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-11-19|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-11-20|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-11-21|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-11-22|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-11-23|6487.0|0|16745.0|0|16424.0|0|7761.0|0
