|dates|Floyd_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Floyd_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Floyd_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Floyd_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Floyd_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Floyd_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Floyd_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Floyd_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|6898.0|0|6898.0|0|109.0|0|0.0|100
0|2021-10-18|6940.0|0|6940.0|0|111.0|0|0.0|100
0|2021-10-19|6976.0|0|6976.0|0|111.0|0|0.0|100
0|2021-10-20|6997.0|0|6997.0|0|111.0|0|0.0|100
0|2021-10-21|7016.0|0|7016.0|0|111.0|0|0.0|100
0|2021-10-22|7038.0|0|7038.0|0|111.0|0|0.0|100
0|2021-10-23|7038.0|0|7038.0|0|111.0|0|0.0|100
0|2021-10-24|7038.0|0|7038.0|0|111.0|0|0.0|100
0|2021-10-25|7069.0|0|7069.0|0|111.0|0|0.0|100
0|2021-10-26|7083.0|0|7083.0|0|111.0|0|0.0|100
0|2021-10-27|7094.0|0|7094.0|0|111.0|0|0.0|100
0|2021-10-28|7114.0|0|7114.0|0|111.0|0|0.0|100
0|2021-10-29|7133.0|0|7133.0|0|111.0|0|0.0|100
0|2021-10-30|7133.0|0|7133.0|0|111.0|0|0.0|100
0|2021-10-31|7133.0|0|7133.0|0|111.0|0|0.0|100
0|2021-11-01|7147.0|0|7147.0|0|111.0|0|0.0|100
0|2021-11-02|7158.0|0|7158.0|0|111.0|0|0.0|100
0|2021-11-03|7178.0|0|7178.0|0|111.0|0|0.0|100
0|2021-11-04|7196.0|0|7196.0|0|111.0|0|0.0|100
0|2021-11-05|7207.0|0|7207.0|0|111.0|0|0.0|100
0|2021-11-06|7207.0|0|7207.0|0|111.0|0|0.0|100
0|2021-11-07|7207.0|0|7207.0|0|111.0|0|0.0|100
0|2021-11-08|7231.0|0|7231.0|0|111.0|0|0.0|100
0|2021-11-09|7246.0|0|7246.0|0|111.0|0|0.0|100
0|2021-11-10|7246.0|0|7263.0|0|111.0|0|0.0|100
0|2021-11-11|7263.0|0|7263.0|0|112.0|0|0.0|100
0|2021-11-12|7278.0|0|7278.0|0|114.0|0|0.0|100
0|2021-11-13|7278.0|0|7278.0|0|114.0|0|0.0|100
0|2021-11-14|7278.0|0|7278.0|0|114.0|0|0.0|100
0|2021-11-15|7298.0|0|7298.0|0|114.0|0|0.0|100
0|2021-11-16|7308.0|0|7308.0|0|115.0|0|0.0|100
0|2021-11-17|7323.0|0|7323.0|0|116.0|0|0.0|100
0|2021-11-18|7334.0|0|7334.0|0|116.0|0|0.0|100
0|2021-11-19|7350.0|0|7350.0|0|117.0|0|0.0|100
0|2021-11-20|7350.0|0|7350.0|0|117.0|0|0.0|100
0|2021-11-21|7350.0|0|7350.0|0|117.0|0|0.0|100
0|2021-11-22|7402.0|0|7402.0|0|120.0|0|0.0|100
0|2021-11-23|7435.0|0|7435.0|0|123.0|0|0.0|100
0|2021-11-24|7448.0|0|7448.0|0|125.0|0|0.0|100
0|2021-11-25|7448.0|0|7448.0|0|125.0|0|0.0|100
0|2021-11-26|7448.0|0|7448.0|0|125.0|0|0.0|100
0|2021-11-27|7448.0|0|7448.0|0|125.0|0|0.0|100
0|2021-11-28|7448.0|0|7448.0|0|125.0|0|0.0|100
0|2021-11-29|7500.0|0|7500.0|0|129.0|0|0.0|100
0|2021-11-30|7531.0|0|7531.0|0|129.0|0|0.0|100
0|2021-12-01|7568.0|0|7568.0|0|132.0|0|0.0|100
0|2021-12-02|7568.0|0|7608.0|0|132.0|0|0.0|100
