|dates|SanJuan_NewMexico_UnitedStates.BLS_EmployedPopulation.data|SanJuan_NewMexico_UnitedStates.BLS_EmployedPopulation.missing|SanJuan_NewMexico_UnitedStates.BLS_UnemployedPopulation.data|SanJuan_NewMexico_UnitedStates.BLS_UnemployedPopulation.missing|SanJuan_NewMexico_UnitedStates.BLS_UnemploymentRate.data|SanJuan_NewMexico_UnitedStates.BLS_UnemploymentRate.missing|SanJuan_NewMexico_UnitedStates.BLS_LaborForcePopulation.data|SanJuan_NewMexico_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-12-18|44778.0|0|4207.0|0|8.588343370419516|0|48985.0|0
0|2021-12-19|44778.0|0|4207.0|0|8.588343370419516|0|48985.0|0
0|2021-12-20|44778.0|0|4207.0|0|8.588343370419516|0|48985.0|0
0|2021-12-21|44778.0|0|4207.0|0|8.588343370419516|0|48985.0|0
0|2021-12-22|44778.0|0|4207.0|0|8.588343370419516|0|48985.0|0
0|2021-12-23|44778.0|0|4207.0|0|8.588343370419516|0|48985.0|0
0|2021-12-24|44778.0|0|4207.0|0|8.588343370419516|0|48985.0|0
0|2021-12-25|44778.0|0|4207.0|0|8.588343370419516|0|48985.0|0
0|2021-12-26|44778.0|0|4207.0|0|8.588343370419516|0|48985.0|0
0|2021-12-27|44778.0|0|4207.0|0|8.588343370419516|0|48985.0|0
0|2021-12-28|44778.0|0|4207.0|0|8.588343370419516|0|48985.0|0
0|2021-12-29|44778.0|0|4207.0|0|8.588343370419516|0|48985.0|0
0|2021-12-30|44778.0|0|4207.0|0|8.588343370419516|0|48985.0|0
0|2021-12-31|44778.0|0|4207.0|0|8.588343370419516|0|48985.0|0
0|2022-01-01|44778.0|0|4207.0|0|8.588343370419516|0|48985.0|0
0|2022-01-02|44778.0|0|4207.0|0|8.588343370419516|0|48985.0|0
0|2022-01-03|44778.0|0|4207.0|0|8.588343370419516|0|48985.0|0
0|2022-01-04|44778.0|0|4207.0|0|8.588343370419516|0|48985.0|0
0|2022-01-05|44778.0|0|4207.0|0|8.588343370419516|0|48985.0|0
0|2022-01-06|44778.0|0|4207.0|0|8.588343370419516|0|48985.0|0
0|2022-01-07|44778.0|0|4207.0|0|8.588343370419516|0|48985.0|0
0|2022-01-08|44778.0|0|4207.0|0|8.588343370419516|0|48985.0|0
0|2022-01-09|44778.0|0|4207.0|0|8.588343370419516|0|48985.0|0
0|2022-01-10|44778.0|0|4207.0|0|8.588343370419516|0|48985.0|0
0|2022-01-11|44778.0|0|4207.0|0|8.588343370419516|0|48985.0|0
0|2022-01-12|44778.0|0|4207.0|0|8.588343370419516|0|48985.0|0
0|2022-01-13|44778.0|0|4207.0|0|8.588343370419516|0|48985.0|0
0|2022-01-14|44778.0|0|4207.0|0|8.588343370419516|0|48985.0|0
0|2022-01-15|44778.0|0|4207.0|0|8.588343370419516|0|48985.0|0
0|2022-01-16|44778.0|0|4207.0|0|8.588343370419516|0|48985.0|0
0|2022-01-17|44778.0|0|4207.0|0|8.588343370419516|0|48985.0|0
