|dates|DeafSmith_Texas_UnitedStates.JHU_ConfirmedCases.data|DeafSmith_Texas_UnitedStates.JHU_ConfirmedCases.missing|DeafSmith_Texas_UnitedStates.NYT_ConfirmedCases.data|DeafSmith_Texas_UnitedStates.NYT_ConfirmedCases.missing|DeafSmith_Texas_UnitedStates.JHU_ConfirmedDeaths.data|DeafSmith_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|DeafSmith_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|DeafSmith_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3364.0|0|3364.0|0|74.0|0|0.0|100
0|2021-10-18|3364.0|0|3364.0|0|74.0|0|0.0|100
0|2021-10-19|3371.0|0|3371.0|0|75.0|0|0.0|100
0|2021-10-20|3372.0|0|3372.0|0|75.0|0|0.0|100
0|2021-10-21|3375.0|0|3375.0|0|75.0|0|0.0|100
0|2021-10-22|3375.0|0|3375.0|0|75.0|0|0.0|100
0|2021-10-23|3382.0|0|3382.0|0|75.0|0|0.0|100
0|2021-10-24|3382.0|0|3382.0|0|75.0|0|0.0|100
0|2021-10-25|3382.0|0|3382.0|0|75.0|0|0.0|100
0|2021-10-26|3394.0|0|3394.0|0|75.0|0|0.0|100
0|2021-10-27|3395.0|0|3395.0|0|75.0|0|0.0|100
0|2021-10-28|3395.0|0|3395.0|0|75.0|0|0.0|100
0|2021-10-29|3400.0|0|3400.0|0|76.0|0|0.0|100
0|2021-10-30|3403.0|0|3403.0|0|78.0|0|0.0|100
0|2021-10-31|3403.0|0|3403.0|0|78.0|0|0.0|100
0|2021-11-01|3403.0|0|3403.0|0|78.0|0|0.0|100
0|2021-11-02|3413.0|0|3413.0|0|79.0|0|0.0|100
0|2021-11-03|3414.0|0|3414.0|0|79.0|0|0.0|100
0|2021-11-04|3421.0|0|3421.0|0|79.0|0|0.0|100
0|2021-11-05|3421.0|0|3421.0|0|79.0|0|0.0|100
0|2021-11-06|3424.0|0|3424.0|0|79.0|0|0.0|100
0|2021-11-07|3424.0|0|3424.0|0|79.0|0|0.0|100
0|2021-11-08|3424.0|0|3424.0|0|79.0|0|0.0|100
0|2021-11-09|3438.0|0|3438.0|0|79.0|0|0.0|100
0|2021-11-10|3438.0|0|3438.0|0|79.0|0|0.0|100
0|2021-11-11|3447.0|0|3447.0|0|82.0|0|0.0|100
0|2021-11-12|3447.0|0|3447.0|0|84.0|0|0.0|100
0|2021-11-13|3452.0|0|3452.0|0|84.0|0|0.0|100
0|2021-11-14|3452.0|0|3452.0|0|84.0|0|0.0|100
0|2021-11-15|3452.0|0|3452.0|0|84.0|0|0.0|100
0|2021-11-16|3460.0|0|3460.0|0|84.0|0|0.0|100
0|2021-11-17|3467.0|0|3467.0|0|84.0|0|0.0|100
0|2021-11-18|3467.0|0|3467.0|0|84.0|0|0.0|100
0|2021-11-19|3479.0|0|3479.0|0|84.0|0|0.0|100
0|2021-11-20|3486.0|0|3486.0|0|84.0|0|0.0|100
0|2021-11-21|3486.0|0|3486.0|0|84.0|0|0.0|100
0|2021-11-22|3486.0|0|3486.0|0|84.0|0|0.0|100
0|2021-11-23|3499.0|0|3499.0|0|84.0|0|0.0|100
0|2021-11-24|3499.0|0|3499.0|0|84.0|0|0.0|100
0|2021-11-25|3499.0|0|3499.0|0|84.0|0|0.0|100
0|2021-11-26|3499.0|0|3499.0|0|84.0|0|0.0|100
0|2021-11-27|3499.0|0|3499.0|0|84.0|0|0.0|100
0|2021-11-28|3499.0|0|3499.0|0|84.0|0|0.0|100
0|2021-11-29|3523.0|0|3523.0|0|85.0|0|0.0|100
0|2021-11-30|3528.0|0|3528.0|0|86.0|0|0.0|100
0|2021-12-01|3530.0|0|3530.0|0|86.0|0|0.0|100
0|2021-12-02|3533.0|0|3533.0|0|87.0|0|0.0|100
0|2021-12-03|3544.0|0|3544.0|0|87.0|0|0.0|100
0|2021-12-04|3544.0|0|3546.0|0|87.0|0|0.0|100
0|2021-12-05|3548.0|0|3548.0|0|87.0|0|0.0|100
0|2021-12-06|3554.0|0|3554.0|0|87.0|0|0.0|100
0|2021-12-07|3555.0|0|3555.0|0|87.0|0|0.0|100
0|2021-12-08|3558.0|0|3558.0|0|87.0|0|0.0|100
