|dates|Smith_Kansas_UnitedStates.JHU_ConfirmedCases.data|Smith_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Smith_Kansas_UnitedStates.NYT_ConfirmedCases.data|Smith_Kansas_UnitedStates.NYT_ConfirmedCases.missing|Smith_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Smith_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Smith_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Smith_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|381.0|0|381.0|0|3.0|0|0.0|100
0|2021-10-18|382.0|0|382.0|0|3.0|0|0.0|100
0|2021-10-19|382.0|0|382.0|0|3.0|0|0.0|100
0|2021-10-20|388.0|0|388.0|0|3.0|0|0.0|100
0|2021-10-21|388.0|0|388.0|0|3.0|0|0.0|100
0|2021-10-22|392.0|0|392.0|0|3.0|0|0.0|100
0|2021-10-23|392.0|0|392.0|0|3.0|0|0.0|100
0|2021-10-24|392.0|0|392.0|0|3.0|0|0.0|100
0|2021-10-25|393.0|0|393.0|0|3.0|0|0.0|100
0|2021-10-26|393.0|0|393.0|0|3.0|0|0.0|100
0|2021-10-27|398.0|0|398.0|0|3.0|0|0.0|100
0|2021-10-28|398.0|0|398.0|0|3.0|0|0.0|100
0|2021-10-29|404.0|0|404.0|0|3.0|0|0.0|100
0|2021-10-30|404.0|0|404.0|0|3.0|0|0.0|100
0|2021-10-31|404.0|0|404.0|0|3.0|0|0.0|100
0|2021-11-01|405.0|0|405.0|0|3.0|0|0.0|100
0|2021-11-02|405.0|0|405.0|0|3.0|0|0.0|100
0|2021-11-03|408.0|0|408.0|0|3.0|0|0.0|100
0|2021-11-04|408.0|0|408.0|0|3.0|0|0.0|100
0|2021-11-05|409.0|0|409.0|0|3.0|0|0.0|100
0|2021-11-06|409.0|0|409.0|0|3.0|0|0.0|100
0|2021-11-07|409.0|0|409.0|0|3.0|0|0.0|100
0|2021-11-08|413.0|0|413.0|0|3.0|0|0.0|100
0|2021-11-09|413.0|0|413.0|0|3.0|0|0.0|100
0|2021-11-10|413.0|0|415.0|0|3.0|0|0.0|100
0|2021-11-11|415.0|0|415.0|0|3.0|0|0.0|100
0|2021-11-12|418.0|0|418.0|0|3.0|0|0.0|100
0|2021-11-13|418.0|0|418.0|0|3.0|0|0.0|100
0|2021-11-14|418.0|0|418.0|0|3.0|0|0.0|100
0|2021-11-15|420.0|0|420.0|0|3.0|0|0.0|100
0|2021-11-16|420.0|0|420.0|0|3.0|0|0.0|100
0|2021-11-17|429.0|0|429.0|0|3.0|0|0.0|100
0|2021-11-18|429.0|0|429.0|0|3.0|0|0.0|100
0|2021-11-19|438.0|0|438.0|0|3.0|0|0.0|100
0|2021-11-20|438.0|0|438.0|0|3.0|0|0.0|100
0|2021-11-21|438.0|0|438.0|0|3.0|0|0.0|100
0|2021-11-22|442.0|0|442.0|0|3.0|0|0.0|100
0|2021-11-23|442.0|0|442.0|0|3.0|0|0.0|100
0|2021-11-24|442.0|0|465.0|0|3.0|0|0.0|100
0|2021-11-25|465.0|0|465.0|0|3.0|0|0.0|100
0|2021-11-26|465.0|0|465.0|0|3.0|0|0.0|100
0|2021-11-27|465.0|0|465.0|0|3.0|0|0.0|100
0|2021-11-28|465.0|0|465.0|0|3.0|0|0.0|100
0|2021-11-29|473.0|0|473.0|0|3.0|0|0.0|100
0|2021-11-30|473.0|0|473.0|0|3.0|0|0.0|100
0|2021-12-01|473.0|0|473.0|0|3.0|0|0.0|100
0|2021-12-02|473.0|0|473.0|0|3.0|0|0.0|100
0|2021-12-03|473.0|0|478.0|0|3.0|0|0.0|100
0|2021-12-04|478.0|0|478.0|0|3.0|0|0.0|100
0|2021-12-05|478.0|0|478.0|0|3.0|0|0.0|100
0|2021-12-06|479.0|0|479.0|0|3.0|0|0.0|100
0|2021-12-07|479.0|0|479.0|0|3.0|0|0.0|100
0|2021-12-08|482.0|0|482.0|0|3.0|0|0.0|100
0|2021-12-09|482.0|0|482.0|0|3.0|0|0.0|100
0|2021-12-10|484.0|0|484.0|0|3.0|0|0.0|100
0|2021-12-11|484.0|0|484.0|0|3.0|0|0.0|100
0|2021-12-12|484.0|0|484.0|0|3.0|0|0.0|100
0|2021-12-13|486.0|0|486.0|0|3.0|0|0.0|100
0|2021-12-14|486.0|0|486.0|0|3.0|0|0.0|100
0|2021-12-15|488.0|0|488.0|0|3.0|0|0.0|100
0|2021-12-16|488.0|0|488.0|0|3.0|0|0.0|100
0|2021-12-17|489.0|0|489.0|0|3.0|0|0.0|100
0|2021-12-18|489.0|0|489.0|0|3.0|0|0.0|100
0|2021-12-19|489.0|0|489.0|0|3.0|0|0.0|100
0|2021-12-20|490.0|0|490.0|0|3.0|0|0.0|100
0|2021-12-21|490.0|0|490.0|0|3.0|0|0.0|100
0|2021-12-22|496.0|0|496.0|0|3.0|0|0.0|100
0|2021-12-23|496.0|0|496.0|0|3.0|0|0.0|100
0|2021-12-24|496.0|0|496.0|0|3.0|0|0.0|100
0|2021-12-25|496.0|0|496.0|0|3.0|0|0.0|100
0|2021-12-26|496.0|0|496.0|0|3.0|0|0.0|100
0|2021-12-27|503.0|0|503.0|0|3.0|0|0.0|100
0|2021-12-28|503.0|0|503.0|0|3.0|0|0.0|100
0|2021-12-29|505.0|0|505.0|0|3.0|0|0.0|100
0|2021-12-30|505.0|0|505.0|0|3.0|0|0.0|100
0|2021-12-31|505.0|0|505.0|0|3.0|0|0.0|100
0|2022-01-01|505.0|0|505.0|0|3.0|0|0.0|100
0|2022-01-02|505.0|0|505.0|0|3.0|0|0.0|100
0|2022-01-03|512.0|0|512.0|0|3.0|0|0.0|100
0|2022-01-04|512.0|0|512.0|0|3.0|0|0.0|100
0|2022-01-05|519.0|0|519.0|0|3.0|0|0.0|100
0|2022-01-06|519.0|0|519.0|0|3.0|0|0.0|100
0|2022-01-07|530.0|0|530.0|0|5.0|0|0.0|100
0|2022-01-08|530.0|0|530.0|0|5.0|0|0.0|100
0|2022-01-09|530.0|0|530.0|0|5.0|0|0.0|100
0|2022-01-10|533.0|0|533.0|0|5.0|0|0.0|100
0|2022-01-11|533.0|0|533.0|0|5.0|0|0.0|100
0|2022-01-12|533.0|0|542.0|0|5.0|0|0.0|100
0|2022-01-13|533.0|0|550.0|0|5.0|0|0.0|100
0|2022-01-14|566.0|0|566.0|0|5.0|0|0.0|100
0|2022-01-15|566.0|0|566.0|0|5.0|0|0.0|100
0|2022-01-16|566.0|0|566.0|0|5.0|0|0.0|100
0|2022-01-17|566.0|0|0.0|100|5.0|0|0.0|100
