|dates|Hernando_Florida_UnitedStates.JHU_ConfirmedCases.data|Hernando_Florida_UnitedStates.JHU_ConfirmedCases.missing|Hernando_Florida_UnitedStates.NYT_ConfirmedCases.data|Hernando_Florida_UnitedStates.NYT_ConfirmedCases.missing|Hernando_Florida_UnitedStates.JHU_ConfirmedDeaths.data|Hernando_Florida_UnitedStates.JHU_ConfirmedDeaths.missing|Hernando_Florida_UnitedStates.JHU_ConfirmedRecoveries.data|Hernando_Florida_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|28487.0|0|28373.0|0|482.0|0|0.0|100
0|2021-10-18|28487.0|0|28373.0|0|482.0|0|0.0|100
0|2021-10-19|28487.0|0|28373.0|0|482.0|0|0.0|100
0|2021-10-20|28487.0|0|28373.0|0|482.0|0|0.0|100
0|2021-10-21|28487.0|0|28373.0|0|482.0|0|0.0|100
0|2021-10-22|28582.0|0|28468.0|0|482.0|0|0.0|100
0|2021-10-23|28582.0|0|28468.0|0|482.0|0|0.0|100
0|2021-10-24|28582.0|0|28468.0|0|482.0|0|0.0|100
0|2021-10-25|28582.0|0|28468.0|0|482.0|0|0.0|100
0|2021-10-26|28582.0|0|28468.0|0|482.0|0|0.0|100
0|2021-10-27|28582.0|0|28468.0|0|482.0|0|0.0|100
0|2021-10-28|28582.0|0|28468.0|0|482.0|0|0.0|100
0|2021-10-29|28638.0|0|28524.0|0|482.0|0|0.0|100
0|2021-10-30|28638.0|0|28524.0|0|482.0|0|0.0|100
0|2021-10-31|28638.0|0|28524.0|0|482.0|0|0.0|100
0|2021-11-01|28638.0|0|28524.0|0|482.0|0|0.0|100
0|2021-11-02|28638.0|0|28524.0|0|482.0|0|0.0|100
0|2021-11-03|28638.0|0|28524.0|0|482.0|0|0.0|100
0|2021-11-04|28638.0|0|28524.0|0|482.0|0|0.0|100
0|2021-11-05|28707.0|0|28593.0|0|482.0|0|0.0|100
0|2021-11-06|28707.0|0|28593.0|0|482.0|0|0.0|100
0|2021-11-07|28707.0|0|28593.0|0|482.0|0|0.0|100
0|2021-11-08|28707.0|0|28593.0|0|482.0|0|0.0|100
0|2021-11-09|28707.0|0|28593.0|0|482.0|0|0.0|100
0|2021-11-10|28707.0|0|28593.0|0|482.0|0|0.0|100
0|2021-11-11|28707.0|0|28593.0|0|482.0|0|0.0|100
0|2021-11-12|28744.0|0|28630.0|0|482.0|0|0.0|100
0|2021-11-13|28744.0|0|28630.0|0|482.0|0|0.0|100
