|dates|DuPage_Illinois_UnitedStates.JHU_ConfirmedCases.data|DuPage_Illinois_UnitedStates.JHU_ConfirmedCases.missing|DuPage_Illinois_UnitedStates.NYT_ConfirmedCases.data|DuPage_Illinois_UnitedStates.NYT_ConfirmedCases.missing|DuPage_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|DuPage_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|DuPage_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|DuPage_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|107465.0|0|107465.0|0|1374.0|0|0.0|100
0|2021-10-18|107803.0|0|107803.0|0|1375.0|0|0.0|100
0|2021-10-19|107962.0|0|107962.0|0|1375.0|0|0.0|100
0|2021-10-20|108127.0|0|108127.0|0|1376.0|0|0.0|100
0|2021-10-21|108322.0|0|108322.0|0|1378.0|0|0.0|100
0|2021-10-22|108621.0|0|108621.0|0|1379.0|0|0.0|100
0|2021-10-23|108621.0|0|108621.0|0|1379.0|0|0.0|100
0|2021-10-24|108621.0|0|108621.0|0|1379.0|0|0.0|100
0|2021-10-25|108983.0|0|108983.0|0|1384.0|0|0.0|100
0|2021-10-26|109167.0|0|109167.0|0|1385.0|0|0.0|100
0|2021-10-27|109320.0|0|109320.0|0|1384.0|0|0.0|100
0|2021-10-28|109481.0|0|109481.0|0|1384.0|0|0.0|100
0|2021-10-29|109707.0|0|109707.0|0|1385.0|0|0.0|100
0|2021-10-30|109707.0|0|109707.0|0|1385.0|0|0.0|100
0|2021-10-31|109707.0|0|109707.0|0|1385.0|0|0.0|100
0|2021-11-01|110185.0|0|110185.0|0|1389.0|0|0.0|100
0|2021-11-02|110357.0|0|110357.0|0|1389.0|0|0.0|100
0|2021-11-03|110504.0|0|110504.0|0|1389.0|0|0.0|100
0|2021-11-04|110799.0|0|110799.0|0|1389.0|0|0.0|100
0|2021-11-05|111030.0|0|111030.0|0|1390.0|0|0.0|100
0|2021-11-06|111030.0|0|111030.0|0|1390.0|0|0.0|100
0|2021-11-07|111030.0|0|111030.0|0|1390.0|0|0.0|100
0|2021-11-08|111581.0|0|111581.0|0|1392.0|0|0.0|100
0|2021-11-09|111728.0|0|111728.0|0|1393.0|0|0.0|100
0|2021-11-10|112094.0|0|112094.0|0|1393.0|0|0.0|100
0|2021-11-11|112094.0|0|112094.0|0|1393.0|0|0.0|100
0|2021-11-12|112586.0|0|112586.0|0|1395.0|0|0.0|100
0|2021-11-13|112586.0|0|112586.0|0|1395.0|0|0.0|100
0|2021-11-14|112586.0|0|112586.0|0|1395.0|0|0.0|100
0|2021-11-15|113228.0|0|113228.0|0|1398.0|0|0.0|100
0|2021-11-16|113440.0|0|113440.0|0|1398.0|0|0.0|100
0|2021-11-17|113752.0|0|113752.0|0|1399.0|0|0.0|100
