|dates|Gulf_Florida_UnitedStates.JHU_ConfirmedCases.data|Gulf_Florida_UnitedStates.JHU_ConfirmedCases.missing|Gulf_Florida_UnitedStates.NYT_ConfirmedCases.data|Gulf_Florida_UnitedStates.NYT_ConfirmedCases.missing|Gulf_Florida_UnitedStates.JHU_ConfirmedDeaths.data|Gulf_Florida_UnitedStates.JHU_ConfirmedDeaths.missing|Gulf_Florida_UnitedStates.JHU_ConfirmedRecoveries.data|Gulf_Florida_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2984.0|0|2960.0|0|45.0|0|0.0|100
0|2021-10-18|2984.0|0|2960.0|0|45.0|0|0.0|100
0|2021-10-19|2984.0|0|2960.0|0|45.0|0|0.0|100
0|2021-10-20|2984.0|0|2960.0|0|45.0|0|0.0|100
0|2021-10-21|2984.0|0|2960.0|0|45.0|0|0.0|100
0|2021-10-22|2991.0|0|2967.0|0|45.0|0|0.0|100
0|2021-10-23|2991.0|0|2967.0|0|45.0|0|0.0|100
0|2021-10-24|2991.0|0|2967.0|0|45.0|0|0.0|100
0|2021-10-25|2991.0|0|2967.0|0|45.0|0|0.0|100
0|2021-10-26|2991.0|0|2967.0|0|45.0|0|0.0|100
0|2021-10-27|2991.0|0|2967.0|0|45.0|0|0.0|100
0|2021-10-28|2991.0|0|2967.0|0|45.0|0|0.0|100
0|2021-10-29|2996.0|0|2972.0|0|45.0|0|0.0|100
0|2021-10-30|2996.0|0|2972.0|0|45.0|0|0.0|100
0|2021-10-31|2996.0|0|2972.0|0|45.0|0|0.0|100
0|2021-11-01|2996.0|0|2972.0|0|45.0|0|0.0|100
0|2021-11-02|2996.0|0|2972.0|0|45.0|0|0.0|100
0|2021-11-03|2996.0|0|2972.0|0|45.0|0|0.0|100
0|2021-11-04|2996.0|0|2972.0|0|45.0|0|0.0|100
0|2021-11-05|3000.0|0|2976.0|0|45.0|0|0.0|100
0|2021-11-06|3000.0|0|2976.0|0|45.0|0|0.0|100
0|2021-11-07|3000.0|0|2976.0|0|45.0|0|0.0|100
0|2021-11-08|3000.0|0|2976.0|0|45.0|0|0.0|100
0|2021-11-09|3000.0|0|2976.0|0|45.0|0|0.0|100
0|2021-11-10|3000.0|0|2976.0|0|45.0|0|0.0|100
0|2021-11-11|3000.0|0|2976.0|0|45.0|0|0.0|100
0|2021-11-12|3001.0|0|2977.0|0|45.0|0|0.0|100
0|2021-11-13|3001.0|0|2977.0|0|45.0|0|0.0|100
0|2021-11-14|3001.0|0|2977.0|0|45.0|0|0.0|100
0|2021-11-15|3001.0|0|2977.0|0|45.0|0|0.0|100
0|2021-11-16|3001.0|0|2977.0|0|45.0|0|0.0|100
0|2021-11-17|3001.0|0|2977.0|0|45.0|0|0.0|100
0|2021-11-18|3001.0|0|2977.0|0|45.0|0|0.0|100
0|2021-11-19|3002.0|0|2978.0|0|45.0|0|0.0|100
0|2021-11-20|3002.0|0|2978.0|0|45.0|0|0.0|100
0|2021-11-21|3002.0|0|2978.0|0|45.0|0|0.0|100
0|2021-11-22|3002.0|0|2978.0|0|45.0|0|0.0|100
0|2021-11-23|3002.0|0|2978.0|0|45.0|0|0.0|100
0|2021-11-24|3002.0|0|2978.0|0|45.0|0|0.0|100
0|2021-11-25|3002.0|0|2978.0|0|45.0|0|0.0|100
0|2021-11-26|3002.0|0|2978.0|0|45.0|0|0.0|100
0|2021-11-27|3002.0|0|2978.0|0|45.0|0|0.0|100
0|2021-11-28|3002.0|0|2978.0|0|45.0|0|0.0|100
0|2021-11-29|3002.0|0|2978.0|0|45.0|0|0.0|100
0|2021-11-30|3003.0|0|2979.0|0|45.0|0|0.0|100
0|2021-12-01|3003.0|0|2979.0|0|45.0|0|0.0|100
0|2021-12-02|3003.0|0|2979.0|0|45.0|0|0.0|100
0|2021-12-03|3003.0|0|2979.0|0|45.0|0|0.0|100
0|2021-12-04|3003.0|0|2979.0|0|45.0|0|0.0|100
0|2021-12-05|3003.0|0|2979.0|0|45.0|0|0.0|100
0|2021-12-06|3003.0|0|2979.0|0|45.0|0|0.0|100
