|dates|Mineral_Colorado_UnitedStates.JHU_ConfirmedCases.data|Mineral_Colorado_UnitedStates.JHU_ConfirmedCases.missing|Mineral_Colorado_UnitedStates.NYT_ConfirmedCases.data|Mineral_Colorado_UnitedStates.NYT_ConfirmedCases.missing|Mineral_Colorado_UnitedStates.JHU_ConfirmedDeaths.data|Mineral_Colorado_UnitedStates.JHU_ConfirmedDeaths.missing|Mineral_Colorado_UnitedStates.JHU_ConfirmedRecoveries.data|Mineral_Colorado_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2022-01-01|153.0|0|153.0|0|1.0|0|0.0|100
0|2022-01-02|153.0|0|153.0|0|1.0|0|0.0|100
0|2022-01-03|153.0|0|153.0|0|1.0|0|0.0|100
0|2022-01-04|155.0|0|155.0|0|1.0|0|0.0|100
0|2022-01-05|156.0|0|156.0|0|1.0|0|0.0|100
0|2022-01-06|157.0|0|157.0|0|1.0|0|0.0|100
0|2022-01-07|158.0|0|158.0|0|1.0|0|0.0|100
0|2022-01-08|158.0|0|158.0|0|1.0|0|0.0|100
0|2022-01-09|158.0|0|158.0|0|1.0|0|0.0|100
0|2022-01-10|160.0|0|160.0|0|1.0|0|0.0|100
0|2022-01-11|164.0|0|164.0|0|1.0|0|0.0|100
0|2022-01-12|166.0|0|166.0|0|1.0|0|0.0|100
0|2022-01-13|166.0|0|169.0|0|1.0|0|0.0|100
0|2022-01-14|180.0|0|175.0|0|1.0|0|0.0|100
0|2022-01-15|180.0|0|180.0|0|1.0|0|0.0|100
0|2022-01-16|180.0|0|180.0|0|1.0|0|0.0|100
0|2022-01-17|185.0|0|0.0|100|1.0|0|0.0|100
