|dates|Cumberland_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Cumberland_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Cumberland_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Cumberland_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Cumberland_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Cumberland_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Cumberland_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Cumberland_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|10917.0|0|10917.0|0|214.0|0|0.0|100
0|2021-10-18|10953.0|0|10953.0|0|215.0|0|0.0|100
0|2021-10-19|10969.0|0|10969.0|0|215.0|0|0.0|100
0|2021-10-20|10982.0|0|10982.0|0|216.0|0|0.0|100
0|2021-10-21|11000.0|0|11000.0|0|216.0|0|0.0|100
0|2021-10-22|11015.0|0|11015.0|0|219.0|0|0.0|100
0|2021-10-23|11015.0|0|11015.0|0|219.0|0|0.0|100
0|2021-10-24|11015.0|0|11015.0|0|219.0|0|0.0|100
0|2021-10-25|11015.0|0|11015.0|0|219.0|0|0.0|100
0|2021-10-26|11056.0|0|11056.0|0|221.0|0|0.0|100
0|2021-10-27|11069.0|0|11069.0|0|224.0|0|0.0|100
0|2021-10-28|11084.0|0|11084.0|0|224.0|0|0.0|100
0|2021-10-29|11095.0|0|11095.0|0|224.0|0|0.0|100
0|2021-10-30|11095.0|0|11095.0|0|224.0|0|0.0|100
0|2021-10-31|11095.0|0|11095.0|0|224.0|0|0.0|100
0|2021-11-01|11095.0|0|11095.0|0|224.0|0|0.0|100
0|2021-11-02|11115.0|0|11115.0|0|224.0|0|0.0|100
0|2021-11-03|11124.0|0|11124.0|0|224.0|0|0.0|100
0|2021-11-04|11147.0|0|11147.0|0|224.0|0|0.0|100
0|2021-11-05|11159.0|0|11159.0|0|225.0|0|0.0|100
0|2021-11-06|11159.0|0|11159.0|0|225.0|0|0.0|100
0|2021-11-07|11159.0|0|11159.0|0|225.0|0|0.0|100
0|2021-11-08|11159.0|0|11159.0|0|225.0|0|0.0|100
0|2021-11-09|11205.0|0|11205.0|0|226.0|0|0.0|100
0|2021-11-10|11216.0|0|11216.0|0|226.0|0|0.0|100
0|2021-11-11|11216.0|0|11216.0|0|226.0|0|0.0|100
0|2021-11-12|11254.0|0|11254.0|0|226.0|0|0.0|100
0|2021-11-13|11254.0|0|11254.0|0|226.0|0|0.0|100
0|2021-11-14|11254.0|0|11254.0|0|226.0|0|0.0|100
0|2021-11-15|11300.0|0|11300.0|0|226.0|0|0.0|100
0|2021-11-16|11314.0|0|11314.0|0|227.0|0|0.0|100
0|2021-11-17|11331.0|0|11331.0|0|227.0|0|0.0|100
0|2021-11-18|11356.0|0|11356.0|0|227.0|0|0.0|100
0|2021-11-19|11372.0|0|11372.0|0|227.0|0|0.0|100
0|2021-11-20|11372.0|0|11372.0|0|227.0|0|0.0|100
0|2021-11-21|11372.0|0|11372.0|0|227.0|0|0.0|100
0|2021-11-22|11418.0|0|11418.0|0|227.0|0|0.0|100
0|2021-11-23|11430.0|0|11430.0|0|227.0|0|0.0|100
0|2021-11-24|11435.0|0|11435.0|0|230.0|0|0.0|100
0|2021-11-25|11435.0|0|11435.0|0|230.0|0|0.0|100
0|2021-11-26|11435.0|0|11435.0|0|230.0|0|0.0|100
