|dates|Sullivan_Indiana_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Sullivan_Indiana_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Sullivan_Indiana_UnitedStates.Male_Total_Population.data|Sullivan_Indiana_UnitedStates.Male_Total_Population.missing|Sullivan_Indiana_UnitedStates.Female_Total_Population.data|Sullivan_Indiana_UnitedStates.Female_Total_Population.missing|Sullivan_Indiana_UnitedStates.MaleAndFemale_Under18_Population.data|Sullivan_Indiana_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|3718.0|0|11241.0|0|9449.0|0|3979.0|0
0|2021-10-18|3718.0|0|11241.0|0|9449.0|0|3979.0|0
0|2021-10-19|3718.0|0|11241.0|0|9449.0|0|3979.0|0
0|2021-10-20|3718.0|0|11241.0|0|9449.0|0|3979.0|0
0|2021-10-21|3718.0|0|11241.0|0|9449.0|0|3979.0|0
0|2021-10-22|3718.0|0|11241.0|0|9449.0|0|3979.0|0
0|2021-10-23|3718.0|0|11241.0|0|9449.0|0|3979.0|0
0|2021-10-24|3718.0|0|11241.0|0|9449.0|0|3979.0|0
0|2021-10-25|3718.0|0|11241.0|0|9449.0|0|3979.0|0
0|2021-10-26|3718.0|0|11241.0|0|9449.0|0|3979.0|0
0|2021-10-27|3718.0|0|11241.0|0|9449.0|0|3979.0|0
0|2021-10-28|3718.0|0|11241.0|0|9449.0|0|3979.0|0
0|2021-10-29|3718.0|0|11241.0|0|9449.0|0|3979.0|0
0|2021-10-30|3718.0|0|11241.0|0|9449.0|0|3979.0|0
0|2021-10-31|3718.0|0|11241.0|0|9449.0|0|3979.0|0
0|2021-11-01|3718.0|0|11241.0|0|9449.0|0|3979.0|0
0|2021-11-02|3718.0|0|11241.0|0|9449.0|0|3979.0|0
0|2021-11-03|3718.0|0|11241.0|0|9449.0|0|3979.0|0
0|2021-11-04|3718.0|0|11241.0|0|9449.0|0|3979.0|0
0|2021-11-05|3718.0|0|11241.0|0|9449.0|0|3979.0|0
0|2021-11-06|3718.0|0|11241.0|0|9449.0|0|3979.0|0
0|2021-11-07|3718.0|0|11241.0|0|9449.0|0|3979.0|0
0|2021-11-08|3718.0|0|11241.0|0|9449.0|0|3979.0|0
0|2021-11-09|3718.0|0|11241.0|0|9449.0|0|3979.0|0
0|2021-11-10|3718.0|0|11241.0|0|9449.0|0|3979.0|0
0|2021-11-11|3718.0|0|11241.0|0|9449.0|0|3979.0|0
0|2021-11-12|3718.0|0|11241.0|0|9449.0|0|3979.0|0
0|2021-11-13|3718.0|0|11241.0|0|9449.0|0|3979.0|0
