|dates|Monroe_Indiana_UnitedStates.JHU_ConfirmedCases.data|Monroe_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Monroe_Indiana_UnitedStates.NYT_ConfirmedCases.data|Monroe_Indiana_UnitedStates.NYT_ConfirmedCases.missing|Monroe_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Monroe_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Monroe_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Monroe_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|15117.0|0|15121.0|0|197.0|0|0.0|100
0|2021-10-18|15180.0|0|15184.0|0|197.0|0|0.0|100
0|2021-10-19|15205.0|0|15209.0|0|198.0|0|0.0|100
0|2021-10-20|15218.0|0|15222.0|0|199.0|0|0.0|100
0|2021-10-21|15242.0|0|15246.0|0|199.0|0|0.0|100
0|2021-10-22|15263.0|0|15267.0|0|200.0|0|0.0|100
0|2021-10-23|15263.0|0|15267.0|0|200.0|0|0.0|100
0|2021-10-24|15263.0|0|15267.0|0|200.0|0|0.0|100
0|2021-10-25|15319.0|0|15323.0|0|200.0|0|0.0|100
0|2021-10-26|15340.0|0|15344.0|0|199.0|0|0.0|100
0|2021-10-27|15361.0|0|15365.0|0|199.0|0|0.0|100
0|2021-10-28|15395.0|0|15399.0|0|200.0|0|0.0|100
0|2021-10-29|15430.0|0|15434.0|0|201.0|0|0.0|100
0|2021-10-30|15430.0|0|15434.0|0|201.0|0|0.0|100
0|2021-10-31|15430.0|0|15434.0|0|201.0|0|0.0|100
0|2021-11-01|15498.0|0|15502.0|0|201.0|0|0.0|100
0|2021-11-02|15509.0|0|15513.0|0|201.0|0|0.0|100
0|2021-11-03|15532.0|0|15536.0|0|202.0|0|0.0|100
0|2021-11-04|15549.0|0|15553.0|0|202.0|0|0.0|100
0|2021-11-05|15599.0|0|15603.0|0|203.0|0|0.0|100
0|2021-11-06|15599.0|0|15603.0|0|203.0|0|0.0|100
