|dates|Logan_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Logan_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Logan_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Logan_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Logan_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Logan_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Logan_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Logan_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4994.0|0|4994.0|0|79.0|0|0.0|100
0|2021-10-18|5013.0|0|5013.0|0|81.0|0|0.0|100
0|2021-10-19|5021.0|0|5021.0|0|81.0|0|0.0|100
0|2021-10-20|5027.0|0|5027.0|0|81.0|0|0.0|100
0|2021-10-21|5029.0|0|5029.0|0|81.0|0|0.0|100
0|2021-10-22|5044.0|0|5044.0|0|81.0|0|0.0|100
0|2021-10-23|5044.0|0|5044.0|0|81.0|0|0.0|100
0|2021-10-24|5044.0|0|5044.0|0|81.0|0|0.0|100
0|2021-10-25|5061.0|0|5061.0|0|81.0|0|0.0|100
0|2021-10-26|5067.0|0|5067.0|0|81.0|0|0.0|100
0|2021-10-27|5075.0|0|5075.0|0|81.0|0|0.0|100
0|2021-10-28|5085.0|0|5085.0|0|81.0|0|0.0|100
0|2021-10-29|5090.0|0|5090.0|0|81.0|0|0.0|100
0|2021-10-30|5090.0|0|5090.0|0|81.0|0|0.0|100
0|2021-10-31|5090.0|0|5090.0|0|81.0|0|0.0|100
0|2021-11-01|5100.0|0|5100.0|0|81.0|0|0.0|100
0|2021-11-02|5104.0|0|5104.0|0|81.0|0|0.0|100
0|2021-11-03|5108.0|0|5108.0|0|81.0|0|0.0|100
0|2021-11-04|5109.0|0|5109.0|0|82.0|0|0.0|100
0|2021-11-05|5111.0|0|5111.0|0|83.0|0|0.0|100
0|2021-11-06|5111.0|0|5111.0|0|83.0|0|0.0|100
0|2021-11-07|5111.0|0|5111.0|0|83.0|0|0.0|100
0|2021-11-08|5119.0|0|5119.0|0|84.0|0|0.0|100
0|2021-11-09|5130.0|0|5130.0|0|84.0|0|0.0|100
0|2021-11-10|5130.0|0|5134.0|0|84.0|0|0.0|100
0|2021-11-11|5134.0|0|5134.0|0|85.0|0|0.0|100
0|2021-11-12|5146.0|0|5146.0|0|85.0|0|0.0|100
0|2021-11-13|5146.0|0|5146.0|0|85.0|0|0.0|100
0|2021-11-14|5146.0|0|5146.0|0|85.0|0|0.0|100
0|2021-11-15|5160.0|0|5160.0|0|88.0|0|0.0|100
0|2021-11-16|5161.0|0|5161.0|0|88.0|0|0.0|100
0|2021-11-17|5170.0|0|5170.0|0|88.0|0|0.0|100
0|2021-11-18|5176.0|0|5176.0|0|88.0|0|0.0|100
0|2021-11-19|5178.0|0|5178.0|0|89.0|0|0.0|100
0|2021-11-20|5178.0|0|5178.0|0|89.0|0|0.0|100
0|2021-11-21|5178.0|0|5178.0|0|89.0|0|0.0|100
0|2021-11-22|5202.0|0|5202.0|0|90.0|0|0.0|100
0|2021-11-23|5207.0|0|5207.0|0|90.0|0|0.0|100
0|2021-11-24|5217.0|0|5217.0|0|90.0|0|0.0|100
0|2021-11-25|5217.0|0|5217.0|0|90.0|0|0.0|100
0|2021-11-26|5217.0|0|5217.0|0|90.0|0|0.0|100
0|2021-11-27|5217.0|0|5217.0|0|90.0|0|0.0|100
0|2021-11-28|5217.0|0|5217.0|0|90.0|0|0.0|100
0|2021-11-29|5242.0|0|5242.0|0|90.0|0|0.0|100
