|dates|Upshur_Texas_UnitedStates.JHU_ConfirmedCases.data|Upshur_Texas_UnitedStates.JHU_ConfirmedCases.missing|Upshur_Texas_UnitedStates.NYT_ConfirmedCases.data|Upshur_Texas_UnitedStates.NYT_ConfirmedCases.missing|Upshur_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Upshur_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Upshur_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Upshur_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5760.0|0|5760.0|0|129.0|0|0.0|100
0|2021-10-18|5760.0|0|5760.0|0|129.0|0|0.0|100
0|2021-10-19|5766.0|0|5766.0|0|136.0|0|0.0|100
0|2021-10-20|5772.0|0|5772.0|0|137.0|0|0.0|100
0|2021-10-21|5790.0|0|5790.0|0|138.0|0|0.0|100
0|2021-10-22|5792.0|0|5792.0|0|139.0|0|0.0|100
0|2021-10-23|5792.0|0|5792.0|0|139.0|0|0.0|100
0|2021-10-24|5797.0|0|5797.0|0|139.0|0|0.0|100
0|2021-10-25|5797.0|0|5797.0|0|139.0|0|0.0|100
0|2021-10-26|5811.0|0|5811.0|0|140.0|0|0.0|100
0|2021-10-27|5815.0|0|5815.0|0|140.0|0|0.0|100
0|2021-10-28|5819.0|0|5819.0|0|140.0|0|0.0|100
0|2021-10-29|5822.0|0|5822.0|0|140.0|0|0.0|100
0|2021-10-30|5831.0|0|5831.0|0|140.0|0|0.0|100
0|2021-10-31|5831.0|0|5831.0|0|140.0|0|0.0|100
0|2021-11-01|5831.0|0|5831.0|0|140.0|0|0.0|100
0|2021-11-02|5843.0|0|5843.0|0|141.0|0|0.0|100
0|2021-11-03|5850.0|0|5850.0|0|143.0|0|0.0|100
0|2021-11-04|5849.0|0|5849.0|0|143.0|0|0.0|100
0|2021-11-05|5854.0|0|5854.0|0|143.0|0|0.0|100
0|2021-11-06|5856.0|0|5856.0|0|144.0|0|0.0|100
0|2021-11-07|5856.0|0|5856.0|0|144.0|0|0.0|100
0|2021-11-08|5856.0|0|5856.0|0|144.0|0|0.0|100
0|2021-11-09|5860.0|0|5860.0|0|145.0|0|0.0|100
0|2021-11-10|5860.0|0|5860.0|0|145.0|0|0.0|100
0|2021-11-11|5870.0|0|5870.0|0|147.0|0|0.0|100
0|2021-11-12|5871.0|0|5871.0|0|148.0|0|0.0|100
0|2021-11-13|5873.0|0|5873.0|0|149.0|0|0.0|100
0|2021-11-14|5873.0|0|5873.0|0|149.0|0|0.0|100
0|2021-11-15|5873.0|0|5873.0|0|149.0|0|0.0|100
0|2021-11-16|5873.0|0|5873.0|0|150.0|0|0.0|100
0|2021-11-17|5873.0|0|5873.0|0|151.0|0|0.0|100
0|2021-11-18|5873.0|0|5873.0|0|151.0|0|0.0|100
0|2021-11-19|5873.0|0|5873.0|0|153.0|0|0.0|100
0|2021-11-20|5874.0|0|5874.0|0|153.0|0|0.0|100
0|2021-11-21|5874.0|0|5874.0|0|153.0|0|0.0|100
0|2021-11-22|5874.0|0|5874.0|0|153.0|0|0.0|100
0|2021-11-23|5878.0|0|5878.0|0|154.0|0|0.0|100
0|2021-11-24|5881.0|0|5881.0|0|154.0|0|0.0|100
0|2021-11-25|5881.0|0|5881.0|0|154.0|0|0.0|100
0|2021-11-26|5881.0|0|5881.0|0|154.0|0|0.0|100
0|2021-11-27|5881.0|0|5881.0|0|154.0|0|0.0|100
0|2021-11-28|5881.0|0|5881.0|0|154.0|0|0.0|100
0|2021-11-29|5888.0|0|5888.0|0|154.0|0|0.0|100
0|2021-11-30|5895.0|0|5895.0|0|154.0|0|0.0|100
0|2021-12-01|5901.0|0|5901.0|0|155.0|0|0.0|100
0|2021-12-02|5906.0|0|5906.0|0|155.0|0|0.0|100
0|2021-12-03|5912.0|0|5912.0|0|155.0|0|0.0|100
0|2021-12-04|5913.0|0|5913.0|0|155.0|0|0.0|100
0|2021-12-05|5913.0|0|5913.0|0|155.0|0|0.0|100
0|2021-12-06|5914.0|0|5914.0|0|155.0|0|0.0|100
0|2021-12-07|5917.0|0|5917.0|0|155.0|0|0.0|100
