|dates|Lyon_Nevada_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Lyon_Nevada_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Lyon_Nevada_UnitedStates.Male_Total_Population.data|Lyon_Nevada_UnitedStates.Male_Total_Population.missing|Lyon_Nevada_UnitedStates.Female_Total_Population.data|Lyon_Nevada_UnitedStates.Female_Total_Population.missing|Lyon_Nevada_UnitedStates.MaleAndFemale_Under18_Population.data|Lyon_Nevada_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|11813.0|0|28540.0|0|27268.0|0|11946.0|0
0|2021-10-18|11813.0|0|28540.0|0|27268.0|0|11946.0|0
0|2021-10-19|11813.0|0|28540.0|0|27268.0|0|11946.0|0
0|2021-10-20|11813.0|0|28540.0|0|27268.0|0|11946.0|0
0|2021-10-21|11813.0|0|28540.0|0|27268.0|0|11946.0|0
0|2021-10-22|11813.0|0|28540.0|0|27268.0|0|11946.0|0
0|2021-10-23|11813.0|0|28540.0|0|27268.0|0|11946.0|0
0|2021-10-24|11813.0|0|28540.0|0|27268.0|0|11946.0|0
0|2021-10-25|11813.0|0|28540.0|0|27268.0|0|11946.0|0
0|2021-10-26|11813.0|0|28540.0|0|27268.0|0|11946.0|0
0|2021-10-27|11813.0|0|28540.0|0|27268.0|0|11946.0|0
0|2021-10-28|11813.0|0|28540.0|0|27268.0|0|11946.0|0
0|2021-10-29|11813.0|0|28540.0|0|27268.0|0|11946.0|0
0|2021-10-30|11813.0|0|28540.0|0|27268.0|0|11946.0|0
0|2021-10-31|11813.0|0|28540.0|0|27268.0|0|11946.0|0
0|2021-11-01|11813.0|0|28540.0|0|27268.0|0|11946.0|0
0|2021-11-02|11813.0|0|28540.0|0|27268.0|0|11946.0|0
0|2021-11-03|11813.0|0|28540.0|0|27268.0|0|11946.0|0
0|2021-11-04|11813.0|0|28540.0|0|27268.0|0|11946.0|0
0|2021-11-05|11813.0|0|28540.0|0|27268.0|0|11946.0|0
0|2021-11-06|11813.0|0|28540.0|0|27268.0|0|11946.0|0
0|2021-11-07|11813.0|0|28540.0|0|27268.0|0|11946.0|0
0|2021-11-08|11813.0|0|28540.0|0|27268.0|0|11946.0|0
0|2021-11-09|11813.0|0|28540.0|0|27268.0|0|11946.0|0
0|2021-11-10|11813.0|0|28540.0|0|27268.0|0|11946.0|0
0|2021-11-11|11813.0|0|28540.0|0|27268.0|0|11946.0|0
0|2021-11-12|11813.0|0|28540.0|0|27268.0|0|11946.0|0
0|2021-11-13|11813.0|0|28540.0|0|27268.0|0|11946.0|0
0|2021-11-14|11813.0|0|28540.0|0|27268.0|0|11946.0|0
0|2021-11-15|11813.0|0|28540.0|0|27268.0|0|11946.0|0
0|2021-11-16|11813.0|0|28540.0|0|27268.0|0|11946.0|0
0|2021-11-17|11813.0|0|28540.0|0|27268.0|0|11946.0|0
0|2021-11-18|11813.0|0|28540.0|0|27268.0|0|11946.0|0
0|2021-11-19|11813.0|0|28540.0|0|27268.0|0|11946.0|0
0|2021-11-20|11813.0|0|28540.0|0|27268.0|0|11946.0|0
0|2021-11-21|11813.0|0|28540.0|0|27268.0|0|11946.0|0
0|2021-11-22|11813.0|0|28540.0|0|27268.0|0|11946.0|0
0|2021-11-23|11813.0|0|28540.0|0|27268.0|0|11946.0|0
0|2021-11-24|11813.0|0|28540.0|0|27268.0|0|11946.0|0
0|2021-11-25|11813.0|0|28540.0|0|27268.0|0|11946.0|0
0|2021-11-26|11813.0|0|28540.0|0|27268.0|0|11946.0|0
