|dates|Missaukee_Michigan_UnitedStates.JHU_ConfirmedCases.data|Missaukee_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Missaukee_Michigan_UnitedStates.NYT_ConfirmedCases.data|Missaukee_Michigan_UnitedStates.NYT_ConfirmedCases.missing|Missaukee_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Missaukee_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Missaukee_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Missaukee_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1792.0|0|1792.0|0|34.0|0|0.0|100
0|2021-10-18|1803.0|0|1803.0|0|34.0|0|0.0|100
0|2021-10-19|1803.0|0|1803.0|0|34.0|0|0.0|100
0|2021-10-20|1806.0|0|1806.0|0|37.0|0|0.0|100
0|2021-10-21|1806.0|0|1806.0|0|37.0|0|0.0|100
0|2021-10-22|1819.0|0|1819.0|0|37.0|0|0.0|100
0|2021-10-23|1819.0|0|1819.0|0|37.0|0|0.0|100
0|2021-10-24|1819.0|0|1819.0|0|37.0|0|0.0|100
0|2021-10-25|1829.0|0|1829.0|0|37.0|0|0.0|100
0|2021-10-26|1829.0|0|1829.0|0|37.0|0|0.0|100
0|2021-10-27|1846.0|0|1846.0|0|37.0|0|0.0|100
0|2021-10-28|1846.0|0|1846.0|0|37.0|0|0.0|100
0|2021-10-29|1864.0|0|1864.0|0|38.0|0|0.0|100
0|2021-10-30|1864.0|0|1864.0|0|38.0|0|0.0|100
0|2021-10-31|1864.0|0|1864.0|0|38.0|0|0.0|100
0|2021-11-01|1884.0|0|1884.0|0|39.0|0|0.0|100
0|2021-11-02|1884.0|0|1884.0|0|39.0|0|0.0|100
0|2021-11-03|1897.0|0|1897.0|0|40.0|0|0.0|100
0|2021-11-04|1897.0|0|1897.0|0|40.0|0|0.0|100
0|2021-11-05|1907.0|0|1907.0|0|40.0|0|0.0|100
0|2021-11-06|1907.0|0|1907.0|0|40.0|0|0.0|100
0|2021-11-07|1907.0|0|1907.0|0|40.0|0|0.0|100
0|2021-11-08|1916.0|0|1916.0|0|40.0|0|0.0|100
0|2021-11-09|1916.0|0|1916.0|0|40.0|0|0.0|100
0|2021-11-10|1916.0|0|1920.0|0|40.0|0|0.0|100
0|2021-11-11|1920.0|0|1920.0|0|39.0|0|0.0|100
0|2021-11-12|1948.0|0|1948.0|0|41.0|0|0.0|100
0|2021-11-13|1948.0|0|1948.0|0|41.0|0|0.0|100
0|2021-11-14|1948.0|0|1948.0|0|41.0|0|0.0|100
0|2021-11-15|1969.0|0|1969.0|0|41.0|0|0.0|100
0|2021-11-16|1969.0|0|1969.0|0|41.0|0|0.0|100
0|2021-11-17|1985.0|0|1985.0|0|41.0|0|0.0|100
0|2021-11-18|1985.0|0|1985.0|0|41.0|0|0.0|100
0|2021-11-19|2012.0|0|2012.0|0|41.0|0|0.0|100
0|2021-11-20|2012.0|0|2012.0|0|41.0|0|0.0|100
