|dates|Knox_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Knox_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Knox_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Knox_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Knox_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Knox_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Knox_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Knox_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|77415.0|0|77415.0|0|884.0|0|0.0|100
0|2021-10-18|77662.0|0|77662.0|0|894.0|0|0.0|100
0|2021-10-19|77772.0|0|77772.0|0|903.0|0|0.0|100
0|2021-10-20|77902.0|0|77902.0|0|908.0|0|0.0|100
0|2021-10-21|78054.0|0|78054.0|0|911.0|0|0.0|100
0|2021-10-22|78177.0|0|78177.0|0|914.0|0|0.0|100
0|2021-10-23|78177.0|0|78177.0|0|914.0|0|0.0|100
0|2021-10-24|78177.0|0|78177.0|0|914.0|0|0.0|100
0|2021-10-25|78177.0|0|78177.0|0|914.0|0|0.0|100
0|2021-10-26|78435.0|0|78435.0|0|921.0|0|0.0|100
0|2021-10-27|78531.0|0|78531.0|0|921.0|0|0.0|100
0|2021-10-28|78642.0|0|78642.0|0|922.0|0|0.0|100
0|2021-10-29|78694.0|0|78694.0|0|926.0|0|0.0|100
0|2021-10-30|78694.0|0|78694.0|0|926.0|0|0.0|100
0|2021-10-31|78694.0|0|78694.0|0|926.0|0|0.0|100
0|2021-11-01|78694.0|0|78694.0|0|926.0|0|0.0|100
0|2021-11-02|78940.0|0|78940.0|0|928.0|0|0.0|100
0|2021-11-03|78979.0|0|78979.0|0|932.0|0|0.0|100
0|2021-11-04|79059.0|0|79059.0|0|932.0|0|0.0|100
0|2021-11-05|79125.0|0|79125.0|0|932.0|0|0.0|100
0|2021-11-06|79125.0|0|79125.0|0|932.0|0|0.0|100
0|2021-11-07|79125.0|0|79125.0|0|932.0|0|0.0|100
0|2021-11-08|79125.0|0|79125.0|0|932.0|0|0.0|100
