|dates|Clay_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Clay_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Clay_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Clay_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Clay_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Clay_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Clay_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Clay_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5069.0|0|5069.0|0|56.0|0|0.0|100
0|2021-10-18|5083.0|0|5083.0|0|56.0|0|0.0|100
0|2021-10-19|5086.0|0|5086.0|0|56.0|0|0.0|100
0|2021-10-20|5094.0|0|5094.0|0|56.0|0|0.0|100
0|2021-10-21|5097.0|0|5097.0|0|56.0|0|0.0|100
0|2021-10-22|5099.0|0|5099.0|0|57.0|0|0.0|100
0|2021-10-23|5099.0|0|5099.0|0|57.0|0|0.0|100
0|2021-10-24|5099.0|0|5099.0|0|57.0|0|0.0|100
0|2021-10-25|5102.0|0|5102.0|0|58.0|0|0.0|100
0|2021-10-26|5106.0|0|5106.0|0|58.0|0|0.0|100
0|2021-10-27|5111.0|0|5111.0|0|58.0|0|0.0|100
0|2021-10-28|5111.0|0|5111.0|0|58.0|0|0.0|100
0|2021-10-29|5114.0|0|5114.0|0|58.0|0|0.0|100
0|2021-10-30|5114.0|0|5114.0|0|58.0|0|0.0|100
0|2021-10-31|5114.0|0|5114.0|0|58.0|0|0.0|100
0|2021-11-01|5119.0|0|5119.0|0|59.0|0|0.0|100
0|2021-11-02|5124.0|0|5124.0|0|59.0|0|0.0|100
0|2021-11-03|5129.0|0|5129.0|0|59.0|0|0.0|100
0|2021-11-04|5136.0|0|5136.0|0|59.0|0|0.0|100
0|2021-11-05|5139.0|0|5139.0|0|59.0|0|0.0|100
0|2021-11-06|5139.0|0|5139.0|0|59.0|0|0.0|100
0|2021-11-07|5139.0|0|5139.0|0|59.0|0|0.0|100
0|2021-11-08|5143.0|0|5143.0|0|60.0|0|0.0|100
0|2021-11-09|5145.0|0|5145.0|0|60.0|0|0.0|100
0|2021-11-10|5145.0|0|5151.0|0|60.0|0|0.0|100
0|2021-11-11|5151.0|0|5151.0|0|60.0|0|0.0|100
0|2021-11-12|5158.0|0|5158.0|0|61.0|0|0.0|100
0|2021-11-13|5158.0|0|5158.0|0|61.0|0|0.0|100
0|2021-11-14|5158.0|0|5158.0|0|61.0|0|0.0|100
0|2021-11-15|5161.0|0|5161.0|0|61.0|0|0.0|100
0|2021-11-16|5164.0|0|5164.0|0|61.0|0|0.0|100
0|2021-11-17|5168.0|0|5168.0|0|61.0|0|0.0|100
0|2021-11-18|5174.0|0|5174.0|0|61.0|0|0.0|100
0|2021-11-19|5166.0|0|5166.0|0|62.0|0|0.0|100
0|2021-11-20|5166.0|0|5166.0|0|62.0|0|0.0|100
0|2021-11-21|5166.0|0|5166.0|0|62.0|0|0.0|100
0|2021-11-22|5168.0|0|5168.0|0|62.0|0|0.0|100
0|2021-11-23|5171.0|0|5171.0|0|62.0|0|0.0|100
0|2021-11-24|5175.0|0|5175.0|0|62.0|0|0.0|100
0|2021-11-25|5175.0|0|5175.0|0|62.0|0|0.0|100
0|2021-11-26|5175.0|0|5175.0|0|62.0|0|0.0|100
0|2021-11-27|5175.0|0|5175.0|0|62.0|0|0.0|100
0|2021-11-28|5175.0|0|5175.0|0|62.0|0|0.0|100
