|dates|Shelby_Alabama_UnitedStates.JHU_ConfirmedCases.data|Shelby_Alabama_UnitedStates.JHU_ConfirmedCases.missing|Shelby_Alabama_UnitedStates.NYT_ConfirmedCases.data|Shelby_Alabama_UnitedStates.NYT_ConfirmedCases.missing|Shelby_Alabama_UnitedStates.JHU_ConfirmedDeaths.data|Shelby_Alabama_UnitedStates.JHU_ConfirmedDeaths.missing|Shelby_Alabama_UnitedStates.JHU_ConfirmedRecoveries.data|Shelby_Alabama_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|37304.0|0|37304.0|0|341.0|0|0.0|100
0|2021-10-18|37315.0|0|37315.0|0|341.0|0|0.0|100
0|2021-10-19|37458.0|0|37458.0|0|346.0|0|0.0|100
0|2021-10-20|37488.0|0|37488.0|0|348.0|0|0.0|100
0|2021-10-21|37533.0|0|37533.0|0|348.0|0|0.0|100
0|2021-10-22|37575.0|0|37575.0|0|349.0|0|0.0|100
0|2021-10-23|37597.0|0|37597.0|0|350.0|0|0.0|100
0|2021-10-24|37622.0|0|37622.0|0|350.0|0|0.0|100
0|2021-10-25|37640.0|0|37640.0|0|350.0|0|0.0|100
0|2021-10-26|37685.0|0|37685.0|0|350.0|0|0.0|100
0|2021-10-27|37787.0|0|37787.0|0|350.0|0|0.0|100
0|2021-10-28|37832.0|0|37832.0|0|353.0|0|0.0|100
0|2021-10-29|37837.0|0|37837.0|0|355.0|0|0.0|100
0|2021-10-30|37867.0|0|37867.0|0|359.0|0|0.0|100
0|2021-10-31|37885.0|0|37885.0|0|359.0|0|0.0|100
0|2021-11-01|37905.0|0|37905.0|0|359.0|0|0.0|100
0|2021-11-02|37914.0|0|37914.0|0|358.0|0|0.0|100
0|2021-11-03|37929.0|0|37929.0|0|358.0|0|0.0|100
0|2021-11-04|37956.0|0|37956.0|0|359.0|0|0.0|100
0|2021-11-05|37978.0|0|37978.0|0|362.0|0|0.0|100
0|2021-11-06|37972.0|0|37972.0|0|361.0|0|0.0|100
0|2021-11-07|37995.0|0|37995.0|0|361.0|0|0.0|100
0|2021-11-08|38006.0|0|38006.0|0|361.0|0|0.0|100
0|2021-11-09|38045.0|0|38045.0|0|361.0|0|0.0|100
0|2021-11-10|38045.0|0|38042.0|0|361.0|0|0.0|100
0|2021-11-11|38050.0|0|38050.0|0|362.0|0|0.0|100
0|2021-11-12|38084.0|0|38084.0|0|362.0|0|0.0|100
0|2021-11-13|38082.0|0|38082.0|0|365.0|0|0.0|100
0|2021-11-14|38094.0|0|38094.0|0|365.0|0|0.0|100
0|2021-11-15|38101.0|0|38101.0|0|365.0|0|0.0|100
0|2021-11-16|38122.0|0|38122.0|0|365.0|0|0.0|100
0|2021-11-17|38153.0|0|38153.0|0|365.0|0|0.0|100
0|2021-11-18|38189.0|0|38189.0|0|365.0|0|0.0|100
0|2021-11-19|38202.0|0|38202.0|0|367.0|0|0.0|100
0|2021-11-20|38242.0|0|38242.0|0|368.0|0|0.0|100
0|2021-11-21|38255.0|0|38255.0|0|368.0|0|0.0|100
0|2021-11-22|38275.0|0|38275.0|0|368.0|0|0.0|100
0|2021-11-23|38281.0|0|38281.0|0|368.0|0|0.0|100
0|2021-11-24|38310.0|0|38310.0|0|368.0|0|0.0|100
0|2021-11-25|38313.0|0|38313.0|0|368.0|0|0.0|100
0|2021-11-26|38313.0|0|38313.0|0|368.0|0|0.0|100
0|2021-11-27|38325.0|0|38325.0|0|368.0|0|0.0|100
0|2021-11-28|38328.0|0|38328.0|0|368.0|0|0.0|100
0|2021-11-29|38338.0|0|38338.0|0|368.0|0|0.0|100
0|2021-11-30|38338.0|0|38351.0|0|368.0|0|0.0|100
0|2021-12-01|38372.0|0|38372.0|0|371.0|0|0.0|100
0|2021-12-02|38395.0|0|38395.0|0|371.0|0|0.0|100
0|2021-12-03|38413.0|0|38413.0|0|371.0|0|0.0|100
0|2021-12-04|38435.0|0|38435.0|0|371.0|0|0.0|100
0|2021-12-05|38446.0|0|38446.0|0|371.0|0|0.0|100
0|2021-12-06|38454.0|0|38454.0|0|371.0|0|0.0|100
0|2021-12-07|38474.0|0|38474.0|0|373.0|0|0.0|100
0|2021-12-08|38507.0|0|38507.0|0|373.0|0|0.0|100
0|2021-12-09|38530.0|0|38530.0|0|373.0|0|0.0|100
0|2021-12-10|38558.0|0|38558.0|0|373.0|0|0.0|100
0|2021-12-11|38593.0|0|38593.0|0|375.0|0|0.0|100
0|2021-12-12|38615.0|0|38615.0|0|375.0|0|0.0|100
0|2021-12-13|38637.0|0|38637.0|0|375.0|0|0.0|100
