|dates|Stanton_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Stanton_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Stanton_Kansas_UnitedStates.Male_Total_Population.data|Stanton_Kansas_UnitedStates.Male_Total_Population.missing|Stanton_Kansas_UnitedStates.Female_Total_Population.data|Stanton_Kansas_UnitedStates.Female_Total_Population.missing|Stanton_Kansas_UnitedStates.MaleAndFemale_Under18_Population.data|Stanton_Kansas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-10-18|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-10-19|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-10-20|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-10-21|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-10-22|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-10-23|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-10-24|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-10-25|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-10-26|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-10-27|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-10-28|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-10-29|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-10-30|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-10-31|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-11-01|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-11-02|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-11-03|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-11-04|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-11-05|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-11-06|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-11-07|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-11-08|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-11-09|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-11-10|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-11-11|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-11-12|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-11-13|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-11-14|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-11-15|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-11-16|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-11-17|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-11-18|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-11-19|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-11-20|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-11-21|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-11-22|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-11-23|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-11-24|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-11-25|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-11-26|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-11-27|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-11-28|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-11-29|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-11-30|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-12-01|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-12-02|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-12-03|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-12-04|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-12-05|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-12-06|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-12-07|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-12-08|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-12-09|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-12-10|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-12-11|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-12-12|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-12-13|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-12-14|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-12-15|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-12-16|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-12-17|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-12-18|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-12-19|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-12-20|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-12-21|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-12-22|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-12-23|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-12-24|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-12-25|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-12-26|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-12-27|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-12-28|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-12-29|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-12-30|350.0|0|990.0|0|997.0|0|519.0|0
0|2021-12-31|350.0|0|990.0|0|997.0|0|519.0|0
0|2022-01-01|350.0|0|990.0|0|997.0|0|519.0|0
0|2022-01-02|350.0|0|990.0|0|997.0|0|519.0|0
0|2022-01-03|350.0|0|990.0|0|997.0|0|519.0|0
