|dates|Putnam_Missouri_UnitedStates.BLS_EmployedPopulation.data|Putnam_Missouri_UnitedStates.BLS_EmployedPopulation.missing|Putnam_Missouri_UnitedStates.BLS_UnemployedPopulation.data|Putnam_Missouri_UnitedStates.BLS_UnemployedPopulation.missing|Putnam_Missouri_UnitedStates.BLS_UnemploymentRate.data|Putnam_Missouri_UnitedStates.BLS_UnemploymentRate.missing|Putnam_Missouri_UnitedStates.BLS_LaborForcePopulation.data|Putnam_Missouri_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|2186.0|0|62.0|0|2.7580071174377223|0|2248.0|0
0|2021-10-18|2186.0|0|62.0|0|2.7580071174377223|0|2248.0|0
0|2021-10-19|2186.0|0|62.0|0|2.7580071174377223|0|2248.0|0
0|2021-10-20|2186.0|0|62.0|0|2.7580071174377223|0|2248.0|0
0|2021-10-21|2186.0|0|62.0|0|2.7580071174377223|0|2248.0|0
0|2021-10-22|2186.0|0|62.0|0|2.7580071174377223|0|2248.0|0
0|2021-10-23|2186.0|0|62.0|0|2.7580071174377223|0|2248.0|0
0|2021-10-24|2186.0|0|62.0|0|2.7580071174377223|0|2248.0|0
0|2021-10-25|2186.0|0|62.0|0|2.7580071174377223|0|2248.0|0
0|2021-10-26|2186.0|0|62.0|0|2.7580071174377223|0|2248.0|0
0|2021-10-27|2186.0|0|62.0|0|2.7580071174377223|0|2248.0|0
0|2021-10-28|2186.0|0|62.0|0|2.7580071174377223|0|2248.0|0
0|2021-10-29|2186.0|0|62.0|0|2.7580071174377223|0|2248.0|0
0|2021-10-30|2186.0|0|62.0|0|2.7580071174377223|0|2248.0|0
0|2021-10-31|2186.0|0|62.0|0|2.7580071174377223|0|2248.0|0
0|2021-11-01|2186.0|0|62.0|0|2.7580071174377223|0|2248.0|0
0|2021-11-02|2186.0|0|62.0|0|2.7580071174377223|0|2248.0|0
0|2021-11-03|2186.0|0|62.0|0|2.7580071174377223|0|2248.0|0
0|2021-11-04|2186.0|0|62.0|0|2.7580071174377223|0|2248.0|0
0|2021-11-05|2186.0|0|62.0|0|2.7580071174377223|0|2248.0|0
0|2021-11-06|2186.0|0|62.0|0|2.7580071174377223|0|2248.0|0
0|2021-11-07|2186.0|0|62.0|0|2.7580071174377223|0|2248.0|0
0|2021-11-08|2186.0|0|62.0|0|2.7580071174377223|0|2248.0|0
