|dates|Meigs_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Meigs_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Meigs_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Meigs_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Meigs_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Meigs_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Meigs_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Meigs_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2147.0|0|2147.0|0|28.0|0|0.0|100
0|2021-10-18|2153.0|0|2153.0|0|28.0|0|0.0|100
0|2021-10-19|2158.0|0|2158.0|0|28.0|0|0.0|100
0|2021-10-20|2163.0|0|2163.0|0|28.0|0|0.0|100
0|2021-10-21|2163.0|0|2163.0|0|28.0|0|0.0|100
0|2021-10-22|2161.0|0|2161.0|0|28.0|0|0.0|100
0|2021-10-23|2161.0|0|2161.0|0|28.0|0|0.0|100
0|2021-10-24|2161.0|0|2161.0|0|28.0|0|0.0|100
0|2021-10-25|2161.0|0|2161.0|0|28.0|0|0.0|100
0|2021-10-26|2169.0|0|2169.0|0|28.0|0|0.0|100
0|2021-10-27|2173.0|0|2173.0|0|28.0|0|0.0|100
0|2021-10-28|2179.0|0|2179.0|0|28.0|0|0.0|100
0|2021-10-29|2181.0|0|2181.0|0|28.0|0|0.0|100
0|2021-10-30|2181.0|0|2181.0|0|28.0|0|0.0|100
0|2021-10-31|2181.0|0|2181.0|0|28.0|0|0.0|100
0|2021-11-01|2181.0|0|2181.0|0|28.0|0|0.0|100
0|2021-11-02|2187.0|0|2187.0|0|28.0|0|0.0|100
0|2021-11-03|2192.0|0|2192.0|0|28.0|0|0.0|100
0|2021-11-04|2198.0|0|2198.0|0|28.0|0|0.0|100
0|2021-11-05|2197.0|0|2197.0|0|28.0|0|0.0|100
0|2021-11-06|2197.0|0|2197.0|0|28.0|0|0.0|100
0|2021-11-07|2197.0|0|2197.0|0|28.0|0|0.0|100
0|2021-11-08|2197.0|0|2197.0|0|28.0|0|0.0|100
0|2021-11-09|2200.0|0|2200.0|0|29.0|0|0.0|100
0|2021-11-10|2200.0|0|2201.0|0|29.0|0|0.0|100
0|2021-11-11|2201.0|0|2201.0|0|29.0|0|0.0|100
0|2021-11-12|2205.0|0|2205.0|0|29.0|0|0.0|100
0|2021-11-13|2205.0|0|2205.0|0|29.0|0|0.0|100
0|2021-11-14|2205.0|0|2205.0|0|29.0|0|0.0|100
0|2021-11-15|2211.0|0|2211.0|0|29.0|0|0.0|100
0|2021-11-16|2212.0|0|2212.0|0|30.0|0|0.0|100
0|2021-11-17|2213.0|0|2213.0|0|30.0|0|0.0|100
0|2021-11-18|2215.0|0|2215.0|0|30.0|0|0.0|100
0|2021-11-19|2215.0|0|2215.0|0|30.0|0|0.0|100
0|2021-11-20|2215.0|0|2215.0|0|30.0|0|0.0|100
0|2021-11-21|2215.0|0|2215.0|0|30.0|0|0.0|100
0|2021-11-22|2222.0|0|2222.0|0|30.0|0|0.0|100
0|2021-11-23|2223.0|0|2223.0|0|31.0|0|0.0|100
0|2021-11-24|2223.0|0|2223.0|0|31.0|0|0.0|100
0|2021-11-25|2223.0|0|2223.0|0|31.0|0|0.0|100
0|2021-11-26|2223.0|0|2223.0|0|31.0|0|0.0|100
0|2021-11-27|2223.0|0|2223.0|0|31.0|0|0.0|100
0|2021-11-28|2223.0|0|2223.0|0|31.0|0|0.0|100
0|2021-11-29|2232.0|0|2232.0|0|31.0|0|0.0|100
0|2021-11-30|2235.0|0|2235.0|0|31.0|0|0.0|100
0|2021-12-01|2236.0|0|2236.0|0|31.0|0|0.0|100
0|2021-12-02|2238.0|0|2238.0|0|32.0|0|0.0|100
0|2021-12-03|2239.0|0|2239.0|0|32.0|0|0.0|100
0|2021-12-04|2239.0|0|2239.0|0|32.0|0|0.0|100
0|2021-12-05|2239.0|0|2239.0|0|32.0|0|0.0|100
0|2021-12-06|2247.0|0|2247.0|0|33.0|0|0.0|100
0|2021-12-07|2252.0|0|2252.0|0|33.0|0|0.0|100
0|2021-12-08|2257.0|0|2257.0|0|33.0|0|0.0|100
0|2021-12-09|2257.0|0|2257.0|0|33.0|0|0.0|100
0|2021-12-10|2265.0|0|2265.0|0|33.0|0|0.0|100
0|2021-12-11|2265.0|0|2265.0|0|33.0|0|0.0|100
0|2021-12-12|2265.0|0|2265.0|0|33.0|0|0.0|100
0|2021-12-13|2274.0|0|2274.0|0|33.0|0|0.0|100
0|2021-12-14|2274.0|0|2282.0|0|33.0|0|0.0|100
0|2021-12-15|2288.0|0|2288.0|0|33.0|0|0.0|100
0|2021-12-16|2299.0|0|2299.0|0|33.0|0|0.0|100
0|2021-12-17|2299.0|0|2299.0|0|33.0|0|0.0|100
0|2021-12-18|2299.0|0|2299.0|0|33.0|0|0.0|100
0|2021-12-19|2299.0|0|2299.0|0|33.0|0|0.0|100
0|2021-12-20|2311.0|0|2311.0|0|33.0|0|0.0|100
0|2021-12-21|2312.0|0|2312.0|0|34.0|0|0.0|100
0|2021-12-22|2318.0|0|2318.0|0|34.0|0|0.0|100
0|2021-12-23|2328.0|0|2328.0|0|43.0|0|0.0|100
0|2021-12-24|2328.0|0|2328.0|0|43.0|0|0.0|100
0|2021-12-25|2328.0|0|2328.0|0|43.0|0|0.0|100
0|2021-12-26|2328.0|0|2328.0|0|43.0|0|0.0|100
0|2021-12-27|2333.0|0|2333.0|0|45.0|0|0.0|100
0|2021-12-28|2343.0|0|2343.0|0|46.0|0|0.0|100
0|2021-12-29|2344.0|0|2344.0|0|46.0|0|0.0|100
0|2021-12-30|2365.0|0|2365.0|0|46.0|0|0.0|100
0|2021-12-31|2365.0|0|2365.0|0|46.0|0|0.0|100
0|2022-01-01|2365.0|0|2365.0|0|46.0|0|0.0|100
0|2022-01-02|2365.0|0|2365.0|0|46.0|0|0.0|100
0|2022-01-03|2399.0|0|2399.0|0|46.0|0|0.0|100
0|2022-01-04|2410.0|0|2410.0|0|46.0|0|0.0|100
0|2022-01-05|2410.0|0|2410.0|0|46.0|0|0.0|100
0|2022-01-06|2410.0|0|2410.0|0|46.0|0|0.0|100
0|2022-01-07|2410.0|0|2410.0|0|46.0|0|0.0|100
0|2022-01-08|2410.0|0|2410.0|0|46.0|0|0.0|100
0|2022-01-09|2410.0|0|2410.0|0|46.0|0|0.0|100
0|2022-01-10|2410.0|0|2410.0|0|46.0|0|0.0|100
0|2022-01-11|2410.0|0|2410.0|0|46.0|0|0.0|100
0|2022-01-12|2492.0|0|2492.0|0|47.0|0|0.0|100
0|2022-01-13|2492.0|0|2492.0|0|47.0|0|0.0|100
0|2022-01-14|2492.0|0|2492.0|0|47.0|0|0.0|100
0|2022-01-15|2492.0|0|2492.0|0|47.0|0|0.0|100
0|2022-01-16|2492.0|0|2492.0|0|47.0|0|0.0|100
0|2022-01-17|2492.0|0|0.0|100|47.0|0|0.0|100
