|dates|BigHorn_Wyoming_UnitedStates.JHU_ConfirmedCases.data|BigHorn_Wyoming_UnitedStates.JHU_ConfirmedCases.missing|BigHorn_Wyoming_UnitedStates.NYT_ConfirmedCases.data|BigHorn_Wyoming_UnitedStates.NYT_ConfirmedCases.missing|BigHorn_Wyoming_UnitedStates.JHU_ConfirmedDeaths.data|BigHorn_Wyoming_UnitedStates.JHU_ConfirmedDeaths.missing|BigHorn_Wyoming_UnitedStates.JHU_ConfirmedRecoveries.data|BigHorn_Wyoming_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1956.0|0|1956.0|0|46.0|0|0.0|100
0|2021-10-18|1967.0|0|1967.0|0|46.0|0|0.0|100
0|2021-10-19|1974.0|0|1974.0|0|50.0|0|0.0|100
0|2021-10-20|1981.0|0|1981.0|0|50.0|0|0.0|100
0|2021-10-21|1987.0|0|1987.0|0|50.0|0|0.0|100
0|2021-10-22|1996.0|0|1996.0|0|50.0|0|0.0|100
0|2021-10-23|1996.0|0|1996.0|0|50.0|0|0.0|100
0|2021-10-24|1996.0|0|1996.0|0|50.0|0|0.0|100
0|2021-10-25|2003.0|0|2003.0|0|50.0|0|0.0|100
0|2021-10-26|2009.0|0|2009.0|0|53.0|0|0.0|100
0|2021-10-27|2013.0|0|2013.0|0|53.0|0|0.0|100
0|2021-10-28|2019.0|0|2019.0|0|53.0|0|0.0|100
0|2021-10-29|2025.0|0|2025.0|0|53.0|0|0.0|100
0|2021-10-30|2025.0|0|2025.0|0|53.0|0|0.0|100
0|2021-10-31|2025.0|0|2025.0|0|53.0|0|0.0|100
0|2021-11-01|2028.0|0|2028.0|0|53.0|0|0.0|100
0|2021-11-02|2032.0|0|2032.0|0|54.0|0|0.0|100
0|2021-11-03|2038.0|0|2038.0|0|54.0|0|0.0|100
0|2021-11-04|2050.0|0|2050.0|0|54.0|0|0.0|100
0|2021-11-05|2058.0|0|2058.0|0|54.0|0|0.0|100
0|2021-11-06|2058.0|0|2058.0|0|54.0|0|0.0|100
0|2021-11-07|2058.0|0|2058.0|0|54.0|0|0.0|100
0|2021-11-08|2070.0|0|2070.0|0|54.0|0|0.0|100
0|2021-11-09|2075.0|0|2075.0|0|56.0|0|0.0|100
0|2021-11-10|2081.0|0|2081.0|0|56.0|0|0.0|100
0|2021-11-11|2081.0|0|2081.0|0|56.0|0|0.0|100
0|2021-11-12|2091.0|0|2091.0|0|56.0|0|0.0|100
0|2021-11-13|2091.0|0|2091.0|0|56.0|0|0.0|100
0|2021-11-14|2091.0|0|2091.0|0|56.0|0|0.0|100
0|2021-11-15|2097.0|0|2097.0|0|56.0|0|0.0|100
0|2021-11-16|2106.0|0|2106.0|0|56.0|0|0.0|100
