|dates|Kerr_Texas_UnitedStates.JHU_ConfirmedCases.data|Kerr_Texas_UnitedStates.JHU_ConfirmedCases.missing|Kerr_Texas_UnitedStates.NYT_ConfirmedCases.data|Kerr_Texas_UnitedStates.NYT_ConfirmedCases.missing|Kerr_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Kerr_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Kerr_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Kerr_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|6472.0|0|6472.0|0|127.0|0|0.0|100
0|2021-10-18|6476.0|0|6476.0|0|127.0|0|0.0|100
0|2021-10-19|6480.0|0|6480.0|0|127.0|0|0.0|100
0|2021-10-20|6493.0|0|6493.0|0|129.0|0|0.0|100
0|2021-10-21|6502.0|0|6502.0|0|131.0|0|0.0|100
0|2021-10-22|6544.0|0|6544.0|0|132.0|0|0.0|100
0|2021-10-23|6544.0|0|6544.0|0|132.0|0|0.0|100
0|2021-10-24|6544.0|0|6544.0|0|132.0|0|0.0|100
0|2021-10-25|6547.0|0|6547.0|0|132.0|0|0.0|100
0|2021-10-26|6549.0|0|6549.0|0|132.0|0|0.0|100
0|2021-10-27|6549.0|0|6549.0|0|133.0|0|0.0|100
0|2021-10-28|6561.0|0|6561.0|0|134.0|0|0.0|100
0|2021-10-29|6570.0|0|6570.0|0|134.0|0|0.0|100
0|2021-10-30|6570.0|0|6570.0|0|134.0|0|0.0|100
0|2021-10-31|6570.0|0|6570.0|0|134.0|0|0.0|100
0|2021-11-01|6571.0|0|6571.0|0|134.0|0|0.0|100
0|2021-11-02|6571.0|0|6571.0|0|134.0|0|0.0|100
0|2021-11-03|6571.0|0|6571.0|0|134.0|0|0.0|100
0|2021-11-04|6571.0|0|6571.0|0|135.0|0|0.0|100
0|2021-11-05|6572.0|0|6572.0|0|135.0|0|0.0|100
0|2021-11-06|6572.0|0|6572.0|0|135.0|0|0.0|100
0|2021-11-07|6572.0|0|6572.0|0|135.0|0|0.0|100
