|dates|SantaCruz_Arizona_UnitedStates.JHU_ConfirmedCases.data|SantaCruz_Arizona_UnitedStates.JHU_ConfirmedCases.missing|SantaCruz_Arizona_UnitedStates.NYT_ConfirmedCases.data|SantaCruz_Arizona_UnitedStates.NYT_ConfirmedCases.missing|SantaCruz_Arizona_UnitedStates.JHU_ConfirmedDeaths.data|SantaCruz_Arizona_UnitedStates.JHU_ConfirmedDeaths.missing|SantaCruz_Arizona_UnitedStates.JHU_ConfirmedRecoveries.data|SantaCruz_Arizona_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|8916.0|0|8916.0|0|188.0|0|0.0|100
0|2021-10-18|8916.0|0|8916.0|0|188.0|0|0.0|100
0|2021-10-19|8933.0|0|8933.0|0|188.0|0|0.0|100
0|2021-10-20|8935.0|0|8935.0|0|188.0|0|0.0|100
0|2021-10-21|8954.0|0|8954.0|0|188.0|0|0.0|100
0|2021-10-22|8978.0|0|8978.0|0|188.0|0|0.0|100
0|2021-10-23|8993.0|0|8993.0|0|188.0|0|0.0|100
0|2021-10-24|8994.0|0|8994.0|0|188.0|0|0.0|100
0|2021-10-25|8994.0|0|8994.0|0|188.0|0|0.0|100
0|2021-10-26|8993.0|0|8993.0|0|189.0|0|0.0|100
0|2021-10-27|9022.0|0|9022.0|0|189.0|0|0.0|100
0|2021-10-28|9033.0|0|9033.0|0|189.0|0|0.0|100
0|2021-10-29|9062.0|0|9062.0|0|189.0|0|0.0|100
0|2021-10-30|9084.0|0|9084.0|0|190.0|0|0.0|100
0|2021-10-31|9095.0|0|9095.0|0|190.0|0|0.0|100
0|2021-11-01|9107.0|0|9107.0|0|191.0|0|0.0|100
0|2021-11-02|9118.0|0|9118.0|0|191.0|0|0.0|100
0|2021-11-03|9134.0|0|9134.0|0|191.0|0|0.0|100
0|2021-11-04|9156.0|0|9156.0|0|192.0|0|0.0|100
0|2021-11-05|9195.0|0|9195.0|0|193.0|0|0.0|100
0|2021-11-06|9229.0|0|9229.0|0|193.0|0|0.0|100
0|2021-11-07|9253.0|0|9253.0|0|193.0|0|0.0|100
0|2021-11-08|9270.0|0|9270.0|0|193.0|0|0.0|100
0|2021-11-09|9281.0|0|9281.0|0|194.0|0|0.0|100
0|2021-11-10|9307.0|0|9307.0|0|194.0|0|0.0|100
0|2021-11-11|9342.0|0|9342.0|0|194.0|0|0.0|100
0|2021-11-12|9389.0|0|9389.0|0|195.0|0|0.0|100
0|2021-11-13|9434.0|0|9434.0|0|195.0|0|0.0|100
0|2021-11-14|9463.0|0|9463.0|0|195.0|0|0.0|100
0|2021-11-15|9483.0|0|9483.0|0|195.0|0|0.0|100
0|2021-11-16|9493.0|0|9493.0|0|195.0|0|0.0|100
0|2021-11-17|9523.0|0|9523.0|0|195.0|0|0.0|100
0|2021-11-18|9575.0|0|9575.0|0|196.0|0|0.0|100
0|2021-11-19|9607.0|0|9607.0|0|196.0|0|0.0|100
0|2021-11-20|9660.0|0|9660.0|0|196.0|0|0.0|100
0|2021-11-21|9680.0|0|9680.0|0|196.0|0|0.0|100
0|2021-11-22|9690.0|0|9690.0|0|196.0|0|0.0|100
0|2021-11-23|9713.0|0|9713.0|0|196.0|0|0.0|100
0|2021-11-24|9742.0|0|9742.0|0|196.0|0|0.0|100
0|2021-11-25|9770.0|0|9770.0|0|196.0|0|0.0|100
0|2021-11-26|9791.0|0|9791.0|0|196.0|0|0.0|100
0|2021-11-27|9802.0|0|9802.0|0|196.0|0|0.0|100
0|2021-11-28|9827.0|0|9827.0|0|196.0|0|0.0|100
0|2021-11-29|9830.0|0|9830.0|0|196.0|0|0.0|100
0|2021-11-30|9858.0|0|9858.0|0|196.0|0|0.0|100
0|2021-12-01|9869.0|0|9869.0|0|196.0|0|0.0|100
0|2021-12-02|9909.0|0|9909.0|0|196.0|0|0.0|100
0|2021-12-03|9952.0|0|9952.0|0|196.0|0|0.0|100
0|2021-12-04|9985.0|0|9985.0|0|196.0|0|0.0|100
0|2021-12-05|10011.0|0|10011.0|0|196.0|0|0.0|100
0|2021-12-06|10025.0|0|10025.0|0|196.0|0|0.0|100
0|2021-12-07|10042.0|0|10042.0|0|198.0|0|0.0|100
0|2021-12-08|10067.0|0|10067.0|0|198.0|0|0.0|100
0|2021-12-09|10097.0|0|10097.0|0|199.0|0|0.0|100
0|2021-12-10|10121.0|0|10121.0|0|199.0|0|0.0|100
0|2021-12-11|10158.0|0|10158.0|0|200.0|0|0.0|100
0|2021-12-12|10172.0|0|10172.0|0|200.0|0|0.0|100
0|2021-12-13|10172.0|0|10188.0|0|200.0|0|0.0|100
0|2021-12-14|10172.0|0|10190.0|0|200.0|0|0.0|100
0|2021-12-15|10203.0|0|10203.0|0|202.0|0|0.0|100
0|2021-12-16|10220.0|0|10220.0|0|202.0|0|0.0|100
0|2021-12-17|10251.0|0|10251.0|0|203.0|0|0.0|100
0|2021-12-18|10251.0|0|10263.0|0|203.0|0|0.0|100
0|2021-12-19|10268.0|0|10268.0|0|203.0|0|0.0|100
0|2021-12-20|10270.0|0|10270.0|0|203.0|0|0.0|100
0|2021-12-21|10288.0|0|10288.0|0|204.0|0|0.0|100
0|2021-12-22|10293.0|0|10293.0|0|204.0|0|0.0|100
0|2021-12-23|10310.0|0|10310.0|0|204.0|0|0.0|100
0|2021-12-24|10319.0|0|10319.0|0|204.0|0|0.0|100
0|2021-12-25|10319.0|0|10331.0|0|204.0|0|0.0|100
0|2021-12-26|10331.0|0|10331.0|0|204.0|0|0.0|100
0|2021-12-27|10359.0|0|10359.0|0|204.0|0|0.0|100
0|2021-12-28|10359.0|0|10369.0|0|204.0|0|0.0|100
0|2021-12-29|10369.0|0|10385.0|0|206.0|0|0.0|100
0|2021-12-30|10385.0|0|10441.0|0|206.0|0|0.0|100
0|2021-12-31|10476.0|0|10476.0|0|206.0|0|0.0|100
0|2022-01-01|10531.0|0|10531.0|0|206.0|0|0.0|100
0|2022-01-02|10531.0|0|10531.0|0|206.0|0|0.0|100
0|2022-01-03|10596.0|0|10596.0|0|206.0|0|0.0|100
0|2022-01-04|10655.0|0|10655.0|0|206.0|0|0.0|100
0|2022-01-05|10723.0|0|10723.0|0|206.0|0|0.0|100
0|2022-01-06|10798.0|0|10798.0|0|206.0|0|0.0|100
0|2022-01-07|10877.0|0|10877.0|0|206.0|0|0.0|100
0|2022-01-08|11041.0|0|11041.0|0|206.0|0|0.0|100
0|2022-01-09|11041.0|0|11215.0|0|206.0|0|0.0|100
0|2022-01-10|11254.0|0|11254.0|0|207.0|0|0.0|100
0|2022-01-11|11420.0|0|11420.0|0|207.0|0|0.0|100
0|2022-01-12|11584.0|0|11584.0|0|207.0|0|0.0|100
0|2022-01-13|11584.0|0|11684.0|0|207.0|0|0.0|100
0|2022-01-14|11796.0|0|11796.0|0|207.0|0|0.0|100
0|2022-01-15|11796.0|0|11999.0|0|207.0|0|0.0|100
0|2022-01-16|11871.0|0|12221.0|0|207.0|0|0.0|100
0|2022-01-17|12437.0|0|0.0|100|207.0|0|0.0|100
