|dates|Yukon-Koyukuk_Alaska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Yukon-Koyukuk_Alaska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Yukon-Koyukuk_Alaska_UnitedStates.Male_Total_Population.data|Yukon-Koyukuk_Alaska_UnitedStates.Male_Total_Population.missing|Yukon-Koyukuk_Alaska_UnitedStates.Female_Total_Population.data|Yukon-Koyukuk_Alaska_UnitedStates.Female_Total_Population.missing|Yukon-Koyukuk_Alaska_UnitedStates.MaleAndFemale_Under18_Population.data|Yukon-Koyukuk_Alaska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|810.0|0|2822.0|0|2505.0|0|1454.0|0
0|2021-10-18|810.0|0|2822.0|0|2505.0|0|1454.0|0
0|2021-10-19|810.0|0|2822.0|0|2505.0|0|1454.0|0
0|2021-10-20|810.0|0|2822.0|0|2505.0|0|1454.0|0
0|2021-10-21|810.0|0|2822.0|0|2505.0|0|1454.0|0
0|2021-10-22|810.0|0|2822.0|0|2505.0|0|1454.0|0
0|2021-10-23|810.0|0|2822.0|0|2505.0|0|1454.0|0
0|2021-10-24|810.0|0|2822.0|0|2505.0|0|1454.0|0
0|2021-10-25|810.0|0|2822.0|0|2505.0|0|1454.0|0
0|2021-10-26|810.0|0|2822.0|0|2505.0|0|1454.0|0
0|2021-10-27|810.0|0|2822.0|0|2505.0|0|1454.0|0
0|2021-10-28|810.0|0|2822.0|0|2505.0|0|1454.0|0
0|2021-10-29|810.0|0|2822.0|0|2505.0|0|1454.0|0
0|2021-10-30|810.0|0|2822.0|0|2505.0|0|1454.0|0
0|2021-10-31|810.0|0|2822.0|0|2505.0|0|1454.0|0
0|2021-11-01|810.0|0|2822.0|0|2505.0|0|1454.0|0
0|2021-11-02|810.0|0|2822.0|0|2505.0|0|1454.0|0
0|2021-11-03|810.0|0|2822.0|0|2505.0|0|1454.0|0
0|2021-11-04|810.0|0|2822.0|0|2505.0|0|1454.0|0
0|2021-11-05|810.0|0|2822.0|0|2505.0|0|1454.0|0
0|2021-11-06|810.0|0|2822.0|0|2505.0|0|1454.0|0
0|2021-11-07|810.0|0|2822.0|0|2505.0|0|1454.0|0
0|2021-11-08|810.0|0|2822.0|0|2505.0|0|1454.0|0
0|2021-11-09|810.0|0|2822.0|0|2505.0|0|1454.0|0
0|2021-11-10|810.0|0|2822.0|0|2505.0|0|1454.0|0
0|2021-11-11|810.0|0|2822.0|0|2505.0|0|1454.0|0
0|2021-11-12|810.0|0|2822.0|0|2505.0|0|1454.0|0
0|2021-11-13|810.0|0|2822.0|0|2505.0|0|1454.0|0
0|2021-11-14|810.0|0|2822.0|0|2505.0|0|1454.0|0
0|2021-11-15|810.0|0|2822.0|0|2505.0|0|1454.0|0
0|2021-11-16|810.0|0|2822.0|0|2505.0|0|1454.0|0
0|2021-11-17|810.0|0|2822.0|0|2505.0|0|1454.0|0
