|dates|Franklin_Maine_UnitedStates.JHU_ConfirmedCases.data|Franklin_Maine_UnitedStates.JHU_ConfirmedCases.missing|Franklin_Maine_UnitedStates.NYT_ConfirmedCases.data|Franklin_Maine_UnitedStates.NYT_ConfirmedCases.missing|Franklin_Maine_UnitedStates.JHU_ConfirmedDeaths.data|Franklin_Maine_UnitedStates.JHU_ConfirmedDeaths.missing|Franklin_Maine_UnitedStates.JHU_ConfirmedRecoveries.data|Franklin_Maine_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2114.0|0|2114.0|0|20.0|0|0.0|100
0|2021-10-18|2114.0|0|2114.0|0|20.0|0|0.0|100
0|2021-10-19|2135.0|0|2135.0|0|20.0|0|0.0|100
0|2021-10-20|2159.0|0|2159.0|0|22.0|0|0.0|100
0|2021-10-21|2193.0|0|2193.0|0|23.0|0|0.0|100
0|2021-10-22|2224.0|0|2224.0|0|23.0|0|0.0|100
0|2021-10-23|2241.0|0|2241.0|0|23.0|0|0.0|100
0|2021-10-24|2241.0|0|2241.0|0|23.0|0|0.0|100
0|2021-10-25|2241.0|0|2241.0|0|23.0|0|0.0|100
0|2021-10-26|2277.0|0|2277.0|0|25.0|0|0.0|100
0|2021-10-27|2311.0|0|2311.0|0|25.0|0|0.0|100
0|2021-10-28|2324.0|0|2324.0|0|26.0|0|0.0|100
0|2021-10-29|2363.0|0|2363.0|0|26.0|0|0.0|100
0|2021-10-30|2393.0|0|2393.0|0|26.0|0|0.0|100
0|2021-10-31|2393.0|0|2393.0|0|26.0|0|0.0|100
0|2021-11-01|2393.0|0|2393.0|0|26.0|0|0.0|100
0|2021-11-02|2425.0|0|2425.0|0|26.0|0|0.0|100
0|2021-11-03|2451.0|0|2451.0|0|28.0|0|0.0|100
0|2021-11-04|2495.0|0|2495.0|0|28.0|0|0.0|100
0|2021-11-05|2514.0|0|2514.0|0|28.0|0|0.0|100
0|2021-11-06|2533.0|0|2533.0|0|29.0|0|0.0|100
0|2021-11-07|2533.0|0|2533.0|0|29.0|0|0.0|100
0|2021-11-08|2533.0|0|2533.0|0|29.0|0|0.0|100
0|2021-11-09|2550.0|0|2550.0|0|29.0|0|0.0|100
0|2021-11-10|2605.0|0|2605.0|0|29.0|0|0.0|100
0|2021-11-11|2626.0|0|2626.0|0|29.0|0|0.0|100
0|2021-11-12|2626.0|0|2626.0|0|29.0|0|0.0|100
0|2021-11-13|2693.0|0|2693.0|0|29.0|0|0.0|100
