|dates|Beaufort_SouthCarolina_UnitedStates.BLS_EmployedPopulation.data|Beaufort_SouthCarolina_UnitedStates.BLS_EmployedPopulation.missing|Beaufort_SouthCarolina_UnitedStates.BLS_UnemployedPopulation.data|Beaufort_SouthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|Beaufort_SouthCarolina_UnitedStates.BLS_UnemploymentRate.data|Beaufort_SouthCarolina_UnitedStates.BLS_UnemploymentRate.missing|Beaufort_SouthCarolina_UnitedStates.BLS_LaborForcePopulation.data|Beaufort_SouthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|77442.0|0|2343.0|0|2.9366422259823275|0|79785.0|0
0|2021-10-18|77442.0|0|2343.0|0|2.9366422259823275|0|79785.0|0
0|2021-10-19|77442.0|0|2343.0|0|2.9366422259823275|0|79785.0|0
0|2021-10-20|77442.0|0|2343.0|0|2.9366422259823275|0|79785.0|0
0|2021-10-21|77442.0|0|2343.0|0|2.9366422259823275|0|79785.0|0
0|2021-10-22|77442.0|0|2343.0|0|2.9366422259823275|0|79785.0|0
0|2021-10-23|77442.0|0|2343.0|0|2.9366422259823275|0|79785.0|0
0|2021-10-24|77442.0|0|2343.0|0|2.9366422259823275|0|79785.0|0
0|2021-10-25|77442.0|0|2343.0|0|2.9366422259823275|0|79785.0|0
0|2021-10-26|77442.0|0|2343.0|0|2.9366422259823275|0|79785.0|0
0|2021-10-27|77442.0|0|2343.0|0|2.9366422259823275|0|79785.0|0
0|2021-10-28|77442.0|0|2343.0|0|2.9366422259823275|0|79785.0|0
0|2021-10-29|77442.0|0|2343.0|0|2.9366422259823275|0|79785.0|0
0|2021-10-30|77442.0|0|2343.0|0|2.9366422259823275|0|79785.0|0
0|2021-10-31|77442.0|0|2343.0|0|2.9366422259823275|0|79785.0|0
0|2021-11-01|77442.0|0|2343.0|0|2.9366422259823275|0|79785.0|0
0|2021-11-02|77442.0|0|2343.0|0|2.9366422259823275|0|79785.0|0
