|dates|Piatt_Illinois_UnitedStates.JHU_ConfirmedCases.data|Piatt_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Piatt_Illinois_UnitedStates.NYT_ConfirmedCases.data|Piatt_Illinois_UnitedStates.NYT_ConfirmedCases.missing|Piatt_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Piatt_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Piatt_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Piatt_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2006.0|0|2006.0|0|14.0|0|0.0|100
0|2021-10-18|2009.0|0|2009.0|0|14.0|0|0.0|100
0|2021-10-19|2009.0|0|2009.0|0|14.0|0|0.0|100
0|2021-10-20|2016.0|0|2016.0|0|14.0|0|0.0|100
0|2021-10-21|2023.0|0|2023.0|0|14.0|0|0.0|100
0|2021-10-22|2028.0|0|2028.0|0|14.0|0|0.0|100
0|2021-10-23|2028.0|0|2028.0|0|14.0|0|0.0|100
0|2021-10-24|2028.0|0|2028.0|0|14.0|0|0.0|100
0|2021-10-25|2036.0|0|2036.0|0|14.0|0|0.0|100
0|2021-10-26|2041.0|0|2041.0|0|14.0|0|0.0|100
0|2021-10-27|2045.0|0|2045.0|0|14.0|0|0.0|100
0|2021-10-28|2049.0|0|2049.0|0|14.0|0|0.0|100
0|2021-10-29|2051.0|0|2051.0|0|14.0|0|0.0|100
0|2021-10-30|2051.0|0|2051.0|0|14.0|0|0.0|100
0|2021-10-31|2051.0|0|2051.0|0|14.0|0|0.0|100
0|2021-11-01|2055.0|0|2055.0|0|14.0|0|0.0|100
0|2021-11-02|2055.0|0|2055.0|0|14.0|0|0.0|100
0|2021-11-03|2060.0|0|2060.0|0|14.0|0|0.0|100
0|2021-11-04|2065.0|0|2065.0|0|14.0|0|0.0|100
0|2021-11-05|2071.0|0|2071.0|0|14.0|0|0.0|100
0|2021-11-06|2071.0|0|2071.0|0|14.0|0|0.0|100
0|2021-11-07|2071.0|0|2071.0|0|14.0|0|0.0|100
0|2021-11-08|2083.0|0|2083.0|0|14.0|0|0.0|100
0|2021-11-09|2090.0|0|2090.0|0|14.0|0|0.0|100
0|2021-11-10|2090.0|0|2092.0|0|14.0|0|0.0|100
0|2021-11-11|2092.0|0|2092.0|0|14.0|0|0.0|100
0|2021-11-12|2106.0|0|2106.0|0|14.0|0|0.0|100
0|2021-11-13|2106.0|0|2106.0|0|14.0|0|0.0|100
