|dates|Owen_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Owen_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Owen_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Owen_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Owen_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Owen_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Owen_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Owen_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1335.0|0|1335.0|0|22.0|0|0.0|100
0|2021-10-18|1338.0|0|1338.0|0|22.0|0|0.0|100
0|2021-10-19|1348.0|0|1348.0|0|22.0|0|0.0|100
0|2021-10-20|1359.0|0|1359.0|0|22.0|0|0.0|100
0|2021-10-21|1362.0|0|1362.0|0|22.0|0|0.0|100
0|2021-10-22|1363.0|0|1363.0|0|22.0|0|0.0|100
0|2021-10-23|1363.0|0|1363.0|0|22.0|0|0.0|100
0|2021-10-24|1363.0|0|1363.0|0|22.0|0|0.0|100
0|2021-10-25|1371.0|0|1371.0|0|24.0|0|0.0|100
0|2021-10-26|1375.0|0|1375.0|0|24.0|0|0.0|100
0|2021-10-27|1376.0|0|1376.0|0|25.0|0|0.0|100
0|2021-10-28|1378.0|0|1378.0|0|25.0|0|0.0|100
0|2021-10-29|1382.0|0|1382.0|0|25.0|0|0.0|100
0|2021-10-30|1382.0|0|1382.0|0|25.0|0|0.0|100
0|2021-10-31|1382.0|0|1382.0|0|25.0|0|0.0|100
0|2021-11-01|1384.0|0|1384.0|0|25.0|0|0.0|100
0|2021-11-02|1387.0|0|1387.0|0|25.0|0|0.0|100
0|2021-11-03|1392.0|0|1392.0|0|25.0|0|0.0|100
0|2021-11-04|1393.0|0|1393.0|0|25.0|0|0.0|100
0|2021-11-05|1396.0|0|1396.0|0|25.0|0|0.0|100
0|2021-11-06|1396.0|0|1396.0|0|25.0|0|0.0|100
0|2021-11-07|1396.0|0|1396.0|0|25.0|0|0.0|100
