|dates|Jack_Texas_UnitedStates.JHU_ConfirmedCases.data|Jack_Texas_UnitedStates.JHU_ConfirmedCases.missing|Jack_Texas_UnitedStates.NYT_ConfirmedCases.data|Jack_Texas_UnitedStates.NYT_ConfirmedCases.missing|Jack_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Jack_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Jack_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Jack_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|893.0|0|893.0|0|20.0|0|0.0|100
0|2021-10-18|893.0|0|893.0|0|20.0|0|0.0|100
0|2021-10-19|907.0|0|907.0|0|20.0|0|0.0|100
0|2021-10-20|921.0|0|921.0|0|20.0|0|0.0|100
0|2021-10-21|926.0|0|926.0|0|20.0|0|0.0|100
0|2021-10-22|929.0|0|929.0|0|20.0|0|0.0|100
0|2021-10-23|934.0|0|934.0|0|20.0|0|0.0|100
0|2021-10-24|934.0|0|934.0|0|20.0|0|0.0|100
0|2021-10-25|934.0|0|934.0|0|20.0|0|0.0|100
0|2021-10-26|938.0|0|938.0|0|20.0|0|0.0|100
0|2021-10-27|941.0|0|941.0|0|20.0|0|0.0|100
0|2021-10-28|942.0|0|942.0|0|20.0|0|0.0|100
0|2021-10-29|944.0|0|944.0|0|20.0|0|0.0|100
0|2021-10-30|946.0|0|946.0|0|20.0|0|0.0|100
0|2021-10-31|946.0|0|946.0|0|20.0|0|0.0|100
0|2021-11-01|946.0|0|946.0|0|20.0|0|0.0|100
0|2021-11-02|964.0|0|964.0|0|20.0|0|0.0|100
0|2021-11-03|964.0|0|964.0|0|20.0|0|0.0|100
0|2021-11-04|965.0|0|965.0|0|20.0|0|0.0|100
0|2021-11-05|965.0|0|965.0|0|20.0|0|0.0|100
0|2021-11-06|967.0|0|967.0|0|20.0|0|0.0|100
0|2021-11-07|967.0|0|967.0|0|20.0|0|0.0|100
0|2021-11-08|967.0|0|967.0|0|20.0|0|0.0|100
0|2021-11-09|970.0|0|970.0|0|20.0|0|0.0|100
0|2021-11-10|970.0|0|970.0|0|20.0|0|0.0|100
0|2021-11-11|972.0|0|972.0|0|21.0|0|0.0|100
0|2021-11-12|972.0|0|972.0|0|21.0|0|0.0|100
0|2021-11-13|972.0|0|972.0|0|21.0|0|0.0|100
0|2021-11-14|972.0|0|972.0|0|21.0|0|0.0|100
