|dates|Lafayette_Arkansas_UnitedStates.JHU_ConfirmedCases.data|Lafayette_Arkansas_UnitedStates.JHU_ConfirmedCases.missing|Lafayette_Arkansas_UnitedStates.NYT_ConfirmedCases.data|Lafayette_Arkansas_UnitedStates.NYT_ConfirmedCases.missing|Lafayette_Arkansas_UnitedStates.JHU_ConfirmedDeaths.data|Lafayette_Arkansas_UnitedStates.JHU_ConfirmedDeaths.missing|Lafayette_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.data|Lafayette_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|841.0|0|841.0|0|26.0|0|0.0|100
0|2021-10-18|841.0|0|841.0|0|26.0|0|0.0|100
0|2021-10-19|841.0|0|841.0|0|26.0|0|0.0|100
0|2021-10-20|841.0|0|841.0|0|26.0|0|0.0|100
0|2021-10-21|843.0|0|843.0|0|26.0|0|0.0|100
0|2021-10-22|843.0|0|843.0|0|26.0|0|0.0|100
0|2021-10-23|843.0|0|843.0|0|27.0|0|0.0|100
0|2021-10-24|843.0|0|843.0|0|27.0|0|0.0|100
0|2021-10-25|843.0|0|843.0|0|27.0|0|0.0|100
0|2021-10-26|844.0|0|844.0|0|27.0|0|0.0|100
0|2021-10-27|845.0|0|845.0|0|27.0|0|0.0|100
0|2021-10-28|845.0|0|845.0|0|27.0|0|0.0|100
0|2021-10-29|849.0|0|849.0|0|27.0|0|0.0|100
0|2021-10-30|850.0|0|850.0|0|27.0|0|0.0|100
0|2021-10-31|850.0|0|850.0|0|27.0|0|0.0|100
0|2021-11-01|850.0|0|850.0|0|27.0|0|0.0|100
0|2021-11-02|850.0|0|850.0|0|27.0|0|0.0|100
0|2021-11-03|851.0|0|851.0|0|27.0|0|0.0|100
0|2021-11-04|851.0|0|851.0|0|28.0|0|0.0|100
0|2021-11-05|852.0|0|852.0|0|28.0|0|0.0|100
0|2021-11-06|852.0|0|852.0|0|28.0|0|0.0|100
0|2021-11-07|852.0|0|852.0|0|28.0|0|0.0|100
0|2021-11-08|852.0|0|852.0|0|28.0|0|0.0|100
0|2021-11-09|853.0|0|853.0|0|28.0|0|0.0|100
0|2021-11-10|853.0|0|853.0|0|28.0|0|0.0|100
0|2021-11-11|853.0|0|853.0|0|28.0|0|0.0|100
0|2021-11-12|853.0|0|853.0|0|28.0|0|0.0|100
0|2021-11-13|855.0|0|855.0|0|28.0|0|0.0|100
0|2021-11-14|855.0|0|855.0|0|28.0|0|0.0|100
0|2021-11-15|855.0|0|855.0|0|28.0|0|0.0|100
0|2021-11-16|857.0|0|857.0|0|28.0|0|0.0|100
0|2021-11-17|859.0|0|859.0|0|28.0|0|0.0|100
0|2021-11-18|859.0|0|859.0|0|28.0|0|0.0|100
0|2021-11-19|860.0|0|860.0|0|28.0|0|0.0|100
0|2021-11-20|861.0|0|861.0|0|28.0|0|0.0|100
0|2021-11-21|861.0|0|861.0|0|28.0|0|0.0|100
0|2021-11-22|861.0|0|861.0|0|28.0|0|0.0|100
0|2021-11-23|861.0|0|861.0|0|28.0|0|0.0|100
0|2021-11-24|862.0|0|862.0|0|28.0|0|0.0|100
0|2021-11-25|862.0|0|862.0|0|28.0|0|0.0|100
0|2021-11-26|862.0|0|862.0|0|28.0|0|0.0|100
0|2021-11-27|862.0|0|862.0|0|28.0|0|0.0|100
0|2021-11-28|862.0|0|862.0|0|28.0|0|0.0|100
0|2021-11-29|863.0|0|863.0|0|28.0|0|0.0|100
0|2021-11-30|863.0|0|863.0|0|28.0|0|0.0|100
0|2021-12-01|864.0|0|864.0|0|28.0|0|0.0|100
0|2021-12-02|863.0|0|863.0|0|28.0|0|0.0|100
0|2021-12-03|866.0|0|866.0|0|28.0|0|0.0|100
0|2021-12-04|867.0|0|867.0|0|28.0|0|0.0|100
0|2021-12-05|867.0|0|867.0|0|28.0|0|0.0|100
0|2021-12-06|868.0|0|868.0|0|28.0|0|0.0|100
0|2021-12-07|869.0|0|869.0|0|28.0|0|0.0|100
0|2021-12-08|870.0|0|870.0|0|28.0|0|0.0|100
0|2021-12-09|872.0|0|872.0|0|28.0|0|0.0|100
0|2021-12-10|872.0|0|872.0|0|28.0|0|0.0|100
0|2021-12-11|872.0|0|872.0|0|28.0|0|0.0|100
