|dates|Orange_NewYork_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Orange_NewYork_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Orange_NewYork_UnitedStates.Male_Total_Population.data|Orange_NewYork_UnitedStates.Male_Total_Population.missing|Orange_NewYork_UnitedStates.Female_Total_Population.data|Orange_NewYork_UnitedStates.Female_Total_Population.missing|Orange_NewYork_UnitedStates.MaleAndFemale_Under18_Population.data|Orange_NewYork_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-10-18|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-10-19|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-10-20|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-10-21|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-10-22|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-10-23|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-10-24|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-10-25|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-10-26|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-10-27|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-10-28|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-10-29|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-10-30|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-10-31|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-11-01|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-11-02|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-11-03|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-11-04|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-11-05|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-11-06|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-11-07|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-11-08|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-11-09|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-11-10|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-11-11|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-11-12|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-11-13|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-11-14|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-11-15|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-11-16|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-11-17|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-11-18|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-11-19|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-11-20|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-11-21|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-11-22|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-11-23|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-11-24|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-11-25|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-11-26|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-11-27|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-11-28|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-11-29|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-11-30|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-12-01|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-12-02|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-12-03|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-12-04|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-12-05|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-12-06|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-12-07|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-12-08|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-12-09|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-12-10|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-12-11|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-12-12|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-12-13|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-12-14|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-12-15|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-12-16|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-12-17|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-12-18|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-12-19|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-12-20|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-12-21|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-12-22|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-12-23|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-12-24|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-12-25|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-12-26|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-12-27|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-12-28|53541.0|0|191531.0|0|190420.0|0|97160.0|0
0|2021-12-29|53541.0|0|191531.0|0|190420.0|0|97160.0|0
