|dates|Kankakee_Illinois_UnitedStates.AveragePrecipitationTotal.data|Kankakee_Illinois_UnitedStates.AveragePrecipitationTotal.missing|Kankakee_Illinois_UnitedStates.AveragePrecipitation.data|Kankakee_Illinois_UnitedStates.AveragePrecipitation.missing|Kankakee_Illinois_UnitedStates.AverageWindDirection.data|Kankakee_Illinois_UnitedStates.AverageWindDirection.missing|Kankakee_Illinois_UnitedStates.AverageWindSpeed.data|Kankakee_Illinois_UnitedStates.AverageWindSpeed.missing
0|2021-12-19|0.0|0|0.0|0|152.23958333333334|0|4.3125|0
0|2021-12-20|0.0|0|0.0|0|208.38541666666666|0|9.463541666666666|0
0|2021-12-21|0.0|0|0.0|0|189.375|0|9.536458333333334|0
0|2021-12-22|0.0|0|0.0|0|242.29166666666666|0|8.6875|0
0|2021-12-23|0.0|0|0.0|0|198.69791666666666|0|9.484375|0
0|2021-12-24|0.0|0|0.0|0|205.57291666666666|0|12.260416666666666|0
0|2021-12-25|0.0|0|0.0|0|118.54166666666667|0|8.364583333333334|0
0|2021-12-26|0.0|0|0.006510416666666667|0|57.760416666666664|0|7.473958333333333|0
0|2021-12-27|0.0|0|0.0013541666666666665|0|201.15625|0|11.208333333333334|0
0|2021-12-28|0.0|0|0.006822916666666668|0|107.76041666666667|0|7.1875|0
0|2021-12-29|0.0|0|0.0|0|188.17708333333334|0|7.713541666666667|0
0|2021-12-30|0.0|0|0.0|0|103.125|0|4.640625|0
0|2021-12-31|0.0|0|0.0|0|134.94791666666666|0|5.682291666666667|0
0|2022-01-01|0.0|0|0.0019791666666666673|0|46.145833333333336|0|15.53125|0
0|2022-01-02|0.0|0|0.0|0|273.28125|0|10.109375|0
0|2022-01-03|0.0|0|0.0|0|235.72916666666666|0|7.34375|0
0|2022-01-04|0.0|0|0.0|0|185.88541666666666|0|13.166666666666666|0
0|2022-01-05|0.0|0|0.0|0|260.7291666666667|0|23.953125|0
0|2022-01-06|0.0|0|0.0|0|279.5833333333333|0|15.473958333333334|0
0|2022-01-07|0.0|0|0.0|0|207.70833333333334|0|8.59375|0
0|2022-01-08|0.0|0|0.0|0|173.64583333333334|0|11.979166666666666|0
0|2022-01-09|0.0|0|0.0|0|297.34375|0|13.729166666666666|0
0|2022-01-10|0.0|0|0.0|0|277.1875|0|8.666666666666666|0
0|2022-01-11|0.0|0|0.0|0|158.64583333333334|0|11.598958333333334|0
0|2022-01-12|0.0|0|0.0|0|166.30208333333334|0|5.786458333333333|0
0|2022-01-13|0.0|0|0.0|0|87.60416666666667|0|4.75|0
0|2022-01-14|0.0|0|0.0|0|43.75|0|8.411458333333334|0
0|2022-01-15|0.0|0|0.0|0|54.6875|0|11.447916666666666|0
0|2022-01-16|0.0|0|0.0|0|156.09375|0|4.328125|0
0|2022-01-17|0.0|0|0.0|0|300.3645833333333|0|10.755208333333334|0
