|dates|Pine_Minnesota_UnitedStates.JHU_ConfirmedCases.data|Pine_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|Pine_Minnesota_UnitedStates.NYT_ConfirmedCases.data|Pine_Minnesota_UnitedStates.NYT_ConfirmedCases.missing|Pine_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|Pine_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|Pine_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|Pine_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4199.0|0|4199.0|0|30.0|0|0.0|100
0|2021-10-18|4211.0|0|4211.0|0|30.0|0|0.0|100
0|2021-10-19|4246.0|0|4246.0|0|30.0|0|0.0|100
0|2021-10-20|4263.0|0|4263.0|0|30.0|0|0.0|100
0|2021-10-21|4270.0|0|4270.0|0|31.0|0|0.0|100
0|2021-10-22|4285.0|0|4285.0|0|32.0|0|0.0|100
0|2021-10-23|4285.0|0|4285.0|0|32.0|0|0.0|100
0|2021-10-24|4285.0|0|4285.0|0|32.0|0|0.0|100
0|2021-10-25|4306.0|0|4306.0|0|32.0|0|0.0|100
0|2021-10-26|4332.0|0|4332.0|0|33.0|0|0.0|100
0|2021-10-27|4347.0|0|4347.0|0|33.0|0|0.0|100
0|2021-10-28|4355.0|0|4355.0|0|33.0|0|0.0|100
0|2021-10-29|4374.0|0|4374.0|0|33.0|0|0.0|100
0|2021-10-30|4374.0|0|4374.0|0|33.0|0|0.0|100
0|2021-10-31|4374.0|0|4374.0|0|33.0|0|0.0|100
0|2021-11-01|4435.0|0|4435.0|0|33.0|0|0.0|100
0|2021-11-02|4475.0|0|4475.0|0|34.0|0|0.0|100
0|2021-11-03|4494.0|0|4494.0|0|35.0|0|0.0|100
0|2021-11-04|4500.0|0|4500.0|0|35.0|0|0.0|100
0|2021-11-05|4523.0|0|4523.0|0|36.0|0|0.0|100
0|2021-11-06|4523.0|0|4523.0|0|36.0|0|0.0|100
0|2021-11-07|4523.0|0|4523.0|0|36.0|0|0.0|100
0|2021-11-08|4549.0|0|4549.0|0|36.0|0|0.0|100
0|2021-11-09|4572.0|0|4572.0|0|37.0|0|0.0|100
0|2021-11-10|4601.0|0|4601.0|0|39.0|0|0.0|100
0|2021-11-11|4639.0|0|4639.0|0|39.0|0|0.0|100
0|2021-11-12|4679.0|0|4679.0|0|39.0|0|0.0|100
0|2021-11-13|4679.0|0|4679.0|0|39.0|0|0.0|100
0|2021-11-14|4679.0|0|4679.0|0|39.0|0|0.0|100
0|2021-11-15|4707.0|0|4707.0|0|39.0|0|0.0|100
0|2021-11-16|4795.0|0|4795.0|0|39.0|0|0.0|100
0|2021-11-17|4820.0|0|4820.0|0|40.0|0|0.0|100
0|2021-11-18|4842.0|0|4842.0|0|40.0|0|0.0|100
0|2021-11-19|4880.0|0|4880.0|0|40.0|0|0.0|100
0|2021-11-20|4880.0|0|4880.0|0|40.0|0|0.0|100
0|2021-11-21|4880.0|0|4880.0|0|40.0|0|0.0|100
0|2021-11-22|4897.0|0|4897.0|0|41.0|0|0.0|100
0|2021-11-23|4965.0|0|4965.0|0|41.0|0|0.0|100
0|2021-11-24|4980.0|0|4980.0|0|41.0|0|0.0|100
0|2021-11-25|4980.0|0|4980.0|0|41.0|0|0.0|100
0|2021-11-26|5006.0|0|5006.0|0|41.0|0|0.0|100
0|2021-11-27|5006.0|0|5006.0|0|41.0|0|0.0|100
0|2021-11-28|5006.0|0|5006.0|0|41.0|0|0.0|100
0|2021-11-29|5038.0|0|5038.0|0|42.0|0|0.0|100
0|2021-11-30|5126.0|0|5126.0|0|42.0|0|0.0|100
0|2021-12-01|5150.0|0|5150.0|0|43.0|0|0.0|100
0|2021-12-02|5179.0|0|5179.0|0|43.0|0|0.0|100
0|2021-12-03|5211.0|0|5211.0|0|43.0|0|0.0|100
0|2021-12-04|5211.0|0|5211.0|0|43.0|0|0.0|100
0|2021-12-05|5211.0|0|5211.0|0|43.0|0|0.0|100
0|2021-12-06|5244.0|0|5244.0|0|43.0|0|0.0|100
0|2021-12-07|5314.0|0|5314.0|0|44.0|0|0.0|100
0|2021-12-08|5342.0|0|5342.0|0|44.0|0|0.0|100
0|2021-12-09|5356.0|0|5356.0|0|44.0|0|0.0|100
0|2021-12-10|5377.0|0|5377.0|0|46.0|0|0.0|100
0|2021-12-11|5377.0|0|5377.0|0|46.0|0|0.0|100
0|2021-12-12|5377.0|0|5377.0|0|46.0|0|0.0|100
0|2021-12-13|5408.0|0|5408.0|0|46.0|0|0.0|100
0|2021-12-14|5408.0|0|5447.0|0|46.0|0|0.0|100
0|2021-12-15|5473.0|0|5473.0|0|46.0|0|0.0|100
0|2021-12-16|5487.0|0|5487.0|0|47.0|0|0.0|100
0|2021-12-17|5505.0|0|5505.0|0|47.0|0|0.0|100
0|2021-12-18|5505.0|0|5505.0|0|47.0|0|0.0|100
0|2021-12-19|5505.0|0|5505.0|0|47.0|0|0.0|100
0|2021-12-20|5528.0|0|5528.0|0|47.0|0|0.0|100
0|2021-12-21|5565.0|0|5565.0|0|47.0|0|0.0|100
0|2021-12-22|5581.0|0|5581.0|0|47.0|0|0.0|100
0|2021-12-23|5599.0|0|5599.0|0|48.0|0|0.0|100
0|2021-12-24|5599.0|0|5599.0|0|48.0|0|0.0|100
0|2021-12-25|5599.0|0|5599.0|0|48.0|0|0.0|100
0|2021-12-26|5599.0|0|5599.0|0|48.0|0|0.0|100
0|2021-12-27|5610.0|0|5610.0|0|48.0|0|0.0|100
0|2021-12-28|5657.0|0|5657.0|0|48.0|0|0.0|100
0|2021-12-29|5664.0|0|5664.0|0|48.0|0|0.0|100
0|2021-12-30|5677.0|0|5677.0|0|48.0|0|0.0|100
0|2021-12-31|5677.0|0|5677.0|0|48.0|0|0.0|100
0|2022-01-01|5677.0|0|5677.0|0|48.0|0|0.0|100
0|2022-01-02|5677.0|0|5677.0|0|48.0|0|0.0|100
0|2022-01-03|5688.0|0|5688.0|0|48.0|0|0.0|100
0|2022-01-04|5701.0|0|5701.0|0|48.0|0|0.0|100
0|2022-01-05|5721.0|0|5721.0|0|48.0|0|0.0|100
0|2022-01-06|5741.0|0|5741.0|0|48.0|0|0.0|100
0|2022-01-07|5755.0|0|5755.0|0|49.0|0|0.0|100
0|2022-01-08|5755.0|0|5755.0|0|49.0|0|0.0|100
