|dates|NewHaven_Connecticut_UnitedStates.MaleAndFemale_AtLeast65_Population.data|NewHaven_Connecticut_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|NewHaven_Connecticut_UnitedStates.Male_Total_Population.data|NewHaven_Connecticut_UnitedStates.Male_Total_Population.missing|NewHaven_Connecticut_UnitedStates.Female_Total_Population.data|NewHaven_Connecticut_UnitedStates.Female_Total_Population.missing|NewHaven_Connecticut_UnitedStates.MaleAndFemale_Under18_Population.data|NewHaven_Connecticut_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|148886.0|0|413494.0|0|444126.0|0|173046.0|0
0|2021-10-18|148886.0|0|413494.0|0|444126.0|0|173046.0|0
0|2021-10-19|148886.0|0|413494.0|0|444126.0|0|173046.0|0
0|2021-10-20|148886.0|0|413494.0|0|444126.0|0|173046.0|0
0|2021-10-21|148886.0|0|413494.0|0|444126.0|0|173046.0|0
0|2021-10-22|148886.0|0|413494.0|0|444126.0|0|173046.0|0
0|2021-10-23|148886.0|0|413494.0|0|444126.0|0|173046.0|0
0|2021-10-24|148886.0|0|413494.0|0|444126.0|0|173046.0|0
0|2021-10-25|148886.0|0|413494.0|0|444126.0|0|173046.0|0
0|2021-10-26|148886.0|0|413494.0|0|444126.0|0|173046.0|0
0|2021-10-27|148886.0|0|413494.0|0|444126.0|0|173046.0|0
0|2021-10-28|148886.0|0|413494.0|0|444126.0|0|173046.0|0
0|2021-10-29|148886.0|0|413494.0|0|444126.0|0|173046.0|0
0|2021-10-30|148886.0|0|413494.0|0|444126.0|0|173046.0|0
0|2021-10-31|148886.0|0|413494.0|0|444126.0|0|173046.0|0
0|2021-11-01|148886.0|0|413494.0|0|444126.0|0|173046.0|0
0|2021-11-02|148886.0|0|413494.0|0|444126.0|0|173046.0|0
0|2021-11-03|148886.0|0|413494.0|0|444126.0|0|173046.0|0
0|2021-11-04|148886.0|0|413494.0|0|444126.0|0|173046.0|0
0|2021-11-05|148886.0|0|413494.0|0|444126.0|0|173046.0|0
0|2021-11-06|148886.0|0|413494.0|0|444126.0|0|173046.0|0
0|2021-11-07|148886.0|0|413494.0|0|444126.0|0|173046.0|0
0|2021-11-08|148886.0|0|413494.0|0|444126.0|0|173046.0|0
0|2021-11-09|148886.0|0|413494.0|0|444126.0|0|173046.0|0
0|2021-11-10|148886.0|0|413494.0|0|444126.0|0|173046.0|0
0|2021-11-11|148886.0|0|413494.0|0|444126.0|0|173046.0|0
0|2021-11-12|148886.0|0|413494.0|0|444126.0|0|173046.0|0
0|2021-11-13|148886.0|0|413494.0|0|444126.0|0|173046.0|0
0|2021-11-14|148886.0|0|413494.0|0|444126.0|0|173046.0|0
0|2021-11-15|148886.0|0|413494.0|0|444126.0|0|173046.0|0
0|2021-11-16|148886.0|0|413494.0|0|444126.0|0|173046.0|0
0|2021-11-17|148886.0|0|413494.0|0|444126.0|0|173046.0|0
0|2021-11-18|148886.0|0|413494.0|0|444126.0|0|173046.0|0
0|2021-11-19|148886.0|0|413494.0|0|444126.0|0|173046.0|0
0|2021-11-20|148886.0|0|413494.0|0|444126.0|0|173046.0|0
0|2021-11-21|148886.0|0|413494.0|0|444126.0|0|173046.0|0
0|2021-11-22|148886.0|0|413494.0|0|444126.0|0|173046.0|0
0|2021-11-23|148886.0|0|413494.0|0|444126.0|0|173046.0|0
0|2021-11-24|148886.0|0|413494.0|0|444126.0|0|173046.0|0
0|2021-11-25|148886.0|0|413494.0|0|444126.0|0|173046.0|0
0|2021-11-26|148886.0|0|413494.0|0|444126.0|0|173046.0|0
0|2021-11-27|148886.0|0|413494.0|0|444126.0|0|173046.0|0
0|2021-11-28|148886.0|0|413494.0|0|444126.0|0|173046.0|0
0|2021-11-29|148886.0|0|413494.0|0|444126.0|0|173046.0|0
0|2021-11-30|148886.0|0|413494.0|0|444126.0|0|173046.0|0
