|dates|Boone_Missouri_UnitedStates.JHU_ConfirmedCases.data|Boone_Missouri_UnitedStates.JHU_ConfirmedCases.missing|Boone_Missouri_UnitedStates.NYT_ConfirmedCases.data|Boone_Missouri_UnitedStates.NYT_ConfirmedCases.missing|Boone_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|Boone_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|Boone_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|Boone_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|24599.0|0|25147.0|0|135.0|0|0.0|100
0|2021-10-18|24609.0|0|25147.0|0|135.0|0|0.0|100
0|2021-10-19|24633.0|0|25147.0|0|138.0|0|0.0|100
0|2021-10-20|24667.0|0|25263.0|0|140.0|0|0.0|100
0|2021-10-21|24712.0|0|25313.0|0|140.0|0|0.0|100
0|2021-10-22|24748.0|0|25341.0|0|140.0|0|0.0|100
0|2021-10-23|24792.0|0|25341.0|0|140.0|0|0.0|100
0|2021-10-24|24820.0|0|25341.0|0|140.0|0|0.0|100
0|2021-10-25|24834.0|0|25418.0|0|140.0|0|0.0|100
0|2021-10-26|24857.0|0|25436.0|0|140.0|0|0.0|100
0|2021-10-27|24883.0|0|25470.0|0|140.0|0|0.0|100
0|2021-10-28|24912.0|0|25492.0|0|140.0|0|0.0|100
0|2021-10-29|24938.0|0|25534.0|0|140.0|0|0.0|100
0|2021-10-30|24966.0|0|25534.0|0|140.0|0|0.0|100
0|2021-10-31|24984.0|0|25534.0|0|140.0|0|0.0|100
0|2021-11-01|24999.0|0|25582.0|0|140.0|0|0.0|100
0|2021-11-02|25019.0|0|25613.0|0|143.0|0|0.0|100
0|2021-11-03|25051.0|0|25633.0|0|143.0|0|0.0|100
0|2021-11-04|25078.0|0|25681.0|0|143.0|0|0.0|100
0|2021-11-05|25120.0|0|25702.0|0|143.0|0|0.0|100
0|2021-11-06|25148.0|0|25702.0|0|143.0|0|0.0|100
0|2021-11-07|25162.0|0|25702.0|0|143.0|0|0.0|100
0|2021-11-08|25172.0|0|25757.0|0|143.0|0|0.0|100
