|dates|Mineral_Montana_UnitedStates.JHU_ConfirmedCases.data|Mineral_Montana_UnitedStates.JHU_ConfirmedCases.missing|Mineral_Montana_UnitedStates.NYT_ConfirmedCases.data|Mineral_Montana_UnitedStates.NYT_ConfirmedCases.missing|Mineral_Montana_UnitedStates.JHU_ConfirmedDeaths.data|Mineral_Montana_UnitedStates.JHU_ConfirmedDeaths.missing|Mineral_Montana_UnitedStates.JHU_ConfirmedRecoveries.data|Mineral_Montana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|672.0|0|672.0|0|11.0|0|0.0|100
0|2021-10-18|675.0|0|675.0|0|11.0|0|0.0|100
0|2021-10-19|676.0|0|676.0|0|11.0|0|0.0|100
0|2021-10-20|680.0|0|680.0|0|11.0|0|0.0|100
0|2021-10-21|689.0|0|689.0|0|11.0|0|0.0|100
0|2021-10-22|695.0|0|695.0|0|11.0|0|0.0|100
0|2021-10-23|695.0|0|695.0|0|11.0|0|0.0|100
0|2021-10-24|695.0|0|695.0|0|11.0|0|0.0|100
0|2021-10-25|696.0|0|696.0|0|13.0|0|0.0|100
0|2021-10-26|700.0|0|700.0|0|13.0|0|0.0|100
0|2021-10-27|700.0|0|700.0|0|13.0|0|0.0|100
0|2021-10-28|707.0|0|707.0|0|13.0|0|0.0|100
0|2021-10-29|708.0|0|708.0|0|13.0|0|0.0|100
0|2021-10-30|708.0|0|708.0|0|13.0|0|0.0|100
0|2021-10-31|708.0|0|708.0|0|13.0|0|0.0|100
0|2021-11-01|711.0|0|711.0|0|13.0|0|0.0|100
0|2021-11-02|712.0|0|712.0|0|13.0|0|0.0|100
0|2021-11-03|713.0|0|713.0|0|13.0|0|0.0|100
0|2021-11-04|715.0|0|715.0|0|13.0|0|0.0|100
0|2021-11-05|717.0|0|717.0|0|13.0|0|0.0|100
0|2021-11-06|717.0|0|717.0|0|13.0|0|0.0|100
0|2021-11-07|717.0|0|717.0|0|13.0|0|0.0|100
0|2021-11-08|718.0|0|718.0|0|13.0|0|0.0|100
0|2021-11-09|722.0|0|722.0|0|13.0|0|0.0|100
0|2021-11-10|727.0|0|727.0|0|13.0|0|0.0|100
0|2021-11-11|727.0|0|727.0|0|13.0|0|0.0|100
0|2021-11-12|727.0|0|727.0|0|13.0|0|0.0|100
0|2021-11-13|727.0|0|727.0|0|13.0|0|0.0|100
0|2021-11-14|727.0|0|727.0|0|13.0|0|0.0|100
0|2021-11-15|730.0|0|730.0|0|13.0|0|0.0|100
0|2021-11-16|733.0|0|733.0|0|13.0|0|0.0|100
0|2021-11-17|733.0|0|733.0|0|13.0|0|0.0|100
0|2021-11-18|735.0|0|735.0|0|13.0|0|0.0|100
0|2021-11-19|740.0|0|740.0|0|13.0|0|0.0|100
0|2021-11-20|740.0|0|740.0|0|13.0|0|0.0|100
0|2021-11-21|740.0|0|740.0|0|13.0|0|0.0|100
0|2021-11-22|740.0|0|740.0|0|14.0|0|0.0|100
0|2021-11-23|742.0|0|742.0|0|14.0|0|0.0|100
0|2021-11-24|743.0|0|743.0|0|14.0|0|0.0|100
0|2021-11-25|743.0|0|743.0|0|14.0|0|0.0|100
