|dates|Saguache_Colorado_UnitedStates.JHU_ConfirmedCases.data|Saguache_Colorado_UnitedStates.JHU_ConfirmedCases.missing|Saguache_Colorado_UnitedStates.NYT_ConfirmedCases.data|Saguache_Colorado_UnitedStates.NYT_ConfirmedCases.missing|Saguache_Colorado_UnitedStates.JHU_ConfirmedDeaths.data|Saguache_Colorado_UnitedStates.JHU_ConfirmedDeaths.missing|Saguache_Colorado_UnitedStates.JHU_ConfirmedRecoveries.data|Saguache_Colorado_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|656.0|0|656.0|0|8.0|0|0.0|100
0|2021-10-18|661.0|0|661.0|0|8.0|0|0.0|100
0|2021-10-19|663.0|0|663.0|0|8.0|0|0.0|100
0|2021-10-20|665.0|0|665.0|0|8.0|0|0.0|100
0|2021-10-21|669.0|0|669.0|0|8.0|0|0.0|100
0|2021-10-22|671.0|0|671.0|0|8.0|0|0.0|100
0|2021-10-23|671.0|0|671.0|0|8.0|0|0.0|100
0|2021-10-24|671.0|0|671.0|0|8.0|0|0.0|100
0|2021-10-25|673.0|0|673.0|0|8.0|0|0.0|100
0|2021-10-26|681.0|0|681.0|0|8.0|0|0.0|100
0|2021-10-27|682.0|0|682.0|0|8.0|0|0.0|100
0|2021-10-28|686.0|0|686.0|0|8.0|0|0.0|100
0|2021-10-29|690.0|0|690.0|0|8.0|0|0.0|100
0|2021-10-30|690.0|0|690.0|0|8.0|0|0.0|100
0|2021-10-31|690.0|0|690.0|0|8.0|0|0.0|100
0|2021-11-01|694.0|0|694.0|0|8.0|0|0.0|100
0|2021-11-02|702.0|0|702.0|0|8.0|0|0.0|100
0|2021-11-03|706.0|0|706.0|0|8.0|0|0.0|100
0|2021-11-04|707.0|0|707.0|0|8.0|0|0.0|100
0|2021-11-05|712.0|0|712.0|0|8.0|0|0.0|100
0|2021-11-06|712.0|0|712.0|0|8.0|0|0.0|100
0|2021-11-07|712.0|0|712.0|0|8.0|0|0.0|100
0|2021-11-08|717.0|0|717.0|0|8.0|0|0.0|100
0|2021-11-09|726.0|0|726.0|0|8.0|0|0.0|100
0|2021-11-10|726.0|0|735.0|0|8.0|0|0.0|100
0|2021-11-11|744.0|0|744.0|0|8.0|0|0.0|100
0|2021-11-12|747.0|0|747.0|0|8.0|0|0.0|100
0|2021-11-13|747.0|0|747.0|0|8.0|0|0.0|100
0|2021-11-14|747.0|0|747.0|0|8.0|0|0.0|100
0|2021-11-15|752.0|0|752.0|0|8.0|0|0.0|100
0|2021-11-16|754.0|0|754.0|0|8.0|0|0.0|100
0|2021-11-17|761.0|0|761.0|0|8.0|0|0.0|100
0|2021-11-18|766.0|0|766.0|0|8.0|0|0.0|100
0|2021-11-19|775.0|0|775.0|0|8.0|0|0.0|100
0|2021-11-20|775.0|0|775.0|0|8.0|0|0.0|100
0|2021-11-21|775.0|0|775.0|0|8.0|0|0.0|100
0|2021-11-22|781.0|0|781.0|0|8.0|0|0.0|100
0|2021-11-23|784.0|0|784.0|0|9.0|0|0.0|100
0|2021-11-24|788.0|0|788.0|0|9.0|0|0.0|100
0|2021-11-25|790.0|0|790.0|0|9.0|0|0.0|100
0|2021-11-26|790.0|0|790.0|0|9.0|0|0.0|100
0|2021-11-27|790.0|0|790.0|0|9.0|0|0.0|100
0|2021-11-28|790.0|0|790.0|0|9.0|0|0.0|100
0|2021-11-29|793.0|0|793.0|0|9.0|0|0.0|100
0|2021-11-30|794.0|0|794.0|0|9.0|0|0.0|100
0|2021-12-01|794.0|0|797.0|0|9.0|0|0.0|100
0|2021-12-02|801.0|0|801.0|0|9.0|0|0.0|100
0|2021-12-03|807.0|0|804.0|0|9.0|0|0.0|100
0|2021-12-04|807.0|0|807.0|0|9.0|0|0.0|100
0|2021-12-05|807.0|0|807.0|0|9.0|0|0.0|100
0|2021-12-06|810.0|0|810.0|0|9.0|0|0.0|100
0|2021-12-07|815.0|0|815.0|0|9.0|0|0.0|100
0|2021-12-08|820.0|0|820.0|0|9.0|0|0.0|100
0|2021-12-09|823.0|0|823.0|0|9.0|0|0.0|100
