|dates|EastBatonRouge_Louisiana_UnitedStates.BLS_EmployedPopulation.data|EastBatonRouge_Louisiana_UnitedStates.BLS_EmployedPopulation.missing|EastBatonRouge_Louisiana_UnitedStates.BLS_UnemployedPopulation.data|EastBatonRouge_Louisiana_UnitedStates.BLS_UnemployedPopulation.missing|EastBatonRouge_Louisiana_UnitedStates.BLS_UnemploymentRate.data|EastBatonRouge_Louisiana_UnitedStates.BLS_UnemploymentRate.missing|EastBatonRouge_Louisiana_UnitedStates.BLS_LaborForcePopulation.data|EastBatonRouge_Louisiana_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|215027.0|0|14904.0|0|6.481944583375013|0|229931.0|0
0|2021-10-18|215027.0|0|14904.0|0|6.481944583375013|0|229931.0|0
0|2021-10-19|215027.0|0|14904.0|0|6.481944583375013|0|229931.0|0
0|2021-10-20|215027.0|0|14904.0|0|6.481944583375013|0|229931.0|0
0|2021-10-21|215027.0|0|14904.0|0|6.481944583375013|0|229931.0|0
0|2021-10-22|215027.0|0|14904.0|0|6.481944583375013|0|229931.0|0
0|2021-10-23|215027.0|0|14904.0|0|6.481944583375013|0|229931.0|0
0|2021-10-24|215027.0|0|14904.0|0|6.481944583375013|0|229931.0|0
0|2021-10-25|215027.0|0|14904.0|0|6.481944583375013|0|229931.0|0
0|2021-10-26|215027.0|0|14904.0|0|6.481944583375013|0|229931.0|0
0|2021-10-27|215027.0|0|14904.0|0|6.481944583375013|0|229931.0|0
0|2021-10-28|215027.0|0|14904.0|0|6.481944583375013|0|229931.0|0
0|2021-10-29|215027.0|0|14904.0|0|6.481944583375013|0|229931.0|0
0|2021-10-30|215027.0|0|14904.0|0|6.481944583375013|0|229931.0|0
0|2021-10-31|215027.0|0|14904.0|0|6.481944583375013|0|229931.0|0
0|2021-11-01|215027.0|0|14904.0|0|6.481944583375013|0|229931.0|0
0|2021-11-02|215027.0|0|14904.0|0|6.481944583375013|0|229931.0|0
0|2021-11-03|215027.0|0|14904.0|0|6.481944583375013|0|229931.0|0
0|2021-11-04|215027.0|0|14904.0|0|6.481944583375013|0|229931.0|0
0|2021-11-05|215027.0|0|14904.0|0|6.481944583375013|0|229931.0|0
0|2021-11-06|215027.0|0|14904.0|0|6.481944583375013|0|229931.0|0
0|2021-11-07|215027.0|0|14904.0|0|6.481944583375013|0|229931.0|0
0|2021-11-08|215027.0|0|14904.0|0|6.481944583375013|0|229931.0|0
0|2021-11-09|215027.0|0|14904.0|0|6.481944583375013|0|229931.0|0
0|2021-11-10|215027.0|0|14904.0|0|6.481944583375013|0|229931.0|0
0|2021-11-11|215027.0|0|14904.0|0|6.481944583375013|0|229931.0|0
0|2021-11-12|215027.0|0|14904.0|0|6.481944583375013|0|229931.0|0
0|2021-11-13|215027.0|0|14904.0|0|6.481944583375013|0|229931.0|0
0|2021-11-14|215027.0|0|14904.0|0|6.481944583375013|0|229931.0|0
0|2021-11-15|215027.0|0|14904.0|0|6.481944583375013|0|229931.0|0
