|dates|Concho_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Concho_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Concho_Texas_UnitedStates.Male_Total_Population.data|Concho_Texas_UnitedStates.Male_Total_Population.missing|Concho_Texas_UnitedStates.Female_Total_Population.data|Concho_Texas_UnitedStates.Female_Total_Population.missing|Concho_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Concho_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-10-18|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-10-19|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-10-20|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-10-21|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-10-22|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-10-23|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-10-24|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-10-25|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-10-26|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-10-27|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-10-28|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-10-29|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-10-30|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-10-31|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-11-01|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-11-02|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-11-03|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-11-04|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-11-05|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-11-06|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-11-07|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-11-08|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-11-09|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-11-10|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-11-11|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-11-12|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-11-13|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-11-14|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-11-15|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-11-16|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-11-17|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-11-18|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-11-19|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-11-20|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-11-21|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-11-22|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-11-23|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-11-24|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-11-25|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-11-26|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-11-27|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-11-28|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-11-29|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-11-30|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-12-01|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-12-02|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-12-03|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-12-04|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-12-05|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-12-06|756.0|0|3020.0|0|1256.0|0|509.0|0
