|dates|Republic_Kansas_UnitedStates.JHU_ConfirmedCases.data|Republic_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Republic_Kansas_UnitedStates.NYT_ConfirmedCases.data|Republic_Kansas_UnitedStates.NYT_ConfirmedCases.missing|Republic_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Republic_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Republic_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Republic_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|868.0|0|868.0|0|14.0|0|0.0|100
0|2021-10-18|875.0|0|875.0|0|14.0|0|0.0|100
0|2021-10-19|875.0|0|875.0|0|14.0|0|0.0|100
0|2021-10-20|879.0|0|879.0|0|14.0|0|0.0|100
0|2021-10-21|879.0|0|879.0|0|14.0|0|0.0|100
0|2021-10-22|884.0|0|884.0|0|14.0|0|0.0|100
0|2021-10-23|884.0|0|884.0|0|14.0|0|0.0|100
0|2021-10-24|884.0|0|884.0|0|14.0|0|0.0|100
0|2021-10-25|885.0|0|885.0|0|14.0|0|0.0|100
0|2021-10-26|885.0|0|885.0|0|14.0|0|0.0|100
0|2021-10-27|887.0|0|887.0|0|14.0|0|0.0|100
0|2021-10-28|887.0|0|887.0|0|14.0|0|0.0|100
0|2021-10-29|888.0|0|888.0|0|15.0|0|0.0|100
0|2021-10-30|888.0|0|888.0|0|15.0|0|0.0|100
0|2021-10-31|888.0|0|888.0|0|15.0|0|0.0|100
0|2021-11-01|888.0|0|888.0|0|15.0|0|0.0|100
0|2021-11-02|888.0|0|888.0|0|15.0|0|0.0|100
0|2021-11-03|890.0|0|890.0|0|15.0|0|0.0|100
0|2021-11-04|890.0|0|890.0|0|15.0|0|0.0|100
0|2021-11-05|896.0|0|896.0|0|15.0|0|0.0|100
0|2021-11-06|896.0|0|896.0|0|15.0|0|0.0|100
0|2021-11-07|896.0|0|896.0|0|15.0|0|0.0|100
0|2021-11-08|901.0|0|901.0|0|15.0|0|0.0|100
