|dates|Riverside_California_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.data|Riverside_California_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.missing|Riverside_California_UnitedStates.NYT_ConfirmedDeaths.data|Riverside_California_UnitedStates.NYT_ConfirmedDeaths.missing|Riverside_California_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.data|Riverside_California_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.missing|Riverside_California_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.data|Riverside_California_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.missing
0|2021-10-17|0.0|100|5092.0|0|0.0|100|0.0|100
0|2021-10-18|0.0|100|5096.0|0|0.0|100|0.0|100
0|2021-10-19|0.0|100|5108.0|0|0.0|100|0.0|100
0|2021-10-20|0.0|100|5118.0|0|0.0|100|0.0|100
0|2021-10-21|0.0|100|5129.0|0|0.0|100|0.0|100
0|2021-10-22|0.0|100|5134.0|0|0.0|100|0.0|100
0|2021-10-23|0.0|100|5134.0|0|0.0|100|0.0|100
0|2021-10-24|0.0|100|5134.0|0|0.0|100|0.0|100
0|2021-10-25|0.0|100|5144.0|0|0.0|100|0.0|100
0|2021-10-26|0.0|100|5156.0|0|0.0|100|0.0|100
0|2021-10-27|0.0|100|5168.0|0|0.0|100|0.0|100
0|2021-10-28|0.0|100|5177.0|0|0.0|100|0.0|100
0|2021-10-29|0.0|100|5194.0|0|0.0|100|0.0|100
0|2021-10-30|0.0|100|5194.0|0|0.0|100|0.0|100
0|2021-10-31|0.0|100|5194.0|0|0.0|100|0.0|100
0|2021-11-01|0.0|100|5204.0|0|0.0|100|0.0|100
0|2021-11-02|0.0|100|5204.0|0|0.0|100|0.0|100
0|2021-11-03|0.0|100|5219.0|0|0.0|100|0.0|100
0|2021-11-04|0.0|100|5226.0|0|0.0|100|0.0|100
0|2021-11-05|0.0|100|5240.0|0|0.0|100|0.0|100
0|2021-11-06|0.0|100|5240.0|0|0.0|100|0.0|100
0|2021-11-07|0.0|100|5240.0|0|0.0|100|0.0|100
0|2021-11-08|0.0|100|5240.0|0|0.0|100|0.0|100
0|2021-11-09|0.0|100|5247.0|0|0.0|100|0.0|100
0|2021-11-10|0.0|100|5262.0|0|0.0|100|0.0|100
