|dates|Lewis_Washington_UnitedStates.JHU_ConfirmedCases.data|Lewis_Washington_UnitedStates.JHU_ConfirmedCases.missing|Lewis_Washington_UnitedStates.NYT_ConfirmedCases.data|Lewis_Washington_UnitedStates.NYT_ConfirmedCases.missing|Lewis_Washington_UnitedStates.JHU_ConfirmedDeaths.data|Lewis_Washington_UnitedStates.JHU_ConfirmedDeaths.missing|Lewis_Washington_UnitedStates.JHU_ConfirmedRecoveries.data|Lewis_Washington_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|9621.0|0|9621.0|0|144.0|0|0.0|100
0|2021-10-18|9621.0|0|9621.0|0|144.0|0|0.0|100
0|2021-10-19|9719.0|0|9719.0|0|146.0|0|0.0|100
0|2021-10-20|9758.0|0|9758.0|0|147.0|0|0.0|100
0|2021-10-21|9816.0|0|9816.0|0|148.0|0|0.0|100
0|2021-10-22|9860.0|0|9860.0|0|148.0|0|0.0|100
0|2021-10-23|9860.0|0|9860.0|0|148.0|0|0.0|100
0|2021-10-24|9860.0|0|9860.0|0|148.0|0|0.0|100
0|2021-10-25|9917.0|0|9917.0|0|149.0|0|0.0|100
0|2021-10-26|9945.0|0|9945.0|0|152.0|0|0.0|100
0|2021-10-27|9983.0|0|9983.0|0|152.0|0|0.0|100
0|2021-10-28|10031.0|0|10031.0|0|153.0|0|0.0|100
0|2021-10-29|10080.0|0|10080.0|0|154.0|0|0.0|100
0|2021-10-30|10080.0|0|10080.0|0|154.0|0|0.0|100
0|2021-10-31|10080.0|0|10080.0|0|154.0|0|0.0|100
0|2021-11-01|10133.0|0|10133.0|0|154.0|0|0.0|100
0|2021-11-02|10147.0|0|10147.0|0|155.0|0|0.0|100
0|2021-11-03|10181.0|0|10181.0|0|155.0|0|0.0|100
0|2021-11-04|10227.0|0|10227.0|0|155.0|0|0.0|100
0|2021-11-05|10272.0|0|10272.0|0|156.0|0|0.0|100
0|2021-11-06|10272.0|0|10272.0|0|156.0|0|0.0|100
0|2021-11-07|10272.0|0|10272.0|0|156.0|0|0.0|100
0|2021-11-08|10347.0|0|10347.0|0|157.0|0|0.0|100
0|2021-11-09|10359.0|0|10359.0|0|158.0|0|0.0|100
0|2021-11-10|10359.0|0|10396.0|0|158.0|0|0.0|100
0|2021-11-11|10396.0|0|10396.0|0|158.0|0|0.0|100
0|2021-11-12|10491.0|0|10491.0|0|158.0|0|0.0|100
0|2021-11-13|10491.0|0|10491.0|0|158.0|0|0.0|100
0|2021-11-14|10491.0|0|10491.0|0|158.0|0|0.0|100
0|2021-11-15|10577.0|0|10577.0|0|159.0|0|0.0|100
0|2021-11-16|10613.0|0|10613.0|0|161.0|0|0.0|100
0|2021-11-17|10676.0|0|10676.0|0|163.0|0|0.0|100
0|2021-11-18|10692.0|0|10692.0|0|163.0|0|0.0|100
0|2021-11-19|10724.0|0|10724.0|0|167.0|0|0.0|100
0|2021-11-20|10724.0|0|10724.0|0|167.0|0|0.0|100
0|2021-11-21|10724.0|0|10724.0|0|167.0|0|0.0|100
0|2021-11-22|10776.0|0|10776.0|0|168.0|0|0.0|100
0|2021-11-23|10805.0|0|10805.0|0|171.0|0|0.0|100
0|2021-11-24|10819.0|0|10819.0|0|171.0|0|0.0|100
0|2021-11-25|10819.0|0|10819.0|0|171.0|0|0.0|100
0|2021-11-26|10819.0|0|10819.0|0|171.0|0|0.0|100
0|2021-11-27|10819.0|0|10819.0|0|171.0|0|0.0|100
0|2021-11-28|10819.0|0|10819.0|0|171.0|0|0.0|100
0|2021-11-29|10904.0|0|10904.0|0|172.0|0|0.0|100
0|2021-11-30|10941.0|0|10941.0|0|172.0|0|0.0|100
0|2021-12-01|10941.0|0|10941.0|0|172.0|0|0.0|100
0|2021-12-02|11033.0|0|11033.0|0|173.0|0|0.0|100
0|2021-12-03|11060.0|0|11060.0|0|175.0|0|0.0|100
0|2021-12-04|11060.0|0|11060.0|0|175.0|0|0.0|100
0|2021-12-05|11060.0|0|11060.0|0|175.0|0|0.0|100
0|2021-12-06|11137.0|0|11137.0|0|176.0|0|0.0|100
0|2021-12-07|11180.0|0|11180.0|0|177.0|0|0.0|100
0|2021-12-08|11208.0|0|11208.0|0|180.0|0|0.0|100
0|2021-12-09|11246.0|0|11246.0|0|180.0|0|0.0|100
0|2021-12-10|11277.0|0|11277.0|0|180.0|0|0.0|100
0|2021-12-11|11277.0|0|11277.0|0|180.0|0|0.0|100
0|2021-12-12|11277.0|0|11277.0|0|180.0|0|0.0|100
0|2021-12-13|11323.0|0|11323.0|0|184.0|0|0.0|100
0|2021-12-14|11323.0|0|11326.0|0|184.0|0|0.0|100
0|2021-12-15|11362.0|0|11362.0|0|184.0|0|0.0|100
0|2021-12-16|11396.0|0|11396.0|0|184.0|0|0.0|100
0|2021-12-17|11414.0|0|11414.0|0|184.0|0|0.0|100
0|2021-12-18|11414.0|0|11414.0|0|184.0|0|0.0|100
0|2021-12-19|11414.0|0|11414.0|0|184.0|0|0.0|100
0|2021-12-20|11461.0|0|11461.0|0|185.0|0|0.0|100
0|2021-12-21|11494.0|0|11494.0|0|186.0|0|0.0|100
0|2021-12-22|11510.0|0|11510.0|0|187.0|0|0.0|100
0|2021-12-23|11552.0|0|11552.0|0|187.0|0|0.0|100
