|dates|Bryan_Oklahoma_UnitedStates.JHU_ConfirmedCases.data|Bryan_Oklahoma_UnitedStates.JHU_ConfirmedCases.missing|Bryan_Oklahoma_UnitedStates.NYT_ConfirmedCases.data|Bryan_Oklahoma_UnitedStates.NYT_ConfirmedCases.missing|Bryan_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.data|Bryan_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.missing|Bryan_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.data|Bryan_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|8479.0|0|8479.0|0|103.0|0|0.0|100
0|2021-10-18|8479.0|0|8479.0|0|103.0|0|0.0|100
0|2021-10-19|8479.0|0|8479.0|0|103.0|0|0.0|100
0|2021-10-20|8651.0|0|8651.0|0|106.0|0|0.0|100
0|2021-10-21|8651.0|0|8651.0|0|106.0|0|0.0|100
0|2021-10-22|8651.0|0|8651.0|0|106.0|0|0.0|100
0|2021-10-23|8651.0|0|8651.0|0|106.0|0|0.0|100
0|2021-10-24|8651.0|0|8651.0|0|106.0|0|0.0|100
0|2021-10-25|8651.0|0|8651.0|0|106.0|0|0.0|100
0|2021-10-26|8651.0|0|8651.0|0|106.0|0|0.0|100
0|2021-10-27|8852.0|0|8852.0|0|108.0|0|0.0|100
0|2021-10-28|8852.0|0|8852.0|0|108.0|0|0.0|100
0|2021-10-29|8852.0|0|8852.0|0|108.0|0|0.0|100
0|2021-10-30|8852.0|0|8852.0|0|108.0|0|0.0|100
0|2021-10-31|8852.0|0|8852.0|0|108.0|0|0.0|100
0|2021-11-01|8852.0|0|8852.0|0|108.0|0|0.0|100
0|2021-11-02|8852.0|0|8852.0|0|108.0|0|0.0|100
0|2021-11-03|8977.0|0|8977.0|0|108.0|0|0.0|100
0|2021-11-04|8977.0|0|8977.0|0|108.0|0|0.0|100
0|2021-11-05|8977.0|0|8977.0|0|108.0|0|0.0|100
0|2021-11-06|8977.0|0|8977.0|0|108.0|0|0.0|100
0|2021-11-07|8977.0|0|8977.0|0|108.0|0|0.0|100
0|2021-11-08|8977.0|0|8977.0|0|108.0|0|0.0|100
0|2021-11-09|8977.0|0|8977.0|0|108.0|0|0.0|100
0|2021-11-10|8977.0|0|9044.0|0|108.0|0|0.0|100
0|2021-11-11|8977.0|0|9044.0|0|108.0|0|0.0|100
0|2021-11-12|9044.0|0|9044.0|0|108.0|0|0.0|100
0|2021-11-13|9044.0|0|9044.0|0|108.0|0|0.0|100
0|2021-11-14|9044.0|0|9044.0|0|108.0|0|0.0|100
0|2021-11-15|9044.0|0|9044.0|0|108.0|0|0.0|100
0|2021-11-16|9044.0|0|9044.0|0|108.0|0|0.0|100
0|2021-11-17|9113.0|0|9113.0|0|108.0|0|0.0|100
0|2021-11-18|9113.0|0|9113.0|0|108.0|0|0.0|100
0|2021-11-19|9113.0|0|9113.0|0|108.0|0|0.0|100
0|2021-11-20|9113.0|0|9113.0|0|108.0|0|0.0|100
0|2021-11-21|9113.0|0|9113.0|0|108.0|0|0.0|100
0|2021-11-22|9113.0|0|9113.0|0|108.0|0|0.0|100
0|2021-11-23|9113.0|0|9113.0|0|108.0|0|0.0|100
0|2021-11-24|9177.0|0|9177.0|0|108.0|0|0.0|100
0|2021-11-25|9177.0|0|9177.0|0|108.0|0|0.0|100
0|2021-11-26|9177.0|0|9177.0|0|108.0|0|0.0|100
0|2021-11-27|9177.0|0|9177.0|0|108.0|0|0.0|100
0|2021-11-28|9177.0|0|9177.0|0|108.0|0|0.0|100
0|2021-11-29|9177.0|0|9177.0|0|108.0|0|0.0|100
0|2021-11-30|9177.0|0|9177.0|0|108.0|0|0.0|100
0|2021-12-01|9210.0|0|9210.0|0|108.0|0|0.0|100
0|2021-12-02|9210.0|0|9210.0|0|108.0|0|0.0|100
0|2021-12-03|9210.0|0|9210.0|0|108.0|0|0.0|100
0|2021-12-04|9210.0|0|9210.0|0|108.0|0|0.0|100
