|dates|Norton_Kansas_UnitedStates.JHU_ConfirmedCases.data|Norton_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Norton_Kansas_UnitedStates.NYT_ConfirmedCases.data|Norton_Kansas_UnitedStates.NYT_ConfirmedCases.missing|Norton_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Norton_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Norton_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Norton_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1382.0|0|1382.0|0|30.0|0|0.0|100
0|2021-10-18|1384.0|0|1384.0|0|30.0|0|0.0|100
0|2021-10-19|1384.0|0|1384.0|0|30.0|0|0.0|100
0|2021-10-20|1393.0|0|1393.0|0|30.0|0|0.0|100
0|2021-10-21|1393.0|0|1393.0|0|30.0|0|0.0|100
0|2021-10-22|1401.0|0|1401.0|0|30.0|0|0.0|100
0|2021-10-23|1401.0|0|1401.0|0|30.0|0|0.0|100
0|2021-10-24|1401.0|0|1401.0|0|30.0|0|0.0|100
0|2021-10-25|1410.0|0|1410.0|0|30.0|0|0.0|100
0|2021-10-26|1410.0|0|1410.0|0|30.0|0|0.0|100
0|2021-10-27|1438.0|0|1438.0|0|32.0|0|0.0|100
0|2021-10-28|1438.0|0|1438.0|0|32.0|0|0.0|100
0|2021-10-29|1453.0|0|1453.0|0|32.0|0|0.0|100
0|2021-10-30|1453.0|0|1453.0|0|32.0|0|0.0|100
0|2021-10-31|1453.0|0|1453.0|0|32.0|0|0.0|100
0|2021-11-01|1463.0|0|1463.0|0|32.0|0|0.0|100
0|2021-11-02|1463.0|0|1463.0|0|32.0|0|0.0|100
0|2021-11-03|1473.0|0|1473.0|0|32.0|0|0.0|100
0|2021-11-04|1473.0|0|1473.0|0|32.0|0|0.0|100
0|2021-11-05|1479.0|0|1479.0|0|32.0|0|0.0|100
0|2021-11-06|1479.0|0|1479.0|0|32.0|0|0.0|100
0|2021-11-07|1479.0|0|1479.0|0|32.0|0|0.0|100
0|2021-11-08|1489.0|0|1489.0|0|32.0|0|0.0|100
0|2021-11-09|1489.0|0|1489.0|0|32.0|0|0.0|100
0|2021-11-10|1489.0|0|1510.0|0|32.0|0|0.0|100
0|2021-11-11|1510.0|0|1510.0|0|32.0|0|0.0|100
0|2021-11-12|1516.0|0|1516.0|0|32.0|0|0.0|100
0|2021-11-13|1516.0|0|1516.0|0|32.0|0|0.0|100
0|2021-11-14|1516.0|0|1516.0|0|32.0|0|0.0|100
0|2021-11-15|1525.0|0|1525.0|0|32.0|0|0.0|100
0|2021-11-16|1525.0|0|1525.0|0|32.0|0|0.0|100
0|2021-11-17|1532.0|0|1532.0|0|32.0|0|0.0|100
0|2021-11-18|1532.0|0|1532.0|0|32.0|0|0.0|100
0|2021-11-19|1541.0|0|1541.0|0|32.0|0|0.0|100
0|2021-11-20|1541.0|0|1541.0|0|32.0|0|0.0|100
0|2021-11-21|1541.0|0|1541.0|0|32.0|0|0.0|100
0|2021-11-22|1549.0|0|1549.0|0|32.0|0|0.0|100
0|2021-11-23|1549.0|0|1549.0|0|32.0|0|0.0|100
0|2021-11-24|1549.0|0|1561.0|0|32.0|0|0.0|100
0|2021-11-25|1561.0|0|1561.0|0|32.0|0|0.0|100
0|2021-11-26|1561.0|0|1561.0|0|32.0|0|0.0|100
0|2021-11-27|1561.0|0|1561.0|0|32.0|0|0.0|100
0|2021-11-28|1561.0|0|1561.0|0|32.0|0|0.0|100
0|2021-11-29|1579.0|0|1579.0|0|32.0|0|0.0|100
0|2021-11-30|1579.0|0|1579.0|0|32.0|0|0.0|100
0|2021-12-01|1587.0|0|1587.0|0|32.0|0|0.0|100
0|2021-12-02|1587.0|0|1587.0|0|32.0|0|0.0|100
0|2021-12-03|1587.0|0|1595.0|0|32.0|0|0.0|100
0|2021-12-04|1595.0|0|1595.0|0|32.0|0|0.0|100
0|2021-12-05|1595.0|0|1595.0|0|32.0|0|0.0|100
0|2021-12-06|1600.0|0|1600.0|0|32.0|0|0.0|100
0|2021-12-07|1600.0|0|1600.0|0|32.0|0|0.0|100
0|2021-12-08|1618.0|0|1618.0|0|32.0|0|0.0|100
0|2021-12-09|1618.0|0|1618.0|0|32.0|0|0.0|100
0|2021-12-10|1626.0|0|1626.0|0|32.0|0|0.0|100
0|2021-12-11|1626.0|0|1626.0|0|32.0|0|0.0|100
0|2021-12-12|1626.0|0|1626.0|0|32.0|0|0.0|100
0|2021-12-13|1628.0|0|1628.0|0|32.0|0|0.0|100
0|2021-12-14|1628.0|0|1628.0|0|32.0|0|0.0|100
0|2021-12-15|1642.0|0|1642.0|0|32.0|0|0.0|100
0|2021-12-16|1642.0|0|1642.0|0|32.0|0|0.0|100
0|2021-12-17|1644.0|0|1644.0|0|32.0|0|0.0|100
0|2021-12-18|1644.0|0|1644.0|0|32.0|0|0.0|100
0|2021-12-19|1644.0|0|1644.0|0|32.0|0|0.0|100
0|2021-12-20|1647.0|0|1647.0|0|32.0|0|0.0|100
0|2021-12-21|1647.0|0|1647.0|0|32.0|0|0.0|100
0|2021-12-22|1651.0|0|1651.0|0|32.0|0|0.0|100
0|2021-12-23|1651.0|0|1651.0|0|32.0|0|0.0|100
0|2021-12-24|1651.0|0|1651.0|0|32.0|0|0.0|100
0|2021-12-25|1651.0|0|1651.0|0|32.0|0|0.0|100
0|2021-12-26|1651.0|0|1651.0|0|32.0|0|0.0|100
0|2021-12-27|1667.0|0|1667.0|0|32.0|0|0.0|100
0|2021-12-28|1667.0|0|1667.0|0|32.0|0|0.0|100
0|2021-12-29|1679.0|0|1679.0|0|32.0|0|0.0|100
0|2021-12-30|1679.0|0|1679.0|0|32.0|0|0.0|100
0|2021-12-31|1679.0|0|1679.0|0|32.0|0|0.0|100
0|2022-01-01|1679.0|0|1679.0|0|32.0|0|0.0|100
