|dates|Sandusky_Ohio_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Sandusky_Ohio_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Sandusky_Ohio_UnitedStates.Male_Total_Population.data|Sandusky_Ohio_UnitedStates.Male_Total_Population.missing|Sandusky_Ohio_UnitedStates.Female_Total_Population.data|Sandusky_Ohio_UnitedStates.Female_Total_Population.missing|Sandusky_Ohio_UnitedStates.MaleAndFemale_Under18_Population.data|Sandusky_Ohio_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-10-18|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-10-19|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-10-20|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-10-21|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-10-22|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-10-23|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-10-24|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-10-25|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-10-26|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-10-27|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-10-28|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-10-29|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-10-30|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-10-31|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-11-01|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-11-02|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-11-03|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-11-04|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-11-05|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-11-06|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-11-07|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-11-08|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-11-09|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-11-10|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-11-11|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-11-12|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-11-13|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-11-14|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-11-15|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-11-16|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-11-17|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-11-18|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-11-19|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-11-20|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-11-21|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-11-22|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-11-23|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-11-24|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-11-25|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-11-26|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-11-27|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-11-28|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-11-29|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-11-30|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-12-01|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-12-02|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-12-03|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-12-04|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-12-05|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-12-06|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-12-07|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-12-08|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-12-09|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-12-10|11041.0|0|29117.0|0|29682.0|0|13119.0|0
0|2021-12-11|11041.0|0|29117.0|0|29682.0|0|13119.0|0
