|dates|Butler_Kansas_UnitedStates.JHU_ConfirmedCases.data|Butler_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Butler_Kansas_UnitedStates.NYT_ConfirmedCases.data|Butler_Kansas_UnitedStates.NYT_ConfirmedCases.missing|Butler_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Butler_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Butler_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Butler_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|10680.0|0|10680.0|0|121.0|0|0.0|100
0|2021-10-18|10720.0|0|10720.0|0|121.0|0|0.0|100
0|2021-10-19|10720.0|0|10720.0|0|121.0|0|0.0|100
0|2021-10-20|10783.0|0|10783.0|0|121.0|0|0.0|100
0|2021-10-21|10783.0|0|10783.0|0|121.0|0|0.0|100
0|2021-10-22|10840.0|0|10840.0|0|124.0|0|0.0|100
0|2021-10-23|10840.0|0|10840.0|0|124.0|0|0.0|100
0|2021-10-24|10840.0|0|10840.0|0|124.0|0|0.0|100
0|2021-10-25|10892.0|0|10892.0|0|126.0|0|0.0|100
0|2021-10-26|10892.0|0|10892.0|0|126.0|0|0.0|100
0|2021-10-27|10976.0|0|10976.0|0|131.0|0|0.0|100
0|2021-10-28|10976.0|0|10976.0|0|131.0|0|0.0|100
0|2021-10-29|11014.0|0|11014.0|0|134.0|0|0.0|100
0|2021-10-30|11014.0|0|11014.0|0|134.0|0|0.0|100
0|2021-10-31|11014.0|0|11014.0|0|134.0|0|0.0|100
0|2021-11-01|11037.0|0|11037.0|0|134.0|0|0.0|100
0|2021-11-02|11037.0|0|11037.0|0|134.0|0|0.0|100
0|2021-11-03|11103.0|0|11103.0|0|135.0|0|0.0|100
0|2021-11-04|11103.0|0|11103.0|0|135.0|0|0.0|100
0|2021-11-05|11150.0|0|11150.0|0|136.0|0|0.0|100
0|2021-11-06|11150.0|0|11150.0|0|136.0|0|0.0|100
0|2021-11-07|11150.0|0|11150.0|0|136.0|0|0.0|100
0|2021-11-08|11193.0|0|11193.0|0|137.0|0|0.0|100
0|2021-11-09|11193.0|0|11193.0|0|137.0|0|0.0|100
0|2021-11-10|11193.0|0|11253.0|0|137.0|0|0.0|100
0|2021-11-11|11253.0|0|11253.0|0|139.0|0|0.0|100
0|2021-11-12|11330.0|0|11330.0|0|139.0|0|0.0|100
0|2021-11-13|11330.0|0|11330.0|0|139.0|0|0.0|100
0|2021-11-14|11330.0|0|11330.0|0|139.0|0|0.0|100
0|2021-11-15|11374.0|0|11374.0|0|139.0|0|0.0|100
0|2021-11-16|11374.0|0|11374.0|0|139.0|0|0.0|100
0|2021-11-17|11446.0|0|11446.0|0|139.0|0|0.0|100
0|2021-11-18|11446.0|0|11446.0|0|139.0|0|0.0|100
0|2021-11-19|11504.0|0|11504.0|0|139.0|0|0.0|100
0|2021-11-20|11504.0|0|11504.0|0|139.0|0|0.0|100
