|dates|Sagadahoc_Maine_UnitedStates.JHU_ConfirmedCases.data|Sagadahoc_Maine_UnitedStates.JHU_ConfirmedCases.missing|Sagadahoc_Maine_UnitedStates.NYT_ConfirmedCases.data|Sagadahoc_Maine_UnitedStates.NYT_ConfirmedCases.missing|Sagadahoc_Maine_UnitedStates.JHU_ConfirmedDeaths.data|Sagadahoc_Maine_UnitedStates.JHU_ConfirmedDeaths.missing|Sagadahoc_Maine_UnitedStates.JHU_ConfirmedRecoveries.data|Sagadahoc_Maine_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1889.0|0|1889.0|0|12.0|0|0.0|100
0|2021-10-18|1889.0|0|1889.0|0|12.0|0|0.0|100
0|2021-10-19|1907.0|0|1907.0|0|12.0|0|0.0|100
0|2021-10-20|1918.0|0|1918.0|0|12.0|0|0.0|100
0|2021-10-21|1931.0|0|1931.0|0|12.0|0|0.0|100
0|2021-10-22|1940.0|0|1940.0|0|12.0|0|0.0|100
0|2021-10-23|1948.0|0|1948.0|0|12.0|0|0.0|100
0|2021-10-24|1948.0|0|1948.0|0|12.0|0|0.0|100
0|2021-10-25|1948.0|0|1948.0|0|12.0|0|0.0|100
0|2021-10-26|1973.0|0|1973.0|0|13.0|0|0.0|100
0|2021-10-27|1986.0|0|1986.0|0|13.0|0|0.0|100
0|2021-10-28|1998.0|0|1998.0|0|13.0|0|0.0|100
0|2021-10-29|2013.0|0|2013.0|0|13.0|0|0.0|100
0|2021-10-30|2026.0|0|2026.0|0|13.0|0|0.0|100
0|2021-10-31|2026.0|0|2026.0|0|13.0|0|0.0|100
0|2021-11-01|2026.0|0|2026.0|0|13.0|0|0.0|100
0|2021-11-02|2058.0|0|2058.0|0|13.0|0|0.0|100
0|2021-11-03|2067.0|0|2067.0|0|13.0|0|0.0|100
0|2021-11-04|2070.0|0|2070.0|0|13.0|0|0.0|100
0|2021-11-05|2094.0|0|2094.0|0|13.0|0|0.0|100
0|2021-11-06|2117.0|0|2117.0|0|13.0|0|0.0|100
0|2021-11-07|2117.0|0|2117.0|0|13.0|0|0.0|100
0|2021-11-08|2117.0|0|2117.0|0|13.0|0|0.0|100
0|2021-11-09|2151.0|0|2151.0|0|13.0|0|0.0|100
0|2021-11-10|2151.0|0|2177.0|0|13.0|0|0.0|100
0|2021-11-11|2186.0|0|2186.0|0|13.0|0|0.0|100
0|2021-11-12|2186.0|0|2186.0|0|13.0|0|0.0|100
0|2021-11-13|2202.0|0|2202.0|0|13.0|0|0.0|100
0|2021-11-14|2202.0|0|2202.0|0|13.0|0|0.0|100
0|2021-11-15|2202.0|0|2202.0|0|13.0|0|0.0|100
0|2021-11-16|2236.0|0|2236.0|0|14.0|0|0.0|100
0|2021-11-17|2270.0|0|2270.0|0|14.0|0|0.0|100
0|2021-11-18|2289.0|0|2289.0|0|14.0|0|0.0|100
0|2021-11-19|2313.0|0|2313.0|0|14.0|0|0.0|100
0|2021-11-20|2339.0|0|2339.0|0|14.0|0|0.0|100
0|2021-11-21|2339.0|0|2339.0|0|14.0|0|0.0|100
0|2021-11-22|2339.0|0|2339.0|0|14.0|0|0.0|100
0|2021-11-23|2369.0|0|2369.0|0|14.0|0|0.0|100
0|2021-11-24|2384.0|0|2384.0|0|14.0|0|0.0|100
0|2021-11-25|2397.0|0|2397.0|0|14.0|0|0.0|100
0|2021-11-26|2397.0|0|2397.0|0|14.0|0|0.0|100
0|2021-11-27|2397.0|0|2397.0|0|14.0|0|0.0|100
0|2021-11-28|2397.0|0|2397.0|0|14.0|0|0.0|100
0|2021-11-29|2401.0|0|2401.0|0|14.0|0|0.0|100
0|2021-11-30|2418.0|0|2418.0|0|16.0|0|0.0|100
0|2021-12-01|2421.0|0|2421.0|0|16.0|0|0.0|100
0|2021-12-02|2421.0|0|2465.0|0|16.0|0|0.0|100
0|2021-12-03|2477.0|0|2477.0|0|16.0|0|0.0|100
0|2021-12-04|2490.0|0|2490.0|0|16.0|0|0.0|100
0|2021-12-05|2490.0|0|2490.0|0|16.0|0|0.0|100
0|2021-12-06|2490.0|0|2490.0|0|16.0|0|0.0|100
0|2021-12-07|2502.0|0|2502.0|0|16.0|0|0.0|100
0|2021-12-08|2518.0|0|2518.0|0|16.0|0|0.0|100
0|2021-12-09|2579.0|0|2579.0|0|16.0|0|0.0|100
