|dates|Wirt_WestVirginia_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Wirt_WestVirginia_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Wirt_WestVirginia_UnitedStates.Male_Total_Population.data|Wirt_WestVirginia_UnitedStates.Male_Total_Population.missing|Wirt_WestVirginia_UnitedStates.Female_Total_Population.data|Wirt_WestVirginia_UnitedStates.Female_Total_Population.missing|Wirt_WestVirginia_UnitedStates.MaleAndFemale_Under18_Population.data|Wirt_WestVirginia_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-10-18|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-10-19|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-10-20|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-10-21|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-10-22|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-10-23|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-10-24|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-10-25|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-10-26|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-10-27|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-10-28|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-10-29|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-10-30|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-10-31|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-11-01|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-11-02|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-11-03|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-11-04|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-11-05|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-11-06|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-11-07|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-11-08|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-11-09|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-11-10|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-11-11|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-11-12|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-11-13|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-11-14|1180.0|0|2969.0|0|2861.0|0|1242.0|0
