|dates|Fulton_Illinois_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Fulton_Illinois_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Fulton_Illinois_UnitedStates.Male_Total_Population.data|Fulton_Illinois_UnitedStates.Male_Total_Population.missing|Fulton_Illinois_UnitedStates.Female_Total_Population.data|Fulton_Illinois_UnitedStates.Female_Total_Population.missing|Fulton_Illinois_UnitedStates.MaleAndFemale_Under18_Population.data|Fulton_Illinois_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-10-18|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-10-19|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-10-20|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-10-21|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-10-22|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-10-23|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-10-24|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-10-25|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-10-26|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-10-27|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-10-28|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-10-29|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-10-30|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-10-31|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-11-01|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-11-02|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-11-03|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-11-04|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-11-05|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-11-06|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-11-07|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-11-08|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-11-09|7187.0|0|18133.0|0|16711.0|0|6892.0|0
