|dates|Pushmataha_Oklahoma_UnitedStates.JHU_ConfirmedCases.data|Pushmataha_Oklahoma_UnitedStates.JHU_ConfirmedCases.missing|Pushmataha_Oklahoma_UnitedStates.NYT_ConfirmedCases.data|Pushmataha_Oklahoma_UnitedStates.NYT_ConfirmedCases.missing|Pushmataha_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.data|Pushmataha_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.missing|Pushmataha_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.data|Pushmataha_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1747.0|0|1747.0|0|34.0|0|0.0|100
0|2021-10-18|1747.0|0|1747.0|0|34.0|0|0.0|100
0|2021-10-19|1747.0|0|1747.0|0|34.0|0|0.0|100
0|2021-10-20|1770.0|0|1770.0|0|38.0|0|0.0|100
0|2021-10-21|1770.0|0|1770.0|0|38.0|0|0.0|100
0|2021-10-22|1770.0|0|1770.0|0|38.0|0|0.0|100
0|2021-10-23|1770.0|0|1770.0|0|38.0|0|0.0|100
0|2021-10-24|1770.0|0|1770.0|0|38.0|0|0.0|100
0|2021-10-25|1770.0|0|1770.0|0|38.0|0|0.0|100
0|2021-10-26|1770.0|0|1770.0|0|38.0|0|0.0|100
0|2021-10-27|1781.0|0|1781.0|0|38.0|0|0.0|100
0|2021-10-28|1781.0|0|1781.0|0|38.0|0|0.0|100
0|2021-10-29|1781.0|0|1781.0|0|38.0|0|0.0|100
0|2021-10-30|1781.0|0|1781.0|0|38.0|0|0.0|100
0|2021-10-31|1781.0|0|1781.0|0|38.0|0|0.0|100
0|2021-11-01|1781.0|0|1781.0|0|38.0|0|0.0|100
0|2021-11-02|1781.0|0|1781.0|0|38.0|0|0.0|100
0|2021-11-03|1805.0|0|1805.0|0|40.0|0|0.0|100
0|2021-11-04|1805.0|0|1805.0|0|40.0|0|0.0|100
0|2021-11-05|1805.0|0|1805.0|0|40.0|0|0.0|100
0|2021-11-06|1805.0|0|1805.0|0|40.0|0|0.0|100
0|2021-11-07|1805.0|0|1805.0|0|40.0|0|0.0|100
0|2021-11-08|1805.0|0|1805.0|0|40.0|0|0.0|100
0|2021-11-09|1805.0|0|1805.0|0|40.0|0|0.0|100
0|2021-11-10|1805.0|0|1822.0|0|40.0|0|0.0|100
