|dates|Hutchinson_Texas_UnitedStates.JHU_ConfirmedCases.data|Hutchinson_Texas_UnitedStates.JHU_ConfirmedCases.missing|Hutchinson_Texas_UnitedStates.NYT_ConfirmedCases.data|Hutchinson_Texas_UnitedStates.NYT_ConfirmedCases.missing|Hutchinson_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Hutchinson_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Hutchinson_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Hutchinson_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3562.0|0|3562.0|0|86.0|0|0.0|100
0|2021-10-18|3562.0|0|3562.0|0|86.0|0|0.0|100
0|2021-10-19|3584.0|0|3584.0|0|86.0|0|0.0|100
0|2021-10-20|3593.0|0|3593.0|0|86.0|0|0.0|100
0|2021-10-21|3605.0|0|3605.0|0|86.0|0|0.0|100
0|2021-10-22|3605.0|0|3605.0|0|86.0|0|0.0|100
0|2021-10-23|3632.0|0|3632.0|0|86.0|0|0.0|100
0|2021-10-24|3632.0|0|3632.0|0|86.0|0|0.0|100
0|2021-10-25|3632.0|0|3632.0|0|86.0|0|0.0|100
0|2021-10-26|3656.0|0|3656.0|0|86.0|0|0.0|100
0|2021-10-27|3662.0|0|3662.0|0|87.0|0|0.0|100
0|2021-10-28|3662.0|0|3662.0|0|87.0|0|0.0|100
0|2021-10-29|3685.0|0|3685.0|0|87.0|0|0.0|100
0|2021-10-30|3704.0|0|3704.0|0|87.0|0|0.0|100
0|2021-10-31|3704.0|0|3704.0|0|89.0|0|0.0|100
0|2021-11-01|3704.0|0|3704.0|0|89.0|0|0.0|100
0|2021-11-02|3724.0|0|3724.0|0|89.0|0|0.0|100
0|2021-11-03|3726.0|0|3726.0|0|89.0|0|0.0|100
0|2021-11-04|3734.0|0|3734.0|0|90.0|0|0.0|100
0|2021-11-05|3754.0|0|3754.0|0|92.0|0|0.0|100
0|2021-11-06|3766.0|0|3766.0|0|92.0|0|0.0|100
0|2021-11-07|3766.0|0|3766.0|0|92.0|0|0.0|100
0|2021-11-08|3766.0|0|3766.0|0|92.0|0|0.0|100
0|2021-11-09|3794.0|0|3794.0|0|93.0|0|0.0|100
0|2021-11-10|3794.0|0|3794.0|0|93.0|0|0.0|100
0|2021-11-11|3824.0|0|3824.0|0|93.0|0|0.0|100
0|2021-11-12|3824.0|0|3824.0|0|93.0|0|0.0|100
0|2021-11-13|3848.0|0|3848.0|0|93.0|0|0.0|100
0|2021-11-14|3848.0|0|3848.0|0|93.0|0|0.0|100
0|2021-11-15|3848.0|0|3848.0|0|93.0|0|0.0|100
0|2021-11-16|3879.0|0|3879.0|0|93.0|0|0.0|100
0|2021-11-17|3897.0|0|3897.0|0|94.0|0|0.0|100
0|2021-11-18|3897.0|0|3897.0|0|94.0|0|0.0|100
0|2021-11-19|3921.0|0|3921.0|0|94.0|0|0.0|100
0|2021-11-20|3939.0|0|3939.0|0|94.0|0|0.0|100
0|2021-11-21|3939.0|0|3939.0|0|94.0|0|0.0|100
0|2021-11-22|3939.0|0|3939.0|0|94.0|0|0.0|100
0|2021-11-23|3954.0|0|3954.0|0|94.0|0|0.0|100
0|2021-11-24|3954.0|0|3954.0|0|94.0|0|0.0|100
0|2021-11-25|3954.0|0|3954.0|0|94.0|0|0.0|100
0|2021-11-26|3954.0|0|3954.0|0|94.0|0|0.0|100
0|2021-11-27|3954.0|0|3954.0|0|94.0|0|0.0|100
0|2021-11-28|3954.0|0|3954.0|0|94.0|0|0.0|100
0|2021-11-29|4002.0|0|4002.0|0|94.0|0|0.0|100
0|2021-11-30|4010.0|0|4010.0|0|94.0|0|0.0|100
0|2021-12-01|4015.0|0|4015.0|0|94.0|0|0.0|100
0|2021-12-02|4022.0|0|4022.0|0|94.0|0|0.0|100
0|2021-12-03|4054.0|0|4054.0|0|96.0|0|0.0|100
0|2021-12-04|4057.0|0|4057.0|0|96.0|0|0.0|100
0|2021-12-05|4057.0|0|4085.0|0|96.0|0|0.0|100
0|2021-12-06|4096.0|0|4096.0|0|98.0|0|0.0|100
0|2021-12-07|4096.0|0|4096.0|0|98.0|0|0.0|100
0|2021-12-08|4100.0|0|4100.0|0|98.0|0|0.0|100
0|2021-12-09|4128.0|0|4128.0|0|98.0|0|0.0|100
0|2021-12-10|4169.0|0|4169.0|0|99.0|0|0.0|100
0|2021-12-11|4175.0|0|4175.0|0|99.0|0|0.0|100
0|2021-12-12|4178.0|0|4178.0|0|99.0|0|0.0|100
0|2021-12-13|4212.0|0|4212.0|0|99.0|0|0.0|100
0|2021-12-14|4212.0|0|4218.0|0|99.0|0|0.0|100
0|2021-12-15|4220.0|0|4220.0|0|100.0|0|0.0|100
0|2021-12-16|4227.0|0|4227.0|0|101.0|0|0.0|100
0|2021-12-17|4241.0|0|4241.0|0|102.0|0|0.0|100
0|2021-12-18|4267.0|0|4267.0|0|103.0|0|0.0|100
0|2021-12-19|4275.0|0|4275.0|0|103.0|0|0.0|100
0|2021-12-20|4290.0|0|4290.0|0|103.0|0|0.0|100
0|2021-12-21|4304.0|0|4304.0|0|103.0|0|0.0|100
0|2021-12-22|4312.0|0|4312.0|0|104.0|0|0.0|100
0|2021-12-23|4320.0|0|4320.0|0|104.0|0|0.0|100
0|2021-12-24|4320.0|0|4320.0|0|104.0|0|0.0|100
0|2021-12-25|4320.0|0|4320.0|0|104.0|0|0.0|100
0|2021-12-26|4320.0|0|4320.0|0|104.0|0|0.0|100
0|2021-12-27|4371.0|0|4371.0|0|106.0|0|0.0|100
0|2021-12-28|4392.0|0|4392.0|0|106.0|0|0.0|100
0|2021-12-29|4403.0|0|4403.0|0|108.0|0|0.0|100
0|2021-12-30|4407.0|0|4407.0|0|108.0|0|0.0|100
0|2021-12-31|4407.0|0|4407.0|0|108.0|0|0.0|100
0|2022-01-01|4407.0|0|4407.0|0|108.0|0|0.0|100
0|2022-01-02|4407.0|0|4407.0|0|108.0|0|0.0|100
0|2022-01-03|4460.0|0|4460.0|0|110.0|0|0.0|100
0|2022-01-04|4487.0|0|4487.0|0|110.0|0|0.0|100
0|2022-01-05|4487.0|0|4501.0|0|113.0|0|0.0|100
0|2022-01-06|4504.0|0|4504.0|0|114.0|0|0.0|100
0|2022-01-07|4542.0|0|4542.0|0|114.0|0|0.0|100
0|2022-01-08|4574.0|0|4574.0|0|116.0|0|0.0|100
0|2022-01-09|4597.0|0|4597.0|0|116.0|0|0.0|100
0|2022-01-10|4601.0|0|4601.0|0|116.0|0|0.0|100
0|2022-01-11|4630.0|0|4630.0|0|116.0|0|0.0|100
0|2022-01-12|4651.0|0|4651.0|0|117.0|0|0.0|100
0|2022-01-13|4651.0|0|4669.0|0|117.0|0|0.0|100
0|2022-01-14|4669.0|0|5710.0|0|117.0|0|0.0|100
0|2022-01-15|5746.0|0|5746.0|0|117.0|0|0.0|100
0|2022-01-16|5792.0|0|5792.0|0|118.0|0|0.0|100
0|2022-01-17|5876.0|0|0.0|100|118.0|0|0.0|100
