|dates|Custer_Idaho_UnitedStates.JHU_ConfirmedCases.data|Custer_Idaho_UnitedStates.JHU_ConfirmedCases.missing|Custer_Idaho_UnitedStates.NYT_ConfirmedCases.data|Custer_Idaho_UnitedStates.NYT_ConfirmedCases.missing|Custer_Idaho_UnitedStates.JHU_ConfirmedDeaths.data|Custer_Idaho_UnitedStates.JHU_ConfirmedDeaths.missing|Custer_Idaho_UnitedStates.JHU_ConfirmedRecoveries.data|Custer_Idaho_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|354.0|0|354.0|0|5.0|0|0.0|100
0|2021-10-18|357.0|0|357.0|0|5.0|0|0.0|100
0|2021-10-19|358.0|0|358.0|0|5.0|0|0.0|100
0|2021-10-20|358.0|0|358.0|0|5.0|0|0.0|100
0|2021-10-21|360.0|0|360.0|0|6.0|0|0.0|100
0|2021-10-22|362.0|0|362.0|0|6.0|0|0.0|100
0|2021-10-23|362.0|0|362.0|0|6.0|0|0.0|100
0|2021-10-24|362.0|0|362.0|0|6.0|0|0.0|100
0|2021-10-25|362.0|0|362.0|0|6.0|0|0.0|100
0|2021-10-26|369.0|0|369.0|0|6.0|0|0.0|100
0|2021-10-27|369.0|0|369.0|0|6.0|0|0.0|100
0|2021-10-28|370.0|0|370.0|0|6.0|0|0.0|100
0|2021-10-29|373.0|0|373.0|0|6.0|0|0.0|100
0|2021-10-30|373.0|0|373.0|0|6.0|0|0.0|100
0|2021-10-31|373.0|0|373.0|0|6.0|0|0.0|100
0|2021-11-01|376.0|0|376.0|0|6.0|0|0.0|100
0|2021-11-02|377.0|0|377.0|0|6.0|0|0.0|100
0|2021-11-03|381.0|0|381.0|0|6.0|0|0.0|100
0|2021-11-04|381.0|0|381.0|0|6.0|0|0.0|100
0|2021-11-05|385.0|0|385.0|0|6.0|0|0.0|100
0|2021-11-06|385.0|0|385.0|0|6.0|0|0.0|100
0|2021-11-07|385.0|0|385.0|0|6.0|0|0.0|100
0|2021-11-08|386.0|0|386.0|0|6.0|0|0.0|100
0|2021-11-09|388.0|0|388.0|0|6.0|0|0.0|100
0|2021-11-10|388.0|0|388.0|0|6.0|0|0.0|100
0|2021-11-11|388.0|0|388.0|0|6.0|0|0.0|100
0|2021-11-12|391.0|0|388.0|0|6.0|0|0.0|100
0|2021-11-13|391.0|0|391.0|0|6.0|0|0.0|100
0|2021-11-14|391.0|0|391.0|0|6.0|0|0.0|100
0|2021-11-15|391.0|0|391.0|0|6.0|0|0.0|100
0|2021-11-16|391.0|0|391.0|0|6.0|0|0.0|100
0|2021-11-17|392.0|0|392.0|0|6.0|0|0.0|100
0|2021-11-18|392.0|0|392.0|0|6.0|0|0.0|100
0|2021-11-19|394.0|0|392.0|0|6.0|0|0.0|100
0|2021-11-20|394.0|0|394.0|0|6.0|0|0.0|100
0|2021-11-21|394.0|0|394.0|0|6.0|0|0.0|100
0|2021-11-22|397.0|0|397.0|0|6.0|0|0.0|100
0|2021-11-23|400.0|0|400.0|0|6.0|0|0.0|100
0|2021-11-24|401.0|0|401.0|0|6.0|0|0.0|100
0|2021-11-25|401.0|0|401.0|0|6.0|0|0.0|100
0|2021-11-26|401.0|0|401.0|0|6.0|0|0.0|100
0|2021-11-27|400.0|0|400.0|0|6.0|0|0.0|100
0|2021-11-28|400.0|0|400.0|0|6.0|0|0.0|100
