|dates|Jessamine_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Jessamine_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Jessamine_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Jessamine_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Jessamine_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Jessamine_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Jessamine_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Jessamine_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|7932.0|0|7932.0|0|90.0|0|0.0|100
0|2021-10-18|7959.0|0|7959.0|0|94.0|0|0.0|100
0|2021-10-19|7979.0|0|7979.0|0|94.0|0|0.0|100
0|2021-10-20|7990.0|0|7990.0|0|94.0|0|0.0|100
0|2021-10-21|8015.0|0|8015.0|0|94.0|0|0.0|100
0|2021-10-22|8036.0|0|8036.0|0|94.0|0|0.0|100
0|2021-10-23|8036.0|0|8036.0|0|94.0|0|0.0|100
0|2021-10-24|8036.0|0|8036.0|0|94.0|0|0.0|100
0|2021-10-25|8068.0|0|8068.0|0|94.0|0|0.0|100
0|2021-10-26|8078.0|0|8078.0|0|94.0|0|0.0|100
0|2021-10-27|8098.0|0|8098.0|0|95.0|0|0.0|100
0|2021-10-28|8113.0|0|8113.0|0|95.0|0|0.0|100
0|2021-10-29|8127.0|0|8127.0|0|95.0|0|0.0|100
0|2021-10-30|8127.0|0|8127.0|0|95.0|0|0.0|100
0|2021-10-31|8127.0|0|8127.0|0|95.0|0|0.0|100
0|2021-11-01|8145.0|0|8145.0|0|95.0|0|0.0|100
0|2021-11-02|8164.0|0|8164.0|0|95.0|0|0.0|100
0|2021-11-03|8148.0|0|8148.0|0|95.0|0|0.0|100
0|2021-11-04|8161.0|0|8161.0|0|95.0|0|0.0|100
0|2021-11-05|8171.0|0|8171.0|0|95.0|0|0.0|100
0|2021-11-06|8171.0|0|8171.0|0|95.0|0|0.0|100
0|2021-11-07|8171.0|0|8171.0|0|95.0|0|0.0|100
0|2021-11-08|8194.0|0|8194.0|0|96.0|0|0.0|100
0|2021-11-09|8219.0|0|8219.0|0|96.0|0|0.0|100
0|2021-11-10|8219.0|0|8233.0|0|96.0|0|0.0|100
0|2021-11-11|8233.0|0|8233.0|0|97.0|0|0.0|100
0|2021-11-12|8273.0|0|8273.0|0|99.0|0|0.0|100
0|2021-11-13|8273.0|0|8273.0|0|99.0|0|0.0|100
0|2021-11-14|8273.0|0|8273.0|0|99.0|0|0.0|100
0|2021-11-15|8322.0|0|8322.0|0|100.0|0|0.0|100
0|2021-11-16|8340.0|0|8340.0|0|100.0|0|0.0|100
0|2021-11-17|8353.0|0|8353.0|0|100.0|0|0.0|100
0|2021-11-18|8372.0|0|8372.0|0|102.0|0|0.0|100
0|2021-11-19|8402.0|0|8402.0|0|105.0|0|0.0|100
0|2021-11-20|8402.0|0|8402.0|0|105.0|0|0.0|100
0|2021-11-21|8402.0|0|8402.0|0|105.0|0|0.0|100
0|2021-11-22|8455.0|0|8455.0|0|105.0|0|0.0|100
0|2021-11-23|8476.0|0|8476.0|0|105.0|0|0.0|100
0|2021-11-24|8499.0|0|8499.0|0|105.0|0|0.0|100
0|2021-11-25|8499.0|0|8499.0|0|105.0|0|0.0|100
0|2021-11-26|8499.0|0|8499.0|0|105.0|0|0.0|100
0|2021-11-27|8499.0|0|8499.0|0|105.0|0|0.0|100
0|2021-11-28|8499.0|0|8499.0|0|105.0|0|0.0|100
0|2021-11-29|8585.0|0|8585.0|0|106.0|0|0.0|100
0|2021-11-30|8626.0|0|8626.0|0|106.0|0|0.0|100
0|2021-12-01|8668.0|0|8668.0|0|106.0|0|0.0|100
0|2021-12-02|8668.0|0|8721.0|0|106.0|0|0.0|100
0|2021-12-03|8753.0|0|8753.0|0|106.0|0|0.0|100
0|2021-12-04|8753.0|0|8753.0|0|106.0|0|0.0|100
0|2021-12-05|8753.0|0|8753.0|0|106.0|0|0.0|100
0|2021-12-06|8803.0|0|8803.0|0|107.0|0|0.0|100
0|2021-12-07|8836.0|0|8836.0|0|107.0|0|0.0|100
0|2021-12-08|8861.0|0|8861.0|0|107.0|0|0.0|100
0|2021-12-09|8893.0|0|8893.0|0|108.0|0|0.0|100
0|2021-12-10|8919.0|0|8919.0|0|108.0|0|0.0|100
0|2021-12-11|8919.0|0|8919.0|0|108.0|0|0.0|100
