|dates|Lexington_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Lexington_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Lexington_SouthCarolina_UnitedStates.NYT_ConfirmedCases.data|Lexington_SouthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Lexington_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Lexington_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Lexington_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Lexington_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|53628.0|0|53628.0|0|691.0|0|0.0|100
0|2021-10-18|53820.0|0|53820.0|0|694.0|0|0.0|100
0|2021-10-19|53848.0|0|53848.0|0|694.0|0|0.0|100
0|2021-10-20|53889.0|0|53889.0|0|697.0|0|0.0|100
0|2021-10-21|53927.0|0|53927.0|0|699.0|0|0.0|100
0|2021-10-22|53968.0|0|53968.0|0|700.0|0|0.0|100
0|2021-10-23|53968.0|0|53968.0|0|700.0|0|0.0|100
0|2021-10-24|53968.0|0|53968.0|0|700.0|0|0.0|100
0|2021-10-25|54074.0|0|54074.0|0|700.0|0|0.0|100
0|2021-10-26|54107.0|0|54107.0|0|700.0|0|0.0|100
0|2021-10-27|54146.0|0|54146.0|0|704.0|0|0.0|100
0|2021-10-28|54199.0|0|54199.0|0|705.0|0|0.0|100
0|2021-10-29|54287.0|0|54287.0|0|706.0|0|0.0|100
0|2021-10-30|54287.0|0|54287.0|0|706.0|0|0.0|100
0|2021-10-31|54287.0|0|54287.0|0|706.0|0|0.0|100
0|2021-11-01|54415.0|0|54415.0|0|707.0|0|0.0|100
0|2021-11-02|54429.0|0|54429.0|0|707.0|0|0.0|100
0|2021-11-03|54474.0|0|54474.0|0|708.0|0|0.0|100
0|2021-11-04|54512.0|0|54512.0|0|706.0|0|0.0|100
0|2021-11-05|54569.0|0|54569.0|0|706.0|0|0.0|100
0|2021-11-06|54569.0|0|54569.0|0|706.0|0|0.0|100
0|2021-11-07|54569.0|0|54569.0|0|706.0|0|0.0|100
0|2021-11-08|54683.0|0|54683.0|0|705.0|0|0.0|100
0|2021-11-09|54700.0|0|54700.0|0|705.0|0|0.0|100
0|2021-11-10|54719.0|0|54719.0|0|706.0|0|0.0|100
0|2021-11-11|54719.0|0|54719.0|0|706.0|0|0.0|100
0|2021-11-12|54811.0|0|54811.0|0|708.0|0|0.0|100
0|2021-11-13|54811.0|0|54811.0|0|708.0|0|0.0|100
0|2021-11-14|54811.0|0|54811.0|0|708.0|0|0.0|100
0|2021-11-15|54913.0|0|54913.0|0|714.0|0|0.0|100
0|2021-11-16|54945.0|0|54941.0|0|714.0|0|0.0|100
0|2021-11-17|54956.0|0|54956.0|0|716.0|0|0.0|100
0|2021-11-18|54993.0|0|54993.0|0|716.0|0|0.0|100
0|2021-11-19|55046.0|0|55046.0|0|717.0|0|0.0|100
0|2021-11-20|55046.0|0|55046.0|0|717.0|0|0.0|100
