|dates|Clarendon_SouthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Clarendon_SouthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Clarendon_SouthCarolina_UnitedStates.Male_Total_Population.data|Clarendon_SouthCarolina_UnitedStates.Male_Total_Population.missing|Clarendon_SouthCarolina_UnitedStates.Female_Total_Population.data|Clarendon_SouthCarolina_UnitedStates.Female_Total_Population.missing|Clarendon_SouthCarolina_UnitedStates.MaleAndFemale_Under18_Population.data|Clarendon_SouthCarolina_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2022-01-03|7914.0|0|16548.0|0|17152.0|0|6479.0|0
0|2022-01-04|7914.0|0|16548.0|0|17152.0|0|6479.0|0
0|2022-01-05|7914.0|0|16548.0|0|17152.0|0|6479.0|0
0|2022-01-06|7914.0|0|16548.0|0|17152.0|0|6479.0|0
0|2022-01-07|7914.0|0|16548.0|0|17152.0|0|6479.0|0
0|2022-01-08|7914.0|0|16548.0|0|17152.0|0|6479.0|0
0|2022-01-09|7914.0|0|16548.0|0|17152.0|0|6479.0|0
0|2022-01-10|7914.0|0|16548.0|0|17152.0|0|6479.0|0
0|2022-01-11|7914.0|0|16548.0|0|17152.0|0|6479.0|0
0|2022-01-12|7914.0|0|16548.0|0|17152.0|0|6479.0|0
0|2022-01-13|7914.0|0|16548.0|0|17152.0|0|6479.0|0
0|2022-01-14|7914.0|0|16548.0|0|17152.0|0|6479.0|0
0|2022-01-15|7914.0|0|16548.0|0|17152.0|0|6479.0|0
0|2022-01-16|7914.0|0|16548.0|0|17152.0|0|6479.0|0
0|2022-01-17|7914.0|0|16548.0|0|17152.0|0|6479.0|0
