|dates|White_Indiana_UnitedStates.JHU_ConfirmedCases.data|White_Indiana_UnitedStates.JHU_ConfirmedCases.missing|White_Indiana_UnitedStates.NYT_ConfirmedCases.data|White_Indiana_UnitedStates.NYT_ConfirmedCases.missing|White_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|White_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|White_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|White_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4142.0|0|4144.0|0|61.0|0|0.0|100
0|2021-10-18|4159.0|0|4161.0|0|62.0|0|0.0|100
0|2021-10-19|4169.0|0|4171.0|0|64.0|0|0.0|100
0|2021-10-20|4173.0|0|4175.0|0|64.0|0|0.0|100
0|2021-10-21|4181.0|0|4183.0|0|64.0|0|0.0|100
0|2021-10-22|4187.0|0|4189.0|0|64.0|0|0.0|100
0|2021-10-23|4187.0|0|4189.0|0|64.0|0|0.0|100
0|2021-10-24|4187.0|0|4189.0|0|64.0|0|0.0|100
0|2021-10-25|4209.0|0|4211.0|0|64.0|0|0.0|100
0|2021-10-26|4213.0|0|4215.0|0|65.0|0|0.0|100
0|2021-10-27|4229.0|0|4231.0|0|65.0|0|0.0|100
0|2021-10-28|4246.0|0|4248.0|0|65.0|0|0.0|100
0|2021-10-29|4258.0|0|4260.0|0|65.0|0|0.0|100
0|2021-10-30|4258.0|0|4260.0|0|65.0|0|0.0|100
0|2021-10-31|4258.0|0|4260.0|0|65.0|0|0.0|100
0|2021-11-01|4302.0|0|4304.0|0|65.0|0|0.0|100
0|2021-11-02|4312.0|0|4314.0|0|65.0|0|0.0|100
0|2021-11-03|4325.0|0|4327.0|0|65.0|0|0.0|100
0|2021-11-04|4332.0|0|4334.0|0|65.0|0|0.0|100
0|2021-11-05|4347.0|0|4349.0|0|65.0|0|0.0|100
0|2021-11-06|4347.0|0|4349.0|0|65.0|0|0.0|100
0|2021-11-07|4347.0|0|4349.0|0|65.0|0|0.0|100
0|2021-11-08|4368.0|0|4370.0|0|65.0|0|0.0|100
0|2021-11-09|4375.0|0|4377.0|0|65.0|0|0.0|100
0|2021-11-10|4375.0|0|4390.0|0|65.0|0|0.0|100
0|2021-11-11|4425.0|0|4427.0|0|65.0|0|0.0|100
0|2021-11-12|4435.0|0|4437.0|0|66.0|0|0.0|100
0|2021-11-13|4435.0|0|4437.0|0|66.0|0|0.0|100
0|2021-11-14|4435.0|0|4437.0|0|66.0|0|0.0|100
0|2021-11-15|4463.0|0|4465.0|0|66.0|0|0.0|100
0|2021-11-16|4479.0|0|4481.0|0|66.0|0|0.0|100
0|2021-11-17|4492.0|0|4494.0|0|66.0|0|0.0|100
0|2021-11-18|4513.0|0|4515.0|0|66.0|0|0.0|100
0|2021-11-19|4525.0|0|4527.0|0|66.0|0|0.0|100
0|2021-11-20|4525.0|0|4527.0|0|66.0|0|0.0|100
0|2021-11-21|4525.0|0|4527.0|0|66.0|0|0.0|100
0|2021-11-22|4562.0|0|4564.0|0|66.0|0|0.0|100
0|2021-11-23|4571.0|0|4573.0|0|66.0|0|0.0|100
0|2021-11-24|4599.0|0|4601.0|0|67.0|0|0.0|100
0|2021-11-25|4599.0|0|4601.0|0|67.0|0|0.0|100
0|2021-11-26|4599.0|0|4601.0|0|67.0|0|0.0|100
0|2021-11-27|4599.0|0|4601.0|0|67.0|0|0.0|100
0|2021-11-28|4599.0|0|4601.0|0|67.0|0|0.0|100
0|2021-11-29|4687.0|0|4689.0|0|67.0|0|0.0|100
0|2021-11-30|4703.0|0|4705.0|0|68.0|0|0.0|100
0|2021-12-01|4728.0|0|4730.0|0|69.0|0|0.0|100
0|2021-12-02|4728.0|0|4758.0|0|69.0|0|0.0|100
0|2021-12-03|4784.0|0|4786.0|0|69.0|0|0.0|100
0|2021-12-04|4784.0|0|4786.0|0|69.0|0|0.0|100
0|2021-12-05|4784.0|0|4786.0|0|69.0|0|0.0|100
0|2021-12-06|4860.0|0|4862.0|0|69.0|0|0.0|100
0|2021-12-07|4882.0|0|4884.0|0|70.0|0|0.0|100
0|2021-12-08|4901.0|0|4903.0|0|70.0|0|0.0|100
0|2021-12-09|4918.0|0|4920.0|0|70.0|0|0.0|100
0|2021-12-10|4948.0|0|4950.0|0|70.0|0|0.0|100
